Inscription ID,Publication,Number,Additional,Notes
696,IG II2,4779,,
487,IG II2,3984,,
488,IG II2,3985,,
697,IG II2,1092,,
698,IG II2,1092,,
490,IG II2,2959,,
491,IG II2,3627,+,
492,IG II2,3616,,
493,IG II2,4084,+,
493,IG II2,4087,+,
495,IG II2,3407,,
496,IG II2,3408,,
498,IG II2,4781,,
500,IG II2,3718,,
501,IG II2,3633,,
502,IG II2,3632,,
503,IG II2,3620,,
504,IG II2,2957,,
505,IG II2,3397,,
506,IG II2,3402,,
507,IG II2,3400,,
509,IG II2,3401,,
510,IG II2,3398,,
511,IG II2,4077,,
512,IG II2,3645,,
513,IG II2,1110,+,
514,IG II2,1792,,
515,IG II2,3639,,
516,IG II2,3411,,
518,IG II2,3413,,
519,IG II2,3415,,
520,IG II2,3693,,
521,IG II2,3713,+,
521,IG II2,4089,+,
522,IG II2,3647,,
523,IG II2,3687,,
524,IG II2,3648,,
525,IG II2,4082,,
526,IG II2,2478,a,
527,IG II2,3165,,
527,IG II2,3166,,
528,IG II2,3987,,
529,IG II2,3967,,
530,IG II2,4816,,
531,IG II2,3621,,
532,IG II2,2956,,
533,IG II2,533,,
534,IG II2,3993,,
535,IG II2,3657,,
537,IG II2,4715,,
545,IG II2,2888,,
586,IG II2,4788,,
587,IG II2,3656,,
588,IG II2,3678,,
589,IG II2,4948,,
590,IG II2,4081,,
593,IG II2,4090,+,
597,IG II2,3236,,
600,IG II2,5008,,
619,IG II2,3186,+,
621,IG II2,3688,,
622,IG II2,3610,,
623,IG II2,3659,,
624,IG II2,3658,,
625,IG II2,4219,+,
626,IG II2,3666,,
628,IG II2,3686,,
629,IG II2,4067,,
630,IG II2,4216,,
631,IG II2,3641,,
632,IG II2,4088,,
633,IG II2,4075,,
633,IG II2,4083,,
634,IG II2,3817,,
635,IG II2,3637,,
636,IG II2,3638,,
699,IG II2,3811,+,
700,IG II2,3811,+,
638,IG II2,1078,,
639,IG II2,3710,,
640,IG II2,3646,,
641,IG II2,4051,,
642,IG II2,3706,,
644,IG II2,4346,,
645,IG II2,3707,,
646,IG II2,3661,,
647,IG II2,3419,,
648,IG II2,3679,,
649,IG II2,3662,,
650,IG II2,3814,,
651,IG II2,4824,,
653,IG II2,3802,,
654,IG II2,3715,,
656,IG II2,3671,,
658,IG II2,3714,,
659,IG II2,3709,,
660,IG II2,3422,,
661,IG II2,4218,,
665,IG II2,4009,,
666,IG II2,4096,,
667,IG II2,4091,,
668,IG II2,5014,,
669,IG II2,4878,,
