Institution ID,Inscription ID,Role,Uncertain,Notes
areopagus,630,Sponsor,FALSE,
boule,630,Sponsor,FALSE,
demos,630,Sponsor,FALSE,
areopagus,632,Sponsor,FALSE,
boule,632,Sponsor,FALSE,
demos,632,Sponsor,FALSE,
areopagus,633,Sponsor,FALSE,
areopagus,634,Sponsor,FALSE,
areopagus,635,Sponsor,FALSE,
boule,636,Sponsor,FALSE,
areopagus,638,Sponsor,FALSE,
boule,638,Sponsor,FALSE,
demos,638,Sponsor,FALSE,
areopagus,645,Sponsor,FALSE,
boule,645,Sponsor,FALSE,
demos,645,Sponsor,FALSE,
areopagus,654,Sponsor,FALSE,
boule,654,Sponsor,FALSE,
demos,654,Sponsor,FALSE,
demos,660,Sponsor,FALSE,
areopagus,662,Sponsor,TRUE,
areopagus,667,Sponsor,FALSE,
demos,291c,Sponsor,FALSE,
demos,291d,Sponsor,FALSE,
demos,301a,Sponsor,FALSE,
demos,301b,Sponsor,FALSE,
demos,301c,Sponsor,FALSE,
areopagus,347a,Sponsor,FALSE,
demos,347a,Sponsor,FALSE,
areopagus,473a,Sponsor,FALSE,
boule,473a,Sponsor,FALSE,
demos,473a,Sponsor,FALSE,
areopagus,473b,Sponsor,FALSE,
boule,473b,Sponsor,FALSE,
demos,473b,Sponsor,FALSE,
areopagus,473c,Sponsor,FALSE,
boule,473c,Sponsor,FALSE,
demos,473c,Sponsor,FALSE,
areopagus,473d,Sponsor,FALSE,
boule,473d,Sponsor,FALSE,
demos,473d,Sponsor,FALSE,
areopagus,486a,Sponsor,FALSE,
boule,486a,Sponsor,FALSE,
demos,486a,Sponsor,FALSE,
areopagus,486b,Sponsor,FALSE,
boule,486b,Sponsor,FALSE,
demos,486b,Sponsor,FALSE,
demos,703,Sponsor,FALSE,
demos,704,Sponsor,FALSE,
