ID,Raw Text,Text,Lemmata,Character Count,Word Count
601,,,,112,25
602,,,,13,3
603,,,,7,1
604,,,,40,12
605,,,,16,4
606,,,,11,3
607,,,,12,4
608,,,,11,2
609,,,,11,2
610,,,,13,3
611,,,,9,2
612,,,,6,2
613,,,,9,3
614,,,,11,5
615,,,,11,3
616,,,,6,3
617,,,,10,3
618,,,,49,18
619,,,,113,25
620,,,,25,8
621,,,,348,61
622,,,,286,43
623,,,,77,14
624,,,,233,37
625,,,,90,14
626,,,,103,18
627,,,,43,6
628,,,,64,11
629,,,,212,39
630,,,,204,31
631,,,,33,3
632,,,,169,32
633,,,,183,29
634,,,,176,30
635,,,,149,26
636,,,,126,21
699,,,,267,53
700,,,,267,53
638,,,,1703,336
639,,,,155,21
640,,,,197,34
641,,,,99,17
642,,,,109,17
643,,,,118,28
644,,,,162,33
645,,,,117,16
646,,,,209,38
647,,,,63,12
648,,,,154,27
649,,,,318,57
650,,,,87,16
651,,,,39,5
652,,,,102,21
653,,,,126,21
654,,,,77,11
655,,,,546,105
656,,,,125,24
657,,,,46,9
658,,,,356,71
659,,,,471,85
660,,,,124,16
661,,,,197,37
662,,,,82,16
663,,,,30,5
664,,,,31,6
665,,,,49,9
666,,,,67,12
667,,,,68,14
668,,,,10,1
669,,,,29,5
670,,,,8,2
671,,,,23,3
672,,,,37,6
673,,,,42,8
674,,,,16,4
