ID,Name
2237,unc_son_of_heroxenos_marathonios
2238,polemon_heroxenou
2239,g_memmius_sabeinos_peisandros
2240,thrasyllos_kholleides
2241,emperor_hadrian
2242,olympius
2243,unc_emperor_2
2244,unc_emperor_3
2245,unc_emperor_4
2247,unc_hierophantis_daughter_of_demetrios
2248,demetrios
2249,marcianus
2250,l_vipsanius_aiolion
2251,l_vipsanius_lailianos
2252,unc_relative_of_l_vipsanius_aiolion
2253,iunia_unc_iun_patronos
2254,iun_patron
2255,annia_aristokleia
2256,annius_thrasyllos
2257,l_nummius_andreas_menidos
2258,nummia_bassa
2259,l_nummius_hierokeryx
2260,nummia_kleo
2261,ti_kl_attikos_marathonios
2262,annia_faustina
2263,emperor_antoninus_pius
2264,emperor_marcus_aurelius
2265,domitia_lucilla
2266,nummius_nigreinos
2267,menandra_of_ephesus
2268,unc_relative_of_mindios_amynos
2269,g_kl_titianos
2270,philipe_kl_demostratou
2271,d_iun_meanneas
2272,exegete_patron
2273,phirmus_gargettios
2274,d_iun_peiraieus
2275,cornelia_unc
2276,unc_relative_of_ti_cl_lysiades
2277,ail_praxagoras
2278,unc_daughter_or_praxagoras_thorikos
2279,kl_themistokles
2280,klementiane
2281,arrian
2282,unc_emperor_5
2283,unc_krateros
2284,unc_claudius_of_melite
2285,ti_kl_leonides
2286,sergius_salvidius_scipio_orfitus
2287,calpurnia_lucia_lepida
2288,sergius_calpurnius_scipio_orfitus
2289,lucius_calpunius_piso
2290,p_ail_timosthenes
2291,ail_zenonos
2292,elpinike_atria
2293,regilla
2294,appius
2295,t_kl_appius_bradoua
2296,themistokles_meliteus
2297,unc_son_of_p_ail_praxagoras
2298,fl_xenion
2299,fl_zenophilos
2300,emperor_verus
2301,unc_ail
2302,t_kl_hierophant_alkibiadou
2303,t_fl_alkibiades_2
2304,t_leosthenes
2305,f_fl_alkibiades_1
2306,fl_eisidora
2307,fl_herakleitos
2308,domitia_laodameia
2309,krateros
2310,m_aur_miltiades
2311,agothokles_marathonios
2312,t_fl_euthykomas_1
2313,t_fl_straton_2
2314,t_fl_straton_1
2315,fl_unc_krateia
2316,pompeia_polla
2317,pompeius_pleistarkhos
2318,t_fl_menandros_paianieus
2320,emperor_severus
2321,m_iul_apellas
2322,m_iul_damianos
2323,fl_apella_hypaipenou
2324,fl_polla
2326,iul_apollodotos_meliteus
2327,iul_theodotos
2328,ail_kephisodora
2329,kl_lysiades
2330,kl_sospis
2331,iul_kephisodora
2332,m_praxis
2333,unc_emperor_6
2334,iun_melitine
2335,isidote_eisaiou
2336,eisaios_1
2337,eisaios_2
2338,emperor_commodous
2339,l_memmius_altar_priest
2340,fl_amphikles
2341,lucilla
2342,faustina
2343,sabina
2344,faustina_2
2345,praxagora_demostratou
2346,t_kl_demostratos_sospidou
2347,ail_philiste_praxagorou
2348,io_hierophantes
2349,aiolion_phlyeos
2350,ail_leu_palleneus
2351,demosthenes_anthou
2352,attikos_anthou
2353,unc_iteles_
2354,unc_lo
2355,unc_ai_f
2356,unc_hiero
2357,unc_kl_m
2358,unc_arist
2359,kletos_epigonou
2360,dionysios_glaukou
2361,kl_nikephoros
2362,megalinos_aphrodisiou
2363,khaireas_diogenous
2364,aristoboulos_zosimou
2365,fl_stephanos
2366,ai_markos
2367,kl_serapion
2368,iou_kaikilianos
2369,timokrates_kaprodorou
2370,eisidoros_eisidorou
2371,thrasyboulos_artemonos
2372,euripides_preimou
2373,epitunkhanon_epitunkhanonos
2374,onesimos_eiphikratous
2375,p_herennios_apolloniou
2376,ti_kl_sospis_lysiadou_2
2377,unc_aim_1
2378,unc_aim_2
2379,titios_molossios_alopekethen
2380,khryseros_khryserou
2381,dephilos_khareisiou
2382,nikomakhos_mikomakhou
2383,deiphilos_deiphilou
2384,hygeinos_arkhimhdous
2385,nikostratos_nikiou
2386,emperor_septimius_severus
2387,iul_domna
2388,kl_themistoklea
2389,kl_philippos
2390,kl_menandra_1
2391,nikostrate_meneou
2392,g_kasios_semakhidai
2393,ail_epilampsis_gelotos
2394,ail_gelo_1
2395,diokles
2396,ail_alexandros
2397,ail_ardys
2398,ail_kallikrates
2399,ail_alexandros_2
2400,ail_gelo_2
2401,p_pom_hegios_1
2402,p_pom_hegios_2
2403,pom_epilampsis
2404,t_fl_leosthenes_2
2405,unc_daughter_of_t_fl_leosthenes_2
2406,ail_sossianos_prospaltios
2407,glaukos
2408,hagne
2409,threption
2410,tereus
2411,hermione_1
2412,eutykhides
2413,euodos
2414,aiskhylos
2415,zoeilos
2416,neokleides
2417,iun_agathopodos
2418,demetrios_apolloniou
2419,alkamenes_pyrphoros
2420,unc_exegete_of_eumolpidai_2
2421,aristaios
2422,unc_ti_kl_lianou
2423,unc_mmios
2424,q_fronto_marathonios
2425,lolliane_glaukou
2426,unc_kl_2
2427,unc_exegete
2428,unc_exegete_of_eumolpidai_3
2429,unc_praxagoras_of_melite
2430,unc_epaphroditas
2431,unc_polliona
2432,unc_child_of_nummius
2433,athenagoras
