Source,Target,Type,Weight,TimeInterval
2222,2221,Directed,1,"<[112.5, 350]>"
1015,2225,Directed,1,"<[125.0, 350]>"
1017,2225,Directed,1,"<[125.0, 350]>"
1009,2226,Directed,1,"<[115.0, 350]>"
1009,2228,Directed,1,"<[115.0, 350]>"
2229,2226,Directed,1,"<[115.0, 350]>"
2229,2228,Directed,1,"<[115.0, 350]>"
1000,2230,Directed,1,"<[122.0, 350]>"
1000,2231,Directed,1,"<[122.0, 350]>"
1001,2231,Directed,1,"<[122.0, 350]>"
1002,2231,Directed,1,"<[122.0, 350]>"
1000,2233,Directed,1,"<[119.5, 350]>"
1001,2233,Directed,1,"<[119.5, 350]>"
2235,2236,Directed,1,"<[132.5, 350]>"
2238,2237,Directed,1,"<[137.5, 350]>"
2223,2240,Directed,1,"<[135.0, 350]>"
1000,2235,Directed,1,"<[145.0, 350]>"
1000,2250,Directed,1,"<[145.0, 350]>"
1000,2251,Directed,1,"<[145.0, 350]>"
1001,2235,Directed,1,"<[145.0, 350]>"
1001,2250,Directed,1,"<[145.0, 350]>"
1001,2251,Directed,1,"<[145.0, 350]>"
1002,2235,Directed,1,"<[145.0, 350]>"
1002,2250,Directed,1,"<[145.0, 350]>"
1002,2251,Directed,1,"<[145.0, 350]>"
2254,2253,Directed,1,"<[145.0, 350]>"
2256,2253,Directed,1,"<[145.0, 350]>"
2257,2260,Directed,1,"<[145.0, 350]>"
2258,2260,Directed,1,"<[145.0, 350]>"
2254,2271,Directed,1,"<[150.0, 350]>"
2255,2271,Directed,1,"<[150.0, 350]>"
2275,2274,Directed,1,"<[150.0, 350]>"
1005,2280,Directed,1,"<[175.0, 350]>"
2283,2282,Directed,1,"<[175.0, 350]>"
1000,2286,Directed,1,"<[155.0, 350]>"
1001,2286,Directed,1,"<[155.0, 350]>"
1002,2286,Directed,1,"<[155.0, 350]>"
1000,2287,Directed,1,"<[155.0, 350]>"
1001,2287,Directed,1,"<[155.0, 350]>"
1002,2287,Directed,1,"<[155.0, 350]>"
1000,2288,Directed,1,"<[155.0, 350]>"
1001,2288,Directed,1,"<[155.0, 350]>"
1002,2288,Directed,1,"<[155.0, 350]>"
1000,2289,Directed,1,"<[155.0, 350]>"
1001,2289,Directed,1,"<[155.0, 350]>"
1002,2289,Directed,1,"<[155.0, 350]>"
2291,2290,Directed,1,"<[155.0, 350]>"
2226,2293,Directed,1,"<[160.0, 350]>"
2298,2299,Directed,1,"<[165.0, 350]>"
2301,2264,Directed,1,"<[165.0, 350]>"
2301,2300,Directed,1,"<[165.0, 350]>"
1000,2302,Directed,1,"<[167.0, 350]>"
1001,2302,Directed,1,"<[167.0, 350]>"
1002,2302,Directed,1,"<[167.0, 350]>"
2311,2310,Directed,1,"<[165.0, 350]>"
1000,2264,Directed,1,"<[171.0, 350]>"
1000,2300,Directed,1,"<[171.0, 350]>"
1001,2264,Directed,1,"<[171.0, 350]>"
1001,2300,Directed,1,"<[171.0, 350]>"
1002,2264,Directed,1,"<[171.0, 350]>"
1002,2300,Directed,1,"<[171.0, 350]>"
1000,2264,Directed,1,"<[171.0, 350]>"
1001,2264,Directed,1,"<[171.0, 350]>"
1002,2264,Directed,1,"<[171.0, 350]>"
1000,2312,Directed,1,"<[166.0, 350]>"
1000,2318,Directed,1,"<[166.0, 350]>"
2316,2318,Directed,1,"<[166.0, 350]>"
1000,2321,Directed,1,"<[170.0, 350]>"
1015,2321,Directed,1,"<[170.0, 350]>"
1012,2325,Directed,1,"<[170.0, 350]>"
1000,2326,Directed,1,"<[170.0, 350]>"
1001,2326,Directed,1,"<[170.0, 350]>"
1002,2326,Directed,1,"<[170.0, 350]>"
1000,2328,Directed,1,"<[170.0, 350]>"
2327,2328,Directed,1,"<[170.0, 350]>"
2331,2328,Directed,1,"<[170.0, 350]>"
2332,2264,Directed,1,"<[173.5, 350]>"
1000,2339,Directed,1,"<[178.5, 350]>"
1001,2339,Directed,1,"<[178.5, 350]>"
1002,2339,Directed,1,"<[178.5, 350]>"
1002,2386,Directed,1,"<[202.0, 350]>"
1000,2391,Directed,1,"<[187.5, 350]>"
1002,2391,Directed,1,"<[187.5, 350]>"
2402,2393,Directed,1,"<[187.5, 350]>"
2404,2405,Directed,1,"<[187.5, 350]>"
1000,2417,Directed,1,"<[150.5, 350]>"
1000,2418,Directed,1,"<[150.5, 350]>"
1016,2431,Directed,1,"<[150.5, 350]>"
1000,2432,Directed,1,"<[150.5, 350]>"
1001,2432,Directed,1,"<[150.5, 350]>"
1002,2432,Directed,1,"<[150.5, 350]>"
1000,2434,Directed,1,"<[250.5, 350]>"
