Source,Target,Timestamp,Type,Weight
1002,2300,<[171.0]>,Directed,1.0
1002,2302,<[167.0]>,Directed,1.0
1002,2326,<[170.0]>,Directed,1.0
1002,2339,<[178.5]>,Directed,1.0
1002,2386,<[202.0]>,Directed,1.0
1002,2391,<[187.5]>,Directed,1.0
1002,2432,<[150.5]>,Directed,1.0
1002,2439,<[250.5]>,Directed,1.0
1002,2475,<[204.0]>,Directed,1.0
1002,2477,<[210.0]>,Directed,1.0
1002,2503,<[236.0]>,Directed,1.0
1002,2000,<[-87.5]>,Directed,1.0
1002,2517,<[275.0]>,Directed,1.0
1002,2019,<[-60.0]>,Directed,1.0
1002,2023,<[-50.0]>,Directed,1.0
1002,2533,<[295.5]>,Directed,1.0
1002,2027,<[-50.0]>,Directed,1.0
1002,2029,<[-50.0]>,Directed,1.0
1002,2032,<[-40.0]>,Directed,1.0
1002,2033,<[-37.5]>,Directed,1.0
1002,2037,<[-32.5]>,Directed,1.0
1002,2038,<[-36.0]>,Directed,1.0
1002,2042,<[-40.0]>,Directed,1.0
1002,2045,<[-40.0]>,Directed,1.0
1002,2046,<[-39.5]>,Directed,1.0
1000,2050,<[-32.5]>,Directed,1.0
1000,2114,<[50.0]>,Directed,1.0
1000,2121,<[0.0]>,Directed,1.0
1000,2122,<[13.0]>,Directed,1.0
1000,2124,<[13.0]>,Directed,1.0
1000,2129,<[20.0]>,Directed,1.0
1000,2134,<[25.0]>,Directed,1.0
1000,2140,<[43.0]>,Directed,1.0
1000,2142,<[50.0]>,Directed,1.0
1000,2144,<[50.0]>,Directed,1.0
1000,2145,<[50.0]>,Directed,1.0
1000,2147,<[50.0]>,Directed,1.0
1000,2149,<[50.0]>,Directed,1.0
1000,2150,<[50.0]>,Directed,1.0
1000,2162,<[60.0]>,Directed,1.0
1000,2183,<[50.5]>,Directed,1.0
1000,2189,<[50.5]>,Directed,1.0
1000,2196,<[50.5]>,Directed,1.0
1000,2212,<[100.5]>,Directed,1.0
1000,2230,<[122.0]>,Directed,1.0
1000,2231,<[122.0]>,Directed,1.0
1000,2233,<[119.5]>,Directed,1.0
1000,2235,<[145.0]>,Directed,1.0
1000,2250,<[145.0]>,Directed,1.0
1000,2251,<[145.0]>,Directed,1.0
1000,2264,"<[171.0, 171.0]>",Directed,1.0
1000,2286,<[155.0]>,Directed,1.0
1000,2287,<[155.0]>,Directed,1.0
