Institution: Title,Institution: Origin,Institution: Type,Co-Appearing Person: Description,Co-Appearing Person: Origin,Co-Appearing Person: Gender,Co-Appearing Person: Name(s),Co-Appearing Person: Deme,Co-Appearing Person: Athenian Citizen,Co-Appearing Person: Roman Citizen,Co-Appearing Person: Family,Co-Appearing Person: Extended Family,Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Institution: Total Appearances,Institution: Total Offices,Institution: Total Office Appearances,Institution: Total Officers,Institution: Total Officer Appearances,Institution: Total People Co-Appearances,Institution: Total Institutional Co-Appearances,Institution: Total Honors Co-Appearances,Institution: Total People Co-Appearances with Officers,Institution: Total Institutional Co-Appearances with Officers,Co-Appearing Person: Total Appearances,Co-Appearing Person: Total Sponsors,Co-Appearing Person: Total Honorands,Co-Appearing Person: Total Officers,Co-Appearing Person: Total Institutional Affililiations,Co-Appearing Person: Total Honors,Co-Appearing Person: Total Athenian Honors,Co-Appearing Person: Total Roman Honors,Co-Appearing Person: Total Eleusinian Honors,Co-Appearing Person: RCA,Co-Appearing Person: PA,Co-Appearing Person: PAA,Co-Appearing Person: LGPN,Co-Appearing Person: Uncertain,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Institution: ID,Co-Appearing Person: ID,Inscription: ID,Institution: Notes,Co-Appearing Person: Notes,Inscription: Notes
Areopagus,Athens,Public,Praxagoras,Athens,Male,Praxagoras Praxagoras,,True,False,,,335,Monument for Iulia Augusta,Other/Fragment,Dedication,,25.0,10,0.0450,84,7,68,43,56,151,203,164,274,104,1,0,0,,2,2,1,1,0,,,,,False,247,21,62,13,3,2,5,3,1,3,2,1000,2136,335,,,
Areopagus,Athens,Public,T. Statilius Lamprias,Rome,Male,Titus Statilius,Lamptrai,False,True,,,345,Statue Base for Titus Statilius Lamprias,Base,Dedication,,43.0,10,,84,7,68,43,56,151,203,164,274,104,1,3,0,,0,0,0,0,0,,,,,False,100,97,24,22,3,0,1,3,1,0,1,1000,2140,345,,,
Areopagus,Athens,Public,Diokles Themistokles Hagnousios,Athens,Male,Diokles Themistokleous,,True,False,,,348,Statue Base for Diokles Themistokleous Hagnousios,Base,Dedication,,50.0,20,0.0200,84,7,68,43,56,151,203,164,274,104,1,3,0,,0,0,0,0,0,,,,,False,123,32,34,12,3,1,2,3,1,2,0,1000,2144,348,,,
Areopagus,Athens,Public,Diokles Themistokles Hagnousios,Athens,Male,Diokles Themistokleous,,True,False,,,348,Statue Base for Diokles Themistokleous Hagnousios,Base,Dedication,,50.0,20,0.0200,84,7,68,43,56,151,203,164,274,104,1,3,0,,0,0,0,0,0,,,,,False,123,32,34,12,3,1,2,3,1,2,0,1000,2144,348,,,
Areopagus,Athens,Public,Athenais Diokleous,Athens,Female,Athenais Diokleous,,True,False,,,349,"Statue Base for Athenais, Daughter of Diokles Hagnousios",Stele,Dedication,Before the Telestrion,50.0,20,,84,7,68,43,56,151,203,164,274,104,1,3,0,,0,0,0,0,0,,,,,False,160,112,38,21,3,1,2,3,1,2,0,1000,2145,349,,,
Areopagus,Athens,Public,Athenais Diokleous,Athens,Female,Athenais Diokleous,,True,False,,,349,"Statue Base for Athenais, Daughter of Diokles Hagnousios",Stele,Dedication,Before the Telestrion,50.0,20,,84,7,68,43,56,151,203,164,274,104,1,3,0,,0,0,0,0,0,,,,,False,160,112,38,21,3,1,2,3,1,2,0,1000,2145,349,,,
Areopagus,Athens,Public,Apollonios Seilonos,Athens,Male,Apollonios Seilonos,,True,False,,,351,"Statue Base for Seilon Apolloniou Meliteus, Hearth-Initiate",Base,Dedication,,50.0,20,0.0180,84,7,68,43,56,151,203,164,274,104,1,0,0,,1,1,1,0,0,,,,,False,145,130,48,35,3,1,2,3,1,2,0,1000,2148,351,,,
Areopagus,Athens,Public,Apollonios Seilonos,Athens,Male,Apollonios Seilonos,,True,False,,,351,"Statue Base for Seilon Apolloniou Meliteus, Hearth-Initiate",Base,Dedication,,50.0,20,0.0180,84,7,68,43,56,151,203,164,274,104,1,0,0,,1,1,1,0,0,,,,,False,145,130,48,35,3,1,2,3,1,2,0,1000,2148,351,,,
Areopagus,Athens,Public,G. Caecilius Cassius,Rome,Male,Gaius Caecilius Cassius,,False,True,,,352,"Statue Base for Caius Caecilius Kasios, Acharneus",Base,Dedication,Before the Telestrion,50.0,20,0.0300,84,7,68,43,56,151,203,164,274,104,1,3,0,,0,0,0,0,0,,,,,False,99,76,27,20,3,0,1,3,1,0,1,1000,2149,352,,,
Areopagus,Athens,Public,Statilia [.],Rome,Female,Statilia,,False,True,,,353,Statue Base for an Unknown Daughter of Statilius of Sphettos,Building or Monument,Dedication,,50.0,20,0.0250,84,7,68,43,56,151,203,164,274,104,1,3,0,,0,0,0,0,0,,,,,True,125,59,46,21,3,0,1,3,1,0,1,1000,2150,353,,,
Areopagus,Athens,Public,Iul. Nikanor,Syria,Male,Iulius Nikanor,,False,True,,,360,Contract Concerning Iulius Nikanor,Building or Monument,Other/Uncertain,,60.0,20,0.0130,84,7,68,43,56,151,203,164,274,104,2,3,0,,0,0,0,0,0,,,,,False,1224,437,336,131,2,0,1,0,0,0,0,1000,2162,360,,,
Areopagus,Athens,Public,Iul. Nikanor,Syria,Male,Iulius Nikanor,,False,True,,,362,"Status Base for Iulius Nikanor, New Homer and New Themistokles",Base,Dedication,,60.0,10,0.0220,84,7,68,43,56,151,203,164,274,104,2,3,0,,0,0,0,0,0,,,,,False,103,73,28,20,3,0,1,3,1,0,0,1000,2162,362,,,
Areopagus,Athens,Public,Kl. Timothea,Athens,Female,Claudia Timothea Timothea,,True,True,,,372,Statue Base for an Unknown Individual,Base,Dedication,,97.5,15,0.0280,84,7,68,43,56,151,203,164,274,104,6,0,0,,1,6,0,0,6,,,,,False,104,74,29,18,1,1,1,1,0,1,0,1000,2175,372,,,
Areopagus,Athens,Public,Thrasyllos Ammoniou,Athens,Male,Thrasyllos Ammoniou,,True,False,,,377,Statue Base for the Unknown Wife of Ammonios of Kholleidai,Base,Dedication,,87.5,25,0.0190,84,7,68,43,56,151,203,164,274,104,1,0,1,,1,1,1,0,0,,,,,False,173,121,41,30,1,1,3,1,1,3,0,1000,2182,377,,,
