Institution: Title,Institution: Origin,Institution: Type,Office: Title,Office: Origin,Office: Type,Institution: Total Appearances,Institution: Total Offices,Institution: Total Office Appearances,Institution: Total Officers,Institution: Total Officer Appearances,Institution: Total People Co-Appearances,Institution: Total Institutional Co-Appearances,Institution: Total Honors Co-Appearances,Institution: Total People Co-Appearances with Officers,Institution: Total Institutional Co-Appearances with Officers,Office: Total Appearances,Office: Total People Honored,Office: Total Times People Honored,Office: Total Athenians Honored,Office: Total Athenians with Roman Citizenship Honored,Office: Total Romans Honored,Office: Total Times Athenians Honored,Office: Total Times Athenians with Roman Citizenship Honored,Office: Total Times Romans Honored,Office: Total Times Sponsored Honored,Office: Total Times Honorand Honored,Institution: ID,Office: ID,Institution: Notes,Office: Notes
Kerykes,Eleusis,Genos,Priest of Zeus Horios,Athens,Sacred Official,7,18,64,72,100,67,17,42,391,197,1,1,1,1,0,0,1,0,0,2,1,1016,3038,,
Kerykes,Eleusis,Genos,Priest of Athena Horios,Athens,Sacred Official,7,18,64,72,100,67,17,42,391,197,1,1,1,1,0,0,1,0,0,2,1,1016,3039,,
Kerykes,Eleusis,Genos,Priest of Poseidon Prosbasterios,Athens,Sacred Official,7,18,64,72,100,67,17,42,391,197,1,1,1,1,0,0,1,0,0,2,1,1016,3040,,
Kerykes,Eleusis,Genos,Hymnagogos,Eleusis,Sacred Official,7,18,64,72,100,67,17,42,391,197,1,23,23,23,0,0,23,0,0,2,1,1016,3042,,
Kerykes,Eleusis,Genos,Hierokeryx,Eleusis,Sacred Official,7,18,64,72,100,67,17,42,391,197,8,6,7,6,4,0,7,5,0,11,6,1016,3068,,
Kerykes,Eleusis,Genos,Phaidyntes,Eleusis,Sacred Official,7,18,64,72,100,67,17,42,391,197,2,0,0,0,0,0,0,0,0,3,0,1016,3104,,
Kerykes,Eleusis,Genos,Iakhkhagogos,Eleusis,Sacred Official,7,18,64,72,100,67,17,42,391,197,1,0,0,0,0,0,0,0,0,0,0,1016,3106,,
Kerykes,Eleusis,Genos,Archon of the Kerykes,Eleusis,Other Office,7,18,64,72,100,67,17,42,391,197,2,2,2,2,2,0,2,2,0,4,2,1016,3110,,
Philleidai,Eleusis,Genos,Hierophantis,Eleusis,Sacred Official,1,2,49,27,50,1,1,2,67,27,11,8,8,8,3,0,8,3,0,5,8,1018,3019,,
Philleidai,Eleusis,Genos,Priestess of Demeter and Kore,Eleusis,Sacred Official,1,2,49,27,50,1,1,2,67,27,38,19,39,19,7,0,39,18,0,32,18,1018,3004,,
Bouzygai,Athens,Genos,Priest of Zeus Palladion,Athens,Sacred Official,1,1,1,1,1,2,1,3,1,1,1,1,1,1,0,0,1,0,0,1,1,1019,3064,,
Imperial Family,Rome,Private,Imperial Priest,Rome,Sacred Official,0,6,17,16,27,0,0,0,53,29,13,12,13,12,7,0,13,8,0,14,12,1021,3025,,
Imperial Family,Rome,Private,Mater Castrorum,Rome,Membership/Rank/Title,0,6,17,16,27,0,0,0,53,29,0,1,1,0,0,1,0,0,1,0,0,1021,3139,,
Imperial Family,Rome,Private,Imperial Priest of Achaea,Rome,Sacred Official,0,6,17,16,27,0,0,0,53,29,1,1,1,1,1,0,1,1,0,1,1,1021,3088,,
Imperial Family,Rome,Private,Priest of Sebaiste Dikaiosyne,Athens,Sacred Official,0,6,17,16,27,0,0,0,53,29,1,0,0,0,0,0,0,0,0,0,0,1021,3046,,
Imperial Family,Rome,Private,Necessarius,Rome,Membership/Rank/Title,0,6,17,16,27,0,0,0,53,29,1,1,1,1,1,0,1,1,0,3,1,1021,3125,,
Imperial Family,Rome,Private,Imperial Priest of Asia,Rome,Sacred Official,0,6,17,16,27,0,0,0,53,29,1,1,1,1,0,0,1,0,0,0,1,1021,3072,,
Eteoboutadai,Athens,Genos,Priestess of Athena Polias,Athens,Sacred Official,1,2,3,1,1,1,1,1,3,2,2,0,0,0,0,0,0,0,0,4,1,1023,3121,,
Eteoboutadai,Athens,Genos,Priest of Poseidon Erekhtheus,Athens,Sacred Official,1,2,3,1,1,1,1,1,3,2,1,1,1,1,1,0,1,1,0,0,1,1023,3085,,
