Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Public Sponsors,Inscription: Notes
313,Statue Base Dedicated by or for an Exegete,Base,Dedication,,50.0,300,0.0240,,
314,Statue Base for Unknown,Base,Dedication,,50.0,300,0.0340,,
315,Fragmentary Decree,Base,Decree,,50.0,300,0.0110,,
316,Statue Base Unknown,Base,Dedication,,50.0,300,0.0195,,
317,Statue Base for an Unknown Hearth-Initiate,Altar,Dedication,,0.0,200,,,
318,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,50.0,300,0.0240,,
319,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,50.0,300,0.0240,,
320,Fragmentary Dedication,Base,Dedication,,100.0,400,0.0150,,
321,Statue Base for Unknown,Other/Fragment,Other/Uncertain,,100.0,400,0.0210,,
322,Statue Base for Unknown,Other/Fragment,Dedication,,100.0,400,0.0475,,
323,"Statue Base for Atheno Niketou Hagnousiou, Hearth-Initiate",Base,Dedication,,0.0,50,,"Areopagus, Boule, & Demos",
324,"Statue Base for Pammenes Pammenous Marathonios, Exegete of the Eumolpidai",Base,Dedication,Before the Telestrion,13.0,24,0.0300,"Areopagus, Boule, & Demos",
325,Statue Base for a Unknown Hierophantis,Base,Dedication,,13.0,24,,Demos,
326,Statue Base for Unknown,Base,Dedication,Outer Courtyard,13.0,24,0.0290,Demos,
327,Statue Base for Antamenes Leontichou Epieikides,Base,Dedication,Outer Courtyard,13.0,24,0.0280,Areopagus & Demos,
328,Altar for Kourotrophos,Base,Dedication,,13.0,24,0.0080,,
329,"Statue Base for an Unknown Hearth-Initiate, Daughter of Polycharmos of Azenia",Other/Fragment,Dedication,,-6.5,41,,Boule,
330,Statue Base for Polycharmos Polykritou Azenieus,Base,Dedication,,-6.5,41,0.0295,Demos,
331,Statue Base for Emperor Tiberius,Base,Dedication,,25.5,23,0.0350,,
332,Statue Base for Unknown,Base,Other/Uncertain,,34.0,40,0.0650,,
333,Statue Base for Menandros Asklepiodotou Gargettios,Base,Dedication,Before the Telestrion,20.0,10,0.0220,,
334,Monument for Emperor Tiberius,Base,Dedication,,20.0,10,0.0450,"Areopagus, Boule, & Demos",
335,Monument for Iulia Augusta,Other/Fragment,Dedication,,25.0,10,0.0450,"Areopagus, Boule, & Demos",
336,Statue Base for a Priest of Tiberius and Exegete of the Eumolpidai,Base,Dedication,,25.0,10,0.0240,,
337,Statue Base for an Unknown Exegete,Base,Dedication,,25.0,10,0.0290,,
338,Statue Base for Unknown,Base,Dedication,,25.0,10,0.0235,,
339,Statue Base for Unknown,Base,Dedication,,37.5,25,0.0250,,
340,Statue Base for Unknown,Base,Dedication,,37.5,25,0.0230,"Areopagus, Boule, & Demos",
341,Epistyle of Building Dedicated by the Priestess Kleo Eukleous of Phyla,Base,Dedication,,45.0,40,0.0350,,
342,Monument Dedicated by the Priestess Kleo Eukleous of Phyla,Base,Dedication,,45.0,40,0.0520,,
343,Statue Base Dedicated by the Priestess Kleo Eukleous of Phyla,Altar,Dedication,,45.0,40,0.0230,,
344,"Statue Base for Polycharmos Eukleous Marathonios, High Priest of Tiberius",Base,Dedication,Before the Telestrion,33.5,7,0.0300,,
345,Statue Base for Titus Statilius Lamprias,Base,Dedication,,43.0,10,,"Areopagus, Boule, & Demos",
346,Statue Base Dedicated by Kleopatra Iophontos Deiradiotou and Her Son,Base,Dedication,,50.0,20,0.0230,,
347,"Statue Base for P. Papinus Statius, Dedicated by the Areopagus",Base,Dedication,,50.0,50,0.0215,Areopagus & Demos,
347,"Statue Base for a Proconsul, Dedicated by the Demos",Base,Dedication,,50.0,50,0.0215,,
348,Statue Base for Diokles Themistokleous Hagnousios,Base,Dedication,,50.0,20,0.0200,"Areopagus, Boule, & Demos",
349,"Statue Base for Athenais, Daughter of Diokles Hagnousios",Stele,Dedication,Before the Telestrion,50.0,20,,"Areopagus, Boule, & Demos",
350,Statue Base for Marcus Porcius Cato,Base,Dedication,,50.0,20,0.0300,,
351,"Statue Base for Seilon Apolloniou Meliteus, Hearth-Initiate",Base,Dedication,,50.0,20,0.0180,"Areopagus, Boule, & Demos",
352,"Statue Base for Caius Caecilius Kasios, Acharneus",Base,Dedication,Before the Telestrion,50.0,20,0.0300,"Areopagus, Boule, & Demos",
353,Statue Base for an Unknown Daughter of Statilius of Sphettos,Building or Monument,Dedication,,50.0,20,0.0250,"Areopagus, Boule, & Demos",
354,"Architrave with Dedication by Tiberius Klaudios Eukles Sostratou, Priest of Iulia Agrippina Sebaste",Building or Monument,Dedication,,54.5,9,,,
355,Statue Base for an Unknown Brother of the Priest Tiberius Klaudios Eukles Sostratou,Base,Dedication,,54.5,9,,,
356,Statue Base for Tiberius Klaudios Nouios Philinou of Oion,Base,Dedication,,55.0,10,0.0250,,
357,"Statue Base for Tiberius Klaudios Demostratos Ti. Klaudii Neikotelous Sounieus, Hearth Initiate",Base,Dedication,,55.0,10,0.0170,,
358,Statue Base for Klaudios Asklepiodoros Gargettios,Base,Dedication,,55.0,10,0.0250,,
359,Statue Base for an Exegete,Base,Dedication,,75.0,50,0.0240,,
360,Contract Concerning Iulius Nikanor,Building or Monument,Other/Uncertain,,60.0,20,0.0130,,
361,Statue Base for Tiberius Klaudios Nouios of Oion,Building or Monument,Dedication,,60.0,10,,,
362,"Status Base for Iulius Nikanor, New Homer and New Themistokles",Base,Dedication,,60.0,10,0.0220,"Areopagus, Boule, & Demos",
363,Entablature,Base,Dedication,Before the Telestrion,99.0,78,0.0400,,
364,Monument for Klaudia Alkia,Base,Dedication,,65.0,10,0.0140,,
365,Statue Base for Titus Flavius Sophokles T. Flavii Kononos Sounieus,Base,Dedication,,75.0,10,0.0200,,
366,Statue Base for Titus Flavius Konon Kononos Sounieus,Base,Dedication,,77.5,5,0.0230,,
367,Statue Base for Titus Flavius Sophokles Kononos Sounieus,Base,Dedication,,77.5,5,0.0250,,
368,Statue Base for Unknown,Base,Dedication,,77.5,5,0.0320,,
369,"Building Dedicated by Klaudia Tartarion, Priestess of Demeter and Kore",Base,Dedication,,77.5,5,,,
370,"Statue Base for Publius Fulvius Metrodoros, Hearth-Initiate",Base,Dedication,,85.0,10,0.0100,,
371,"Statue Base for Klaudia Philoxena, Hierophantis",Base,Dedication,,97.5,15,0.0250,,
372,Statue Base for an Unknown Individual,Base,Dedication,,97.5,15,0.0280,Areopagus,
373,"G. Kl. Seilianos Polykritos, Hearth-Initiate",Building or Monument,Dedication,,97.5,15,,,
374,Statue Base for Zopyros Zopyrou Piraieos,Base,Dedication,,97.5,15,0.0230,,
375,Statue Base for an Unknown Individual,Base,Dedication,,97.5,15,,,
376,Statue Base for an Unknown Individual,Base,Dedication,,97.5,15,0.0230,,
377,Statue Base for the Unknown Wife of Ammonios of Kholleidai,Base,Dedication,,87.5,25,0.0190,,
378,Statue Base for Eraton Eratonos Besaieus,Base,Dedication,,50.5,99,0.0280,Areopagus & Boule,
379,"Statue Base for an Unknown Individual, Dedicated by a Priestess",Stele,Dedication,,50.5,99,0.0140,,
380,"Statue Base for Athenais, Granddaughter of a Hierophantis",Base,Dedication,Before the Telestrion,50.5,99,0.0120,,
381,Statue Base for a [-]ppos Herakleitou Gargettios,Base,Dedication,,50.5,99,0.0290,Demos,
382,Statue Base for Kl. Theophilos and Kl. S[-],Base,Dedication,,50.5,99,0.0130,,
383,Statue Base for a T. Flavius,Building or Monument,Dedication,,50.5,99,0.0130,"Areopagus, Boule, & Demos",
384,"Statue Base for a L. Pompeios, Hearth-Initiate",Base,Dedication,,50.5,99,0.0400,,
385,Statue Base for a L. Pompeios,Base,Dedication,,50.5,99,0.0100,,
386,Statue Base Signed by Agathokles Agathokleous Kephisieus,Base,Other/Uncertain,,50.5,99,0.0080,,
387,Altar Dedicated by Daughter of Dionysios Phalereus,Base,Dedication,,50.5,99,0.0600,,
388,Statue Base for an Unknown Individual,Base,Dedication,,50.5,99,0.0275,,
389,Son of Tryphon Phylasios,Building or Monument,Dedication,,50.5,99,0.0900,"Areopagus, Boule, & Demos",
390,Altar Dedicated to Artemis,Base,Dedication,,50.5,99,0.0290,,
391,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,50.5,99,0.0205,,
392,Catalogue?,Base,Other/Uncertain,,100.5,199,0.0285,,
393,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,100.5,199,0.0200,,
394,Dedication to Dionysios Lenaios,Base,Dedication,,100.5,199,0.0100,Boule,
395,Statue Base for a Hearth-Initiate,Base,Dedication,,100.5,199,0.0210,,
396,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,100.5,199,0.0160,Demos,
397,Statue Base for an Unknown Individual,Base,Dedication,,100.5,199,0.0200,,
398,Statue Base for Kourtia Stratonike,Base,Dedication,Before the Telestrion,100.5,199,0.0430,,
399,"Statue Base for Kallisto, Daughter of Kallimakhos",Base,Dedication,Before the Telestrion,100.5,199,0.0340,,
400,Bomiskos for Iakkhos,Base,Dedication,,100.5,199,0.0150,,
401,Bomiskos for Kourotrophos,Base,Dedication,,100.5,199,0.0130,,
402,Statue Base for an Unknown Individual,Base,Dedication,,100.5,199,0.0310,"Areopagus, Boule, & Demos",
403,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,,,
404,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0290,,
405,Statue Base(?) For an Unknown Individual,Base,Dedication,,150.5,299,0.0300,,
