Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Public Sponsors,Inscription: Notes
503,"Statue Base for L. Memmios, Altar-Priest, of Thorikos",Other/Fragment,Dedication,Before the Telestrion,178.5,3,0.0250,"Areopagus, Boule, & Demos",
504,Dedicatory Base for the Aparkhe,Base,Dedication,North of the Telesterion,183.0,12,0.0280,,
505,Statue Base for the Deified M. Aurelius,Base,Dedication,Outer Courtyard,181.0,2,0.0765,,
506,"Statue Base for Lucilla, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0600,,
507,"Statue Base for Deified Faustina, Wife of M. Aurelius",Base,Dedication,,181.0,2,0.1000,,
508,"Statue Base of Deified Faustina, Wife of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0850,,
509,"Statue Base for Sabina, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0575,,
510,"Statue Base for Faustina, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0600,,
511,"Statue Base for Praxagora, Daughter of Demostratos of Melite, Hearth-Initiate",Base,Dedication,Before the Telestrion,182.5,5,0.0240,,
512,Statue Base for Unknown Dedicated by Ael. Philiste,Base,Dedication,,182.5,5,0.0310,,
513,Letter by the Emperor Commodus to the Athenians Concern the Archonship of the Eumolpidai,Base,Epistle,,186.5,7,0.0180,,
514,Catalog of the Prytaneis of the Tribe of Antiokhis,Stele,Other/Uncertain,South Wall,191.0,10,0.0110,,
515,"Statue Base for the Hierophant who Saved the Hiera During the Kostoboki Invasion, Probably Not from the Sanctuary",Base,Dedication,,196.0,10,0.0420,,
516,Statue Base for the Hierophant who Saved the Hiera During the Invasion of the Kostoboki.,Column/Herm,Dedication,North of the Telesterion,196.0,10,0.0265,,
517,Statue Base(?) for an Unknown Individual,Base,Dedication,,202.0,18,0.0290,Demos,
518,Based Dedicated in Honor of the Emperor Septimius Severus and the Empress Iul. Domna,Base,Dedication,,196.5,3,0.0230,,
519,Statue Base for the Empress Iul. Domna,Base,Dedication,,196.5,3,,"Areopagus, Boule, & Demos",
520,"Statue Base for Kl. Themistokleia, Daughter of the Daduch Kl. Philippos, Hearth-Initiate",Base,Dedication,,187.5,25,0.0300,,
521,"Statue Base for Kl. Menandra, Daughter of Kl. Philippos",Base,Dedication,,187.5,25,0.0350,,
522,"Statue Base for Nikostrate Menneou Berenikidou, Hearth-Initiate",Base,Dedication,,187.5,25,0.0220,Areopagus & Demos,
523,"Statue Base for Ael. Epilampsis, Daughter of Ael. Gelos of Phaleron, Priestess of Demeter and Kore",Other/Fragment,Dedication,Before the Telestrion,187.5,25,0.0160,,
524,Statue Base for an Unknown Daughter of T. Fl. Leosthenes of Paiania,Base,Dedication,,187.5,25,0.0170,,
525,Base Dedicated by an Unknown Party,Base,Dedication,,187.5,25,0.0200,,
526,List of Men and WOmen,Base,Other/Uncertain,,150.5,99,0.0090,,
527,"Dedication by Neokleides, Victor in the Eleusinia",Base,Dedication,,150.5,99,0.0120,,
528,Herm Honoring Demetrios Apolloniou Marathonios,Base,Dedication,,150.5,99,0.0200,Areopagus,
529,Herm Honoring Demetrios Apolloniou Marathonios,Base,Dedication,,150.5,99,,Areopagus,
530,"Relief Dedicated by Alkamenes, Pyrphoros",Base,Dedication,,150.5,99,0.0085,,
531,Statue Base for an Unknown Exegete of the Eumolpidai,Base,Dedication,Before the Telestrion,150.5,99,0.0195,,
532,Dedicatory Base for the Aparkhe,Base,Dedication,Outer Courtyard,150.5,99,0.0360,,
533,Statue Base for an Unknown High-Priest,Base,Dedication,,150.5,99,0.0150,,
534,Statue Base for an Unknown [-]mmios,Base,Dedication,,150.5,99,0.0180,,
535,Statue Base for a Hearth-Initiate,Base,Dedication,,150.5,99,0.0280,,
536,"Statue Base for Lolliane, Daughter of Glaukos",Base,Dedication,,150.5,99,0.0295,,
537,Statue Base for an Unknown Individaul,Base,Dedication,,150.5,99,0.0120,,
538,Statue Base(?) for an Unknown Individual,Base,Dedication,,150.5,99,0.0260,,
539,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0300,"Areopagus, Boule, & Demos",
540,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0260,,
541,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0250,,
542,Statue Base for an Unknown Individual,Altar,Dedication,,150.5,99,0.0340,,
543,Statue Base for an Unknown Klaudios,Base,Dedication,,150.5,99,0.0260,,
544,Statue Base for an Unknown Exegete,Base,Dedication,,150.5,99,0.0345,,
545,Statue Base for an Unknown Exegete of the Eumolpidai,Base,Dedication,,150.5,99,0.0330,,
546,Statue Base for Praxagoras of Melite,Base,Dedication,,150.5,99,0.0220,,
547,Statue Base(?) for an Unknown Individual,Base,Dedication,,150.5,99,0.0220,,
548,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0230,,
549,Statue Base for an Unknown Priestess of Demeter and Kore,Base,Dedication,,150.5,99,0.0300,,
550,Statue Base for an Unknown Exegete(?) of the Eumolpidai,Base,Dedication,,150.5,99,0.0500,,
551,Large Monument in Honor of an Unknown Hearth-Initiate,Base,Dedication,,150.5,99,0.0430,,
552,Regulation(?) Concerning Dedications in the Sanctuary,Column/Herm,Edict/Regulation,,150.5,99,0.0330,,
553,Measuring Table,Base,Other/Uncertain,,150.5,99,0.0255,,
554,Fragmentary Inscription from an Architrave,Base,Other/Uncertain,,150.5,99,0.0330,,
555,Fragment from an Architectural Block,Base,Other/Uncertain,,150.5,99,0.0750,,
556,Fragment on an Architectural(?) Block,Base,Other/Uncertain,,150.5,99,0.0880,,
557,Statue Base for an Unknown Individual,Building or Monument,Dedication,,150.5,99,0.0430,,
558,Statue Base for an Unknown Son or Daughter of a Nummios,Building or Monument,Dedication,,150.5,99,0.0205,"Areopagus, Boule, & Demos",
559,Base Dedicated by an Unknown Party,Base,Dedication,,150.5,99,0.0270,,
560,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0300,,
561,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0270,,
562,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0240,,
563,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0260,,
564,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0330,,
565,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0290,,
566,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0280,,
567,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0310,,
568,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,150.5,99,0.0230,,
569,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0310,,
570,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0210,"Areopagus, Boule, & Demos",
571,Statue Base for an Unknown Individual,Stele,Dedication,,150.5,99,0.0400,"Areopagus, Boule, & Demos",
572,Statue Base(?) for an Unknown Individual,Column/Herm,Dedication,,150.5,99,0.0340,Areopagus & Demos,
573,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0200,"Areopagus, Boule, & Demos",
574,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0270,Areopagus,
575,Statue Base(?) for an Unknown Individual,Base,Dedication,,150.5,99,0.0290,Demos,
576,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0250,Areopagus,
577,Herm in Honor of an Unknown Individual,Base,Dedication,,150.5,99,0.0190,Boule,
578,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0360,Boule,
579,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0285,Areopagus,
580,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0550,,
581,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0295,,
582,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0210,,
583,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0375,,
584,Dedication(?) by and Unknown Party,Stele,Dedication,,250.5,99,0.0135,,
585,Statue Base for an Unknown Individual,Base,Dedication,,250.5,99,0.0135,,
586,Epigram,Column/Herm,Verse,,250.5,99,0.0160,,
587,"Statue Base for T. Fl. Ateiemtos Son of T. Fl. Agathon of Peiraieus, Hearth-Initiate",Column/Herm,Dedication,,250.5,99,0.0300,Areopagus,
588,"Statue Base for Sabeiniane Hamillo, Priestess of Athena Polias, Probably Not from the Sanctuary",Other/Fragment,Dedication,,250.5,99,0.0240,"Areopagus, Boule, & Demos",
589,Base Dedicated by Philoi,Base,Other/Uncertain,Outer Courtyard,250.5,99,0.0155,,
590,Statue Base for an Unknown Daughter of an Unknown Pythokhrestos Exegete,Base,Dedication,,250.5,99,0.0200,,
591,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,250.5,99,,,
592,Statue Base for an Unknown Individual,Base,Dedication,,250.5,99,0.0210,,
593,Statue Base for an Unknown Pompeia A[-],Base,Dedication,,250.5,99,0.0230,,
594,Statue Base for an Unknown Priestess of Demeter and Kore,Base,Dedication,,250.5,99,0.0400,,
595,Statue Base(?) Celebrating a Victory,Base,Dedication,,250.5,99,0.0170,,
596,Statue Base for an Unknown Individual,Base,Dedication,,250.5,99,0.0265,,
597,Statue Base(?) for and Unknown Emperor,Base,Dedication,,250.5,99,,,
598,Dedicatory Base for an Unknown Individual,Base,Dedication,,250.5,99,0.0275,,
599,Statue Base for P. Ael. [-],Base,Dedication,,250.5,99,0.0265,,
600,Base Dedicated by Unknown Party,Base,Dedication,,250.5,99,0.0140,,
601,Statue Base for Unknown Official,Base,Dedication,,250.5,99,0.0300,Demos,
602,Statue Base(?) for an Unknown Individual,Base,Dedication,,250.5,99,0.0260,,
603,Statue Base(?) for an Unknown Individual,Base,Dedication,,250.5,99,0.0300,,
604,Statue Base for an Unknown Individual,Base,Dedication,,250.5,99,,"Areopagus, Boule, & Demos",
605,Statue Base for an Unknown Individual,Base,Dedication,,250.5,99,0.0360,,
606,Statue Base for an Unknown Individual,Base,Dedication,,250.5,99,0.0300,,
607,Statue Base for an Unknown Individual,Base,Dedication,,250.5,99,0.0245,,
608,Statue Base(?) for an Unknown Individual,Base,Dedication,,250.5,99,0.0185,,
609,Statue Base for an Unknown Individual,Base,Dedication,,250.5,99,0.0400,,
610,Statue Base(?) for an Unknown Individual,Building or Monument,Dedication,,250.5,99,0.0330,,
611,Statue Base for an Unknown Individual,Other/Fragment,Dedication,,250.5,99,0.0330,,
612,Statue Base for an Unknown Individual,Other/Fragment,Dedication,,250.5,99,0.0570,,
613,Statue Base(?) for an Unknown Individual,Building or Monument,Dedication,,250.5,99,0.0190,,
614,Statue Base(?) for an Unknown Individual,Other/Fragment,Dedication,,250.5,99,0.0310,,
615,Statue Base(?) for an Unknown Individual,Building or Monument,Dedication,,250.5,99,0.0200,,
616,Statue Base(?) for an Unknown Individual,Base,Dedication,,250.5,99,0.0900,,
617,Statue Base for an Unknown Individual,Base,Dedication,,250.5,99,0.0400,,
618,Decree(?),Base,Dedication,,250.5,99,0.1450,,
619,Dedication of a Bath,Base,Dedication,,250.5,99,0.0700,,
620,Statue Base(?) for an Unknown Individual,Base,Other/Uncertain,,250.5,99,0.0560,"Areopagus, Boule, & Demos",
621,"P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate",Base,Dedication,,200.0,50,0.0160,,
622,"Statue Base for an Unknown Grandson of T. Kl. Sospis, Daduch",Base,Dedication,Upper Terrace,200.0,10,0.0200,,
623,"Statue Base for a Sekoundos, Eumolpid",Base,Dedication,,200.0,10,,Areopagus,
624,Statue Base for a M. Aur. Prosdektos Pistokratous Kephalethen,Base,Dedication,Before the Telestrion,200.0,10,0.0210,,
625,"Statue Base for M. Gavius Gallicanus, Proconsul Asiae, Eumolpid",Base,Dedication,Upper Terrace,200.0,10,0.0525,,
626,"Statue Base for the Sophist P. Herennius Ptolemais, Son of P. Herennius, Hierokeryx",Base,Dedication,North of the Telesterion,313.0,24,0.0220,"Areopagus, Boule, & Demos",
627,Statue Base for P. Herennius Ptolemaios of Hermos,Base,Dedication,,313.0,24,0.0320,,
628,"Statue Base for Xenagoras, Son of Xenagoras and Praxagora",Base,Verse,,313.0,24,0.0190,,
629,Statue Base for an Unknown Sister of Likinios Kallistomakhos,Base,Dedication,Before the Telestrion,205.0,10,0.0285,,
630,Statue Base for Ful. Plautianos,Base,Dedication,Before the Telestrion,204.0,2,0.0200,"Areopagus, Boule, & Demos",
631,Statue Base for the Hierophant Apollinarios,Base,Dedication,Before the Telestrion,210.0,10,0.0450,,
632,"Statue Base for Kl. Menandra, Daughter of the Daduch Kl. Philippos",Base,Dedication,Before the Telestrion,210.0,10,0.0350,"Areopagus, Boule, & Demos",
633,"Statue Base for Rouphenia, Mother of Iul. the Hierokeryx",Base,Dedication,,217.5,15,0.0235,Areopagus,
634,"Statue Base for Ptolemaios, Son of Serenos of Gaza",Base,Dedication,,206.5,11,0.0350,Areopagus,
635,"Statue Base for Aur. Magna, Hearth-Initiate",Base,Dedication,,217.0,10,0.0280,Areopagus,
636,"Statue Base for Aur. Paramona, Daughter of Aur. Paramonos of Lamptrai, Heath-Initiate",Base,Dedication,,217.0,10,0.0225,Boule,
637,"Statue Base for Apollonios, Son of Apollonios, Hierophant",Base,Verse,,215.0,10,0.0320,,
637,"Statue Base for Apollonios, Son of Apollonios, Hierophant",Base,Verse,,220.0,10,0.0320,,
638,Decree of the Athenians Concerning the Transport of the Sacred Objects,Base,Decree,South Wall,220.0,10,0.0180,"Areopagus, Boule, & Demos",
639,"Statue Base for Honoratiane Polykharmis, Daughter of Honoratianos Polykharmos, Hearth-Initiate",Base,Dedication,North of the Telesterion,220.0,10,0.0250,,
640,"Dedication Honoring an Unknown Fabius [-], Hearth Initiate",Base,Dedication,,237.5,25,0.0200,,
641,"Statue Base for Eunike, Daughter of Kallaischoros of Phillaidai",Base,Dedication,,237.5,25,0.0230,,
642,"Statue Base for Polyelos Xeinagorou, Hearth-Initiate",Stele,Dedication,Between the Propylaea,237.5,25,,,
643,Edict by an Unknown Party,Base,Edict/Regulation,Between the Propylaea,230.0,10,0.0170,,
644,Statue Base for M. Ulpios Eubiotos Leuros Gargettios,Base,Dedication,,230.0,10,0.0300,,
645,"Statue Base for Kassianos, Hierokeryx",Base,Dedication,Before the Telestrion,236.0,10,0.0350,"Areopagus, Boule, & Demos",
646,"Statue Base for T. Fl. Gklaukos Glaukou Marathonios, Hierophant",Base,Verse,Before the Telestrion,235.0,10,0.0200,,
647,Herm Dedicated to the Emperor Maximinus,Base,Dedication,,235.5,1,0.0300,,
648,"Statue Base for Iun. Themistokleia, Daughter of Honoratiane Polykharmis, Hearth-Initiate",Base,Dedication,,240.0,10,0.0180,,
649,Statue Base for an Unknown Hierophant,Base,Dedication,Before the Telestrion,240.0,10,0.0180,,
650,"Statue Base for Nikagoras, Hierokeryx and Sophist",Base,Dedication,Before the Telestrion,250.0,10,0.0400,,
651,"Dionysia, Daughter of Hermippis, Priestess of Demeter and Kore",Base,Dedication,,250.0,50,0.0360,,
652,Statue Base for an Unknown Relative of an Orator,Base,Dedication,,250.0,50,0.0245,,
653,"Statue Base for a Unknown T. Fl., Altar-Priest",Column/Herm,Dedication,,250.0,50,0.0250,,
654,"Statue Base for Aerarios Sosipatros, Daduch",Base,Dedication,,275.0,50,0.0350,"Areopagus, Boule, & Demos",
655,Letter of the Emperor Gallienus to the Athenians Concerning the Mysteries,Base,Epistle,,265.0,0,0.0180,,
656,"Statue Base for P. Ael. Herennius Dexippos of Hermos, Priest of the Panages",Base,Dedication,North of the Telesterion,270.0,10,0.0250,,
657,Statue Base with a Verse Dedication to an Unknown Individual,Base,Verse,,270.0,10,0.0180,,
658,"Dedicatory Base Set up by Initiates, Pyrros and Roupheinos",Base,Dedication,,270.0,10,0.0140,,
659,Statue Base for Eunike Kallaiskhrou Marathoniou,Base,Verse,Before the Telestrion,287.5,25,0.0100,,
660,Statue Base for the Emperors Diocletian and Maximianus,Base,Dedication,,295.5,19,0.0380,Demos,
661,Statue Base for an Unknown Proconsul,Base,Dedication,Before the Telestrion,250.0,100,0.0180,,
662,Statue Base for an Unknown Individual,Base,Dedication,Before the Telestrion,250.0,100,0.0250,Areopagus,
663,Statue Base for an Unknown Exegete of the Eumolpidai(?),Base,Dedication,,250.0,100,0.0475,,
664,Statue Base(?) for an Unknown Individual,Base,Other/Uncertain,,250.0,100,0.0420,,
665,Statue Base for an Unknown Individual,Base,Dedication,,250.0,100,0.0160,,
666,Base Dedicated by an Unknown Party,Base,Dedication,,150.5,299,,,
667,Base Dedicated by an Unknown party,Base,Dedication,,150.5,299,,Areopagus,
668,Altar Dedicated to Kourotrophos,Base,Dedication,,150.5,299,,,
669,Altar Dedicated to an Unknown Figure,Base,Dedication,,150.5,299,,,
670,Base(?) Dedicated by an Unknown Party,Base,Other/Uncertain,,150.5,299,,,
671,Base(?) Dedicated by an Unknown Party,Base,Other/Uncertain,,150.5,299,,,
672,Fragmentary Inscription,Base,Other/Uncertain,,150.5,299,,,
673,Base Honoring an Unknown Individual,Base,Other/Uncertain,,150.5,299,,,
674,Fragmentary Inscription,Base,Other/Uncertain,,150.5,299,,,
489,Declaration of the Prefect Severus Concerning an Endowment,Base,Other/Uncertain,,169.5,1,,,
489,Decision of a Synhedrion,Base,Other/Uncertain,,169.5,1,,,
