Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Areopagus Sponsor,Boule Sponsor,Demos Sponsor,Inscription: Notes
411,Monument Dedicated by an Unknown Party,Base,Other/Uncertain,,150.5,299,0.0530,False,False,False,
412,Statue Base for an Unknown Individual,Altar,Dedication,,150.5,299,0.0300,False,False,False,
413,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0220,False,False,False,
414,Statue Base for an Unknown Individual,Other/Fragment,Dedication,,150.5,299,0.0250,True,True,True,
415,Statue Base for an Unknown Individaul,Base,Dedication,,150.5,299,0.0370,False,False,False,
416,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,150.5,299,0.0130,False,False,False,
417,Statue Base(?) for an Unknown Individual,Base,Dedication,,150.5,299,0.0300,False,False,False,
418,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0260,False,False,False,
419,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0300,False,False,False,
420,Statue Base(?) for an Unknown Individual,Base,Dedication,,150.5,299,0.0690,False,False,False,
421,Statue Base for an Unknown Individual,Altar,Dedication,,150.5,299,0.0260,False,False,True,
422,Statue Base for an Unknown Emperor,Altar,Dedication,,150.5,299,0.0400,False,False,False,
423,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0700,False,False,False,
424,Statue Base for an Unknown Emperor(?),Base,Dedication,,150.5,299,0.0600,False,False,False,
425,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0310,False,False,False,
426,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0190,False,False,False,
427,Statue Base for an Unknown Individual,Base,Dedication,Before the Telestrion,150.5,299,0.0290,True,True,False,
428,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0180,False,False,False,
429,Statue Base for an Unknown Hearth-Initiate(?),Base,Dedication,,150.5,299,0.0170,False,False,False,
430,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0280,False,False,False,
431,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,150.5,299,0.0275,False,False,False,
432,Dedication by a Woman for her Family,Base,Dedication,,150.5,299,0.0150,False,False,False,
433,"Statue Base for an Unknown Hierophantis, Daughter of Perikles of Oion",Base,Dedication,,112.5,25,0.0270,False,False,False,
433,"Statue Base for Ti. Kl., the Hierophant, Kallikratidou Trikorysios",Base,Dedication,,112.5,25,0.0250,False,False,False,
434,Statue Base Signed by Sotas and [-],Building or Monument,Other/Uncertain,,125.0,40,0.0220,False,False,False,
435,"Statue Base for an Unknown Individual, Dedicated by the Eumolpidai, Lykomidai",Base,Dedication,Before the Telestrion,125.0,40,0.0200,False,False,False,
436,Statue Base for an Unknown Individual,Base,Dedication,Before the Telestrion,125.0,40,0.0170,False,False,False,
437,Statue Base(?) for an Unknown Individual,Base,Dedication,,125.0,40,0.0290,False,False,False,
438,"Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, 'Son of Hellas'",Base,Dedication,,115.0,10,0.0150,False,False,False,
439,Statue Base for Agrius Saturninus,Base,Dedication,Before the Telestrion,122.0,10,0.0250,True,False,False,
440,Dedicatory Base in Honor of Ael. Lysistrate,Base,Dedication,,122.0,10,,True,True,True,
441,"Statue Base for Athenaios Athenaiou Phlyeus, Hearth-Initiate",Base,Dedication,,119.5,11,,True,True,False,
442,"Statue Base for T. Vipsanius [-] Flavianos Kephisieus, Hearth-Initiate",Base,Dedication,,132.5,15,0.0150,False,False,False,
443,Statue Base for a Son of Heroxenos of Marathon,Base,Dedication,,137.5,25,0.0220,False,False,False,
444,Statue Base(?) for G. Memmios Sabeinos Peisandros,Base,Dedication,,128.0,10,,False,False,False,
445,Statue Base for Thrasyllos of Kholleidai,Base,Dedication,,135.0,10,0.0210,False,False,False,
446,Altar Dedicated to Hadrian,Base,Dedication,,132.0,10,0.0200,False,False,False,
447,Altar Dedicated by the Akhaioi,Base,Dedication,Outer Courtyard,136.0,10,0.1000,False,False,False,
