ID,Label,Interval,Category,Type,Origin,Roman Citizenship
2391,Nikostrate Meneou,"<[187.5, 350]>",Athenian (No Roman Status),Female,Athens,
2393,Ail. Epilampsis Gelotos,"<[187.5, 350]>",Athenian with Roman Citizenship,Female,Athens,
2402,P. Pom. Hegios II,"<[187.5, 350]>",Athenian with Roman Citizenship,Male,Athens,
2404,T. Fl. Leosthenes II,"<[187.5, 350]>",Athenian with Roman Citizenship,Male,Athens,
2405,Daughter of T. Fl. Leosthenes II,"<[187.5, 350]>",Athenian with Roman Citizenship,Female,Athens,
2417,Iun. Agathopodos,"<[150.5, 350]>",Athenian with Roman Citizenship,Uncertain,Athens,
2418,Demetrios Apolloniou,"<[150.5, 350]>",Athenian (No Roman Status),Male,Athens,
2431,"Poll[io]n[a?], Hearth-Initiate","<[150.5, 350]>",Athenian with Roman Citizenship,Female,Athens,
2432,Son or Daughter of a [N]um[ius],"<[150.5, 350]>",Athenian with Roman Citizenship,Uncertain,Athens,
2434,T. Fl. Ateimetos Peiraieus,"<[250.5, 350]>",Athenian with Roman Citizenship,Male,Athens,
2436,Onesime Papiou,"<[250.5, 350]>",Athenian (No Roman Status),Female,Athens,
2439,Sabeiniane Hamillo,"<[250.5, 350]>",Athenian with Roman Citizenship,Female,Athens,
2452,P. Ail. Herennia P. Ail. Apolloniou,"<[200.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2453,P. Ail Apollonios,"<[200.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2454,P. Ail. Herennia,"<[200.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2461,Sekoundos the Eumolpid,"<[200.0, 350]>",Roman,Male,Rome,
2463,M. Aur. Prosdektos Pistokrates,"<[200.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2468,Xenagoras II  Xenagorou,"<[313.0, 350]>",Athenian (No Roman Status),Male,Athens,
2469,Xenagoras I,"<[313.0, 350]>",Athenian (No Roman Status),Male,Athens,
2470,Praxagora [?],"<[313.0, 350]>",Athenian (No Roman Status),Female,Athens,
2471,Licinius Kallistomakhos,"<[205.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2472,Kl. Kallistomakhos,"<[205.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2475,Fl. Plautianos,"<[204.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2477,Kl. Menandra II,"<[210.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2478,Roupheina,"<[217.5, 350]>",Roman,Female,Rome,
2481,Ptolemais Serenou of Gaza,"<[206.5, 350]>",Athenian (No Roman Status),Male,Athens,
2482,Aur. Magna,"<[217.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2484,Aur. Epaphrodeitos Asklepiadou,"<[217.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2485,Aur. Magna II Magnou,"<[217.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2486,Aur. Paramona Paramonou,"<[217.0, 350]>",Athenian with Roman Citizenship,Female,Athens,
2503,Casianus Hierokeryx,"<[236.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2517,"Aerarius Sosipatros, Daduch","<[275.0, 350]>",Athenian with Roman Citizenship,Male,Athens,
2533,Emperor Maximianus,"<[295.5, 350]>",Roman,Male,Rome,
