Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Public Sponsors,Honorand,Honorand Origin,Honorand Gender,Honorand Roman Citizen,Honorand Family,Inscription: Notes
302,"Statue Base for an Unknown Hearth-Initiate, son of Themistokles Hagnousios",Base,Dedication,Before the Telestrion,-13.0,24,0.0225,Demos,[?] Hearth-Initiate Themistokleous,Athens,Male,False,,
305,Statue Base for Polyainos Nikandrou Sounieus,Base,Dedication,,-13.0,24,0.0270,Boule & Demos,Polyainos Nikandrou,Athens,Male,False,,
307,"Statue Base for Diotima, Hearth-Initiate",Base,Dedication,,-50.5,99,0.0170,,Diotima,Athens,Female,False,,
308,Statue Base for Diodotos Kalliphontos Pamotades,Base,Dedication,,-50.5,99,0.0210,Demos,Diodotos Kalliphontos,Athens,Male,False,,
312,Statue Base for Dionysios Son of Dionysios,Stele,Dedication,,50.0,300,0.0270,Areopagus,Dionysios Dionysiou,Athens,Male,False,,
323,"Statue Base for Atheno Niketou Hagnousiou, Hearth-Initiate",Base,Dedication,,0.0,50,,"Areopagus, Boule, & Demos",Atheno Niketou,Athens,Male,False,,
324,"Statue Base for Pammenes Pammenous Marathonios, Exegete of the Eumolpidai",Base,Dedication,Before the Telestrion,13.0,24,0.0300,"Areopagus, Boule, & Demos",Pammenes Pammenous,Athens,Male,False,,
325,Statue Base for a Unknown Hierophantis,Base,Dedication,,13.0,24,,Demos,Hierophantis Mos[kh.],Athens,Female,False,,
327,Statue Base for Antamenes Leontichou Epieikides,Base,Dedication,Outer Courtyard,13.0,24,0.0280,Areopagus & Demos,Antamenes Leontikhou,Athens,Male,False,,
329,"Statue Base for an Unknown Hearth-Initiate, Daughter of Polycharmos of Azenia",Other/Fragment,Dedication,,-6.5,41,,Boule,Polykharmos Polykritos,Athens,Male,False,,
329,"Statue Base for an Unknown Hearth-Initiate, Daughter of Polycharmos of Azenia",Other/Fragment,Dedication,,-6.5,41,,Boule,Polykharmos Polykritos,Athens,Male,False,,
330,Statue Base for Polycharmos Polykritou Azenieus,Base,Dedication,,-6.5,41,0.0295,Demos,Polykharmos Polykritos,Athens,Male,False,,
331,Statue Base for Emperor Tiberius,Base,Dedication,,25.5,23,0.0350,,Emperor Tiberius,Rome,Male,True,,
333,Statue Base for Menandros Asklepiodotou Gargettios,Base,Dedication,Before the Telestrion,20.0,10,0.0220,,Menandros Asklepiodotou,Athens,Male,False,,
334,Monument for Emperor Tiberius,Base,Dedication,,20.0,10,0.0450,"Areopagus, Boule, & Demos",Emperor Tiberius,Rome,Male,True,,
335,Monument for Iulia Augusta,Other/Fragment,Dedication,,25.0,10,0.0450,"Areopagus, Boule, & Demos",Iulia Augusta,Rome,Female,True,,
344,"Statue Base for Polycharmos Eukleous Marathonios, High Priest of Tiberius",Base,Dedication,Before the Telestrion,33.5,7,0.0300,,Polykharmos Eukleous,Athens,Male,False,,
345,Statue Base for Titus Statilius Lamprias,Base,Dedication,,43.0,10,,"Areopagus, Boule, & Demos",T. Statilius Lamprias,Rome,Male,True,,
347,"Statue Base for P. Papinus Statius, Dedicated by the Areopagus",Base,Dedication,,50.0,50,0.0215,Areopagus & Demos,P. Papinius Statius,Rome,Male,True,,
347,"Statue Base for a Proconsul, Dedicated by the Demos",Base,Dedication,,50.0,50,0.0215,,"[.]on, Consul",Rome,Male,True,,
348,Statue Base for Diokles Themistokleous Hagnousios,Base,Dedication,,50.0,20,0.0200,"Areopagus, Boule, & Demos",Diokles Themistokles Hagnousios,Athens,Male,False,,
349,"Statue Base for Athenais, Daughter of Diokles Hagnousios",Stele,Dedication,Before the Telestrion,50.0,20,,"Areopagus, Boule, & Demos",Athenais Diokleous,Athens,Female,False,,
350,Statue Base for Marcus Porcius Cato,Base,Dedication,,50.0,20,0.0300,,M. Porcius Cato,Rome,Male,True,,
351,"Statue Base for Seilon Apolloniou Meliteus, Hearth-Initiate",Base,Dedication,,50.0,20,0.0180,"Areopagus, Boule, & Demos",Seilon Apolloniou,Athens,Male,False,,
352,"Statue Base for Caius Caecilius Kasios, Acharneus",Base,Dedication,Before the Telestrion,50.0,20,0.0300,"Areopagus, Boule, & Demos",G. Caecilius Cassius,Rome,Male,True,,
353,Statue Base for an Unknown Daughter of Statilius of Sphettos,Building or Monument,Dedication,,50.0,20,0.0250,"Areopagus, Boule, & Demos",Statilia [.],Rome,Female,True,,
354,"Architrave with Dedication by Tiberius Klaudios Eukles Sostratou, Priest of Iulia Agrippina Sebaste",Building or Monument,Dedication,,54.5,9,,,Iulia Agrippina,Rome,Female,True,,
356,Statue Base for Tiberius Klaudios Nouios Philinou of Oion,Base,Dedication,,55.0,10,0.0250,,Ti. Kl. Nouios Philinou,Athens,Male,True,,
357,"Statue Base for Tiberius Klaudios Demostratos Ti. Klaudii Neikotelous Sounieus, Hearth Initiate",Base,Dedication,,55.0,10,0.0170,,Ti. Kl. Demostratos,Athens,Male,True,,
358,Statue Base for Klaudios Asklepiodoros Gargettios,Base,Dedication,,55.0,10,0.0250,,Kl. Asklepiodoros,Athens,Male,True,,
359,Statue Base for an Exegete,Base,Dedication,,75.0,50,0.0240,,[?] Exegete of Eumolpidai,Athens,Male,False,,
361,Statue Base for Tiberius Klaudios Nouios of Oion,Building or Monument,Dedication,,60.0,10,,,Ti. Kl. Nouios Philinou,Athens,Male,True,,
362,"Status Base for Iulius Nikanor, New Homer and New Themistokles",Base,Dedication,,60.0,10,0.0220,"Areopagus, Boule, & Demos",Iul. Nikanor,Syria,Male,True,,
363,Entablature,Base,Dedication,Before the Telestrion,99.0,78,0.0400,,[?] Emperor,Rome,Male,True,,
364,Monument for Klaudia Alkia,Base,Dedication,,65.0,10,0.0140,,Kl. Alkia,Athens,Female,True,,
365,Statue Base for Titus Flavius Sophokles T. Flavii Kononos Sounieus,Base,Dedication,,75.0,10,0.0200,,T. Fl. Sophokles T. Fl. Kononos,Athens,Male,True,,
366,Statue Base for Titus Flavius Konon Kononos Sounieus,Base,Dedication,,77.5,5,0.0230,,T. Fl. Konon Kononos,Athens,Male,True,,
367,Statue Base for Titus Flavius Sophokles Kononos Sounieus,Base,Dedication,,77.5,5,0.0250,,T. Fl. Sophokles T. Fl. Kononos,Athens,Male,True,,
370,"Statue Base for Publius Fulvius Metrodoros, Hearth-Initiate",Base,Dedication,,85.0,10,0.0100,,P. Fulvius Maximos Sounieus,Athens,Male,True,,
371,"Statue Base for Klaudia Philoxena, Hierophantis",Base,Dedication,,97.5,15,0.0250,,Kl. Philoxena Patronos,Athens,Female,True,,
373,"G. Kl. Seilianos Polykritos, Hearth-Initiate",Building or Monument,Dedication,,97.5,15,,,G. Kl. Seilianos Polykritos,Athens,Male,True,,
374,Statue Base for Zopyros Zopyrou Piraieos,Base,Dedication,,97.5,15,0.0230,,Zophyros Zopyrou,Athens,Male,False,,
377,Statue Base for the Unknown Wife of Ammonios of Kholleidai,Base,Dedication,,87.5,25,0.0190,,[?] Wife of Ammonios Kholleides,Athens,Female,False,,
378,Statue Base for Eraton Eratonos Besaieus,Base,Dedication,,50.5,99,0.0280,Areopagus & Boule,Eraton Eratonos,Athens,Male,False,,
380,"Statue Base for Athenais, Granddaughter of a Hierophantis",Base,Dedication,Before the Telestrion,50.5,99,0.0120,,Athenais,Athens,Female,False,,
381,Statue Base for a [-]ppos Herakleitou Gargettios,Base,Dedication,,50.5,99,0.0290,Demos,[.]ppos Herokleitou,Athens,Male,False,,
382,Statue Base for Kl. Theophilos and Kl. S[-],Base,Dedication,,50.5,99,0.0130,,Kl. Theophilos,Athens,Male,True,,
383,Statue Base for a T. Flavius,Building or Monument,Dedication,,50.5,99,0.0130,"Areopagus, Boule, & Demos",T. Fl [?],Athens,Uncertain,False,,
384,"Statue Base for a L. Pompeios, Hearth-Initiate",Base,Dedication,,50.5,99,0.0400,,L. Pompeius [?],Rome,Male,True,,
385,Statue Base for a L. Pompeios,Base,Dedication,,50.5,99,0.0100,,L. Pompeius Pompeiou,Rome,Male,True,,
389,Son of Tryphon Phylasios,Building or Monument,Dedication,,50.5,99,0.0900,"Areopagus, Boule, & Demos",Tryphon Phylasios,Athens,Male,False,,
394,Dedication to Dionysios Lenaios,Base,Dedication,,100.5,199,0.0100,Boule,[?] Kanephoros,Athens,Male,False,,
395,Statue Base for a Hearth-Initiate,Base,Dedication,,100.5,199,0.0210,,Kl. [?],Athens,Uncertain,True,,
396,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,100.5,199,0.0160,Demos,[?] Daughter of [.]dous,Athens,Female,False,,
398,Statue Base for Kourtia Stratonike,Base,Dedication,Before the Telestrion,100.5,199,0.0430,,Curtia Straontike,Athens,Female,True,,
399,"Statue Base for Kallisto, Daughter of Kallimakhos",Base,Dedication,Before the Telestrion,100.5,199,0.0340,,Kallisto Kallimakhou,Athens,Female,False,,
402,Statue Base for an Unknown Individual,Base,Dedication,,100.5,199,0.0310,"Areopagus, Boule, & Demos",T. [?],Other/Uncertain,Uncertain,True,,
431,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,150.5,299,0.0275,,[?] Hearth-Initiate,Athens,Uncertain,False,,
432,Dedication by a Woman for her Family,Base,Dedication,,150.5,299,0.0150,,[?] Husband of Woman,Athens,Male,False,,
433,"Statue Base for an Unknown Hierophantis, Daughter of Perikles of Oion",Base,Dedication,,112.5,25,0.0270,,Hierophantis Perikleous,Athens,Female,False,,
435,"Statue Base for an Unknown Individual, Dedicated by the Eumolpidai, Lykomidai",Base,Dedication,Before the Telestrion,125.0,40,0.0200,,[?] Priest,Athens,Male,False,,
438,"Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, 'Son of Hellas'",Base,Dedication,,115.0,10,0.0150,,Viboullia Alkia,Athens,Female,True,,
438,"Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, 'Son of Hellas'",Base,Dedication,,115.0,10,0.0150,,Viboullia Alkia,Athens,Female,True,,
439,Statue Base for Agrius Saturninus,Base,Dedication,Before the Telestrion,122.0,10,0.0250,Areopagus,Agrius Saturninus,Rome,Male,True,,
440,Dedicatory Base in Honor of Ael. Lysistrate,Base,Dedication,,122.0,10,,"Areopagus, Boule, & Demos",Ael. Lysistrate,Athens,Female,True,,
441,"Statue Base for Athenaios Athenaiou Phlyeus, Hearth-Initiate",Base,Dedication,,119.5,11,,Areopagus & Boule,Athenaios Epaphrodeitos Athenaiou,Athens,Male,False,,
442,"Statue Base for T. Vipsanius [-] Flavianos Kephisieus, Hearth-Initiate",Base,Dedication,,132.5,15,0.0150,,T. Vipsanius [.] Flavianos,Athens,Male,True,,
443,Statue Base for a Son of Heroxenos of Marathon,Base,Dedication,,137.5,25,0.0220,,[?] Son of Heroxenos Marathonios,Athens,Male,False,,
444,Statue Base(?) for G. Memmios Sabeinos Peisandros,Base,Dedication,,128.0,10,,,G. Memmius Sabeinos Peisandros,Athens,Male,True,,
445,Statue Base for Thrasyllos of Kholleidai,Base,Dedication,,135.0,10,0.0210,,Thrasyllos Kholleides,Athens,Male,False,,
446,Altar Dedicated to Hadrian,Base,Dedication,,132.0,10,0.0200,,Emperor Hadrian,Rome,Male,True,,
453,Statue Base for the Deified Hadrian Panhellenios,Base,Dedication,Outer Courtyard,160.0,44,0.1100,,Emperor Hadrian,Rome,Male,True,,
455,"Statue Base for L. Vipsanios Aiolion Phlyeus, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0260,"Areopagus, Boule, & Demos",L. Vipsanius Lailianos,Athens,Male,True,,
455,"Statue Base for L. Vipsanios Aiolion Phlyeus, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0260,"Areopagus, Boule, & Demos",L. Vipsanius Lailianos,Athens,Male,True,,
455,"Statue Base for L. Vipsanios Aiolion Phlyeus, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0260,"Areopagus, Boule, & Demos",L. Vipsanius Lailianos,Athens,Male,True,,
456,"Statue Base for Relative of L. Vipsanios Aiolion, Exegete of the Eumolpidai",Base,Dedication,,145.0,10,0.0315,,[?] Relative of L. Vipsanius Aiolion,Athens,Uncertain,True,,
458,"Statue Base for Iun. [-] Meletine, Daughter of Iun. Patron of Berenikidai, Hearth-Initiate",Base,Dedication,,145.0,10,0.0110,,Iunia [?] Iun. Patronos,Athens,Female,True,,
459,"Statue Base for Nummia Kleo, Hearth-Initiate",Base,Dedication,,145.0,10,0.0300,,Nummia Kleo,Athens,Female,True,,
460,Statue Base for Ti. Kl. Attikos of Marathon,Base,Dedication,,125.0,50,0.0230,,Ti. Kl. Attikos Marathonios,Athens,Male,True,,
461,"Statue Base Galeria Annia Faustina Sebaste, Daughter of Emperor Antoninus and Wife of M. Aur. Verus",Base,Dedication,,153.0,14,0.0445,,Annia Faustina,Rome,Female,True,,
461,"Statue Base for Domitia Lucilla, Daughter of M. Aur. Verus",Base,Dedication,,153.0,14,0.0615,,Domitia Lucilla,Rome,Female,True,,
462,"Statue Base for Nummios Nigreinos, Hierokeryx",Base,Dedication,Before the Telestrion,150.0,10,,,Nummius Nigreinos,Athens,Male,True,,
463,Statue Base for Menandra of Ephesos,Base,Dedication,,150.0,50,0.0170,,Menandra of Ephesus,Athens,Female,False,,
464,Statue Base D. Iun. Menneas D. Iun. Patronos Berenikides,Base,Dedication,,150.0,50,0.0170,,D. Iun. Menneas,Athens,Male,True,,
465,"Statue Base for Phirmos Gargettios, Hierophant",Base,Dedication,Outer Courtyard,150.0,50,0.0180,,Phirmus Gargettios,Athens,Male,True,,
466,"Statue Base for D. Iun. Peiraieus, Hierophant",Column/Herm,Dedication,,150.0,50,0.0210,,D. Iun. Peiraieus,Athens,Male,True,,
467,"Statue Base for an Unknown Hearth-Initiate, Relative of the Daduch Ti. Kl. Lysiades",Base,Dedication,,150.0,50,,,[?] Relative of Ti. Cl. Lysiades,Athens,Male,True,,
468,Statue Base for Ael. Praxagoras of Melite,Base,Dedication,,150.0,50,0.0330,,Ail. Praxagoras,Athens,Male,True,,
470,"Statue Base for Klementiane, Daughter of Arrian",Base,Dedication,,175.0,50,0.0160,,Klementiane,Athens,Female,True,,
471,Statue Base for an Unknown Emperor,Base,Dedication,,175.0,50,0.0800,,[?] Emperor,Rome,Male,True,,
472,Statue Base for an Unknown Member of the Klaudii of Melite,Base,Dedication,,175.0,50,0.0250,,[?] Claudius of Melite,Athens,Male,True,,
473,"Statue Base for Sergius Salvidius Orfitus, Dedicated by The Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,"Areopagus, Boule, & Demos",Sergius Salvidius Scipio Orfitus,Rome,Male,True,,
473,"Statue Base for Calpurnia Lepida, Daughter of L., Wife of Scipio Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,"Areopagus, Boule, & Demos",Calpurnia L. Lepida,Rome,Female,True,,
473,"Statue Base for Sergius Calpurius Scipio Orfitus, Son of Scipio Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,"Areopagus, Boule, & Demos",Sergius Calpurnius Scipio Orfitus,Rome,Male,True,,
473,"Statue Base for L. Calpurnius Scipio, son of Orfitus, Dedicated by the Areopagus, Boule, and Demos",Base,Dedication,South Wall,155.0,10,0.0550,"Areopagus, Boule, & Demos",L. Calpurnius Piso,Rome,Male,True,,
474,"Statue Base for P. Ael. Teimosthenes Berenikides, Son of Ael. Zenon, Hearth-Initiate",Base,Dedication,South Wall,155.0,10,0.0200,,P. Ail. Timosthenes,Athens,Male,True,,
475,"Statue Base for Elpinike, Daughter of Herodes Attikos, Hearth-Initiate",Base,Dedication,,155.0,10,0.0245,,Elpinike Atria,Athens,Female,True,,
476,"Statue Base for Regilla, Wife of Herodes Attikos",Base,Dedication,Before the Telestrion,160.0,10,0.0280,,Regilla,Rome,Female,True,,
