Inscription: IE,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Public Sponsors,Honorand,Honorand Origin,Honorand Gender,Honorand Roman Citizen,Honorand Family,Inscription: Notes
508,"Statue Base of Deified Faustina, Wife of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0850,,Faustina,Rome,Female,True,,
509,"Statue Base for Sabina, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0575,,Sabina,Rome,Female,True,,
510,"Statue Base for Faustina, Daughter of M. Aurelius",Base,Dedication,Outer Courtyard,181.0,2,0.0600,,Faustina II,Rome,Female,True,,
511,"Statue Base for Praxagora, Daughter of Demostratos of Melite, Hearth-Initiate",Base,Dedication,Before the Telestrion,182.5,5,0.0240,,Praxagora Demostratou,Athens,Female,False,,
517,Statue Base(?) for an Unknown Individual,Base,Dedication,,202.0,18,0.0290,Demos,Emperor Septimius Severus,Rome,Male,True,,
518,Based Dedicated in Honor of the Emperor Septimius Severus and the Empress Iul. Domna,Base,Dedication,,196.5,3,0.0230,,Iul. Domna,Rome,Female,True,,
518,Based Dedicated in Honor of the Emperor Septimius Severus and the Empress Iul. Domna,Base,Dedication,,196.5,3,0.0230,,Iul. Domna,Rome,Female,True,,
520,"Statue Base for Kl. Themistokleia, Daughter of the Daduch Kl. Philippos, Hearth-Initiate",Base,Dedication,,187.5,25,0.0300,,Kl. Themistoklea,Athens,Female,True,,
521,"Statue Base for Kl. Menandra, Daughter of Kl. Philippos",Base,Dedication,,187.5,25,0.0350,,Kl. Menandra,Athens,Female,True,,
522,"Statue Base for Nikostrate Menneou Berenikidou, Hearth-Initiate",Base,Dedication,,187.5,25,0.0220,Areopagus & Demos,Nikostrate Meneou,Athens,Female,False,,
523,"Statue Base for Ael. Epilampsis, Daughter of Ael. Gelos of Phaleron, Priestess of Demeter and Kore",Other/Fragment,Dedication,Before the Telestrion,187.5,25,0.0160,,Ail. Epilampsis Gelotos,Athens,Female,True,,
524,Statue Base for an Unknown Daughter of T. Fl. Leosthenes of Paiania,Base,Dedication,,187.5,25,0.0170,,Daughter of T. Fl. Leosthenes II,Athens,Female,True,,
528,Herm Honoring Demetrios Apolloniou Marathonios,Base,Dedication,,150.5,99,0.0200,Areopagus,Iun. Agathopodos,Athens,Uncertain,True,,
529,Herm Honoring Demetrios Apolloniou Marathonios,Base,Dedication,,150.5,99,,Areopagus,Demetrios Apolloniou,Athens,Male,False,,
531,Statue Base for an Unknown Exegete of the Eumolpidai,Base,Dedication,Before the Telestrion,150.5,99,0.0195,,[?] Exegete of Eumolpidai,Athens,Male,False,,
533,Statue Base for an Unknown High-Priest,Base,Dedication,,150.5,99,0.0150,,[?] High Priest Ti. Kl. Lianou,Athens,Male,True,,
536,"Statue Base for Lolliane, Daughter of Glaukos",Base,Dedication,,150.5,99,0.0295,,Lolliane Glaukou,Athens,Female,False,,
543,Statue Base for an Unknown Klaudios,Base,Dedication,,150.5,99,0.0260,,[?] Claudius,Athens,Male,True,,
544,Statue Base for an Unknown Exegete,Base,Dedication,,150.5,99,0.0345,,[?] Exegete,Athens,Male,False,,
545,Statue Base for an Unknown Exegete of the Eumolpidai,Base,Dedication,,150.5,99,0.0330,,[?] Exegete of Eumolpidai,Athens,Male,False,,
546,Statue Base for Praxagoras of Melite,Base,Dedication,,150.5,99,0.0220,,Praxagoras? Of Melite,Athens,Male,False,,
548,Statue Base for an Unknown Individual,Base,Dedication,,150.5,99,0.0230,,[Epaphro]dit[as]?,Athens,Male,False,,
551,Large Monument in Honor of an Unknown Hearth-Initiate,Base,Dedication,,150.5,99,0.0430,,"Poll[io]n[a?], Hearth-Initiate",Athens,Female,True,,
558,Statue Base for an Unknown Son or Daughter of a Nummios,Building or Monument,Dedication,,150.5,99,0.0205,"Areopagus, Boule, & Demos",Son or Daughter of a [N]um[ius],Athens,Uncertain,True,,
587,"Statue Base for T. Fl. Ateiemtos Son of T. Fl. Agathon of Peiraieus, Hearth-Initiate",Column/Herm,Dedication,,250.5,99,0.0300,Areopagus,T. Fl. Ateimetos Peiraieus,Athens,Male,True,,
588,"Statue Base for Sabeiniane Hamillo, Priestess of Athena Polias, Probably Not from the Sanctuary",Other/Fragment,Dedication,,250.5,99,0.0240,"Areopagus, Boule, & Demos",Sabeiniane Hamillo,Athens,Female,True,,
590,Statue Base for an Unknown Daughter of an Unknown Pythokhrestos Exegete,Base,Dedication,,250.5,99,0.0200,,[?] Daughter of Pythokhrestos Exegete,Athens,Female,False,,
591,Statue Base for an Unknown Hearth-Initiate,Base,Dedication,,250.5,99,,,[?] Daughter of Kyklobols Hagnousios,Athens,Female,False,,
593,Statue Base for an Unknown Pompeia A[-],Base,Dedication,,250.5,99,0.0230,,Pompeia A[.],Athens,Female,True,,
597,Statue Base(?) for and Unknown Emperor,Base,Dedication,,250.5,99,,,[?] Emperor,Rome,Male,False,,
599,Statue Base for P. Ael. [-],Base,Dedication,,250.5,99,0.0265,,P. Ail. [.],Athens,Uncertain,True,,
602,Statue Base(?) for an Unknown Individual,Base,Dedication,,250.5,99,0.0260,,Lysiades,Athens,Male,False,,
621,"P. Ael. Herennia, Daughter of P. Ael. Apollonios, Hearth Initiate",Base,Dedication,,200.0,50,0.0160,,P. Ail. Herennia P. Ail. Apolloniou,Athens,Female,True,,
622,"Statue Base for an Unknown Grandson of T. Kl. Sospis, Daduch",Base,Dedication,Upper Terrace,200.0,10,0.0200,,[?] Grandson of Ti. Kl. Sospis,Athens,Male,True,,
623,"Statue Base for a Sekoundos, Eumolpid",Base,Dedication,,200.0,10,,Areopagus,Sekoundos the Eumolpid,Rome,Male,True,,
624,Statue Base for a M. Aur. Prosdektos Pistokratous Kephalethen,Base,Dedication,Before the Telestrion,200.0,10,0.0210,,M. Aur. Prosdektos Pistokrates,Athens,Male,True,,
625,"Statue Base for M. Gavius Gallicanus, Proconsul Asiae, Eumolpid",Base,Dedication,Upper Terrace,200.0,10,0.0525,,M Gavius Gallicanus,Rome,Male,True,,
627,Statue Base for P. Herennius Ptolemaios of Hermos,Base,Dedication,,313.0,24,0.0320,,P. Herennios Ptolemaios P. Herenniou,Athens,Male,True,,
628,"Statue Base for Xenagoras, Son of Xenagoras and Praxagora",Base,Verse,,313.0,24,0.0190,,Xenagoras II  Xenagorou,Athens,Male,False,,
629,Statue Base for an Unknown Sister of Likinios Kallistomakhos,Base,Dedication,Before the Telestrion,205.0,10,0.0285,,Kl. Kallistomakhos,Athens,Male,True,,
630,Statue Base for Ful. Plautianos,Base,Dedication,Before the Telestrion,204.0,2,0.0200,"Areopagus, Boule, & Demos",Fl. Plautianos,Athens,Male,True,,
631,Statue Base for the Hierophant Apollinarios,Base,Dedication,Before the Telestrion,210.0,10,0.0450,,Hierophant Apollinarios,Athens,Male,False,,
632,"Statue Base for Kl. Menandra, Daughter of the Daduch Kl. Philippos",Base,Dedication,Before the Telestrion,210.0,10,0.0350,"Areopagus, Boule, & Demos",Kl. Menandra II,Athens,Female,True,,
633,"Statue Base for Rouphenia, Mother of Iul. the Hierokeryx",Base,Dedication,,217.5,15,0.0235,Areopagus,Roupheina,Rome,Female,True,,
634,"Statue Base for Ptolemaios, Son of Serenos of Gaza",Base,Dedication,,206.5,11,0.0350,Areopagus,Ptolemais Serenou of Gaza,Athens,Male,False,,
635,"Statue Base for Aur. Magna, Hearth-Initiate",Base,Dedication,,217.0,10,0.0280,Areopagus,Aur. Magna,Athens,Female,True,,
636,"Statue Base for Aur. Paramona, Daughter of Aur. Paramonos of Lamptrai, Heath-Initiate",Base,Dedication,,217.0,10,0.0225,Boule,Aur. Paramona Paramonou,Athens,Female,True,,
637,"Statue Base for Apollonios, Son of Apollonios, Hierophant",Base,Verse,,215.0,10,0.0320,,Apollonios Apolloniou II,Athens,Male,True,,
637,"Statue Base for Apollonios, Son of Apollonios, Hierophant",Base,Verse,,220.0,10,0.0320,,Apollonios Apolloniou II,Athens,Male,True,,
639,"Statue Base for Honoratiane Polykharmis, Daughter of Honoratianos Polykharmos, Hearth-Initiate",Base,Dedication,North of the Telesterion,220.0,10,0.0250,,Honoratiane Polykharmis Polykharmou,Athens,Female,True,,
640,"Dedication Honoring an Unknown Fabius [-], Hearth Initiate",Base,Dedication,,237.5,25,0.0200,,Fabius [.],Other/Uncertain,Uncertain,True,,
641,"Statue Base for Eunike, Daughter of Kallaischoros of Phillaidai",Base,Dedication,,237.5,25,0.0230,,Eunnike Kallaiskhros,Athens,Female,False,,
644,Statue Base for M. Ulpios Eubiotos Leuros Gargettios,Base,Dedication,,230.0,10,0.0300,,M. Ulpius Eubiotos Leuros Gargettios,Athens,Male,True,,
645,"Statue Base for Kassianos, Hierokeryx",Base,Dedication,Before the Telestrion,236.0,10,0.0350,"Areopagus, Boule, & Demos",Casianus Hierokeryx,Athens,Male,True,,
646,"Statue Base for T. Fl. Gklaukos Glaukou Marathonios, Hierophant",Base,Verse,Before the Telestrion,235.0,10,0.0200,,T. Fl. Glaukos Glaukou,Athens,Male,True,,
647,Herm Dedicated to the Emperor Maximinus,Base,Dedication,,235.5,1,0.0300,,Emperor Maximinus,Rome,Male,True,,
648,"Statue Base for Iun. Themistokleia, Daughter of Honoratiane Polykharmis, Hearth-Initiate",Base,Dedication,,240.0,10,0.0180,,Iun. Themistoklea Polykharmidos,Athens,Female,True,,
649,Statue Base for an Unknown Hierophant,Base,Dedication,Before the Telestrion,240.0,10,0.0180,,[?] Hierophant,Athens,Male,False,,
650,"Statue Base for Nikagoras, Hierokeryx and Sophist",Base,Dedication,Before the Telestrion,250.0,10,0.0400,,"Nikagoras, Hierokeryx",Athens,Male,False,,
653,"Statue Base for a Unknown T. Fl., Altar-Priest",Column/Herm,Dedication,,250.0,50,0.0250,,"T. Fl., Altar-Priest",Athens,Male,True,,
654,"Statue Base for Aerarios Sosipatros, Daduch",Base,Dedication,,275.0,50,0.0350,"Areopagus, Boule, & Demos","Aerarius Sosipatros, Daduch",Athens,Male,True,,
656,"Statue Base for P. Ael. Herennius Dexippos of Hermos, Priest of the Panages",Base,Dedication,North of the Telesterion,270.0,10,0.0250,,P. Ail. Herennius Dexippos,Athens,Male,True,,
659,Statue Base for Eunike Kallaiskhrou Marathoniou,Base,Verse,Before the Telestrion,287.5,25,0.0100,,Eunike Kallaiskhrou,Athens,Male,False,,
660,Statue Base for the Emperors Diocletian and Maximianus,Base,Dedication,,295.5,19,0.0380,Demos,Emperor Maximianus,Rome,Male,True,,
661,Statue Base for an Unknown Proconsul,Base,Dedication,Before the Telestrion,250.0,100,0.0180,,[?] Proconsul,Rome,Male,True,,
663,Statue Base for an Unknown Exegete of the Eumolpidai(?),Base,Dedication,,250.0,100,0.0475,,[?] Exegete of Eumolpidai?,Athens,Male,False,,
