Institution: Title,Institution: Origin,Institution: Type,Office: Title,Office: Origin,Office: Type,Officer: Description,Officer: Origin,Officer: Gender,Officer: Name(s),Officer: Deme,Officer: Athenian Citizen,Officer: Roman Citizen,Officer: Family,Officer: Extended Family,Institution: Total Appearances,Institution: Total Offices,Institution: Total Office Appearances,Institution: Total Officers,Institution: Total Officer Appearances,Institution: Total People Co-Appearances,Institution: Total Institutional Co-Appearances,Institution: Total Honors Co-Appearances,Institution: Total People Co-Appearances with Officers,Institution: Total Institutional Co-Appearances with Officers,Office: Total Appearances,Office: Total People Honored,Office: Total Times People Honored,Office: Total Athenians Honored,Office: Total Athenians with Roman Citizenship Honored,Office: Total Romans Honored,Office: Total Times Athenians Honored,Office: Total Times Athenians with Roman Citizenship Honored,Office: Total Times Romans Honored,Office: Total Times Sponsored Honored,Office: Total Times Honorand Honored,Officer: Total Appearances,Officer: Total Sponsors,Officer: Total Officers,Officer: Total Institutional Affililiations,Officer: Total Honors,Officer: Total Athenian Honors,Officer: Total Roman Honors,Officer: Total Eleusinian Honors,Officer: RCA,Officer: PA,Officer: PAA,Officer: LGPN,Officer: Uncertain,Institution: ID,Office: ID,Officer: ID,Institution: Notes,Office: Notes,Officer: Notes
Areopagus,Athens,Public,Epimelite of the City,Athens,Magistracy,Papios Marathonios,Athens,Male,Papios Marathonios,,True,False,,,84,7,68,43,56,151,203,164,274,104,2,6,6,6,3,0,6,3,0,3,2,1,0,,2,2,1,1,0,,,,,False,1000,3058,2133,,,
Areopagus,Athens,Public,Epimelite of the City,Athens,Magistracy,Praxagoras,Athens,Male,Praxagoras Praxagoras,,True,False,,,84,7,68,43,56,151,203,164,274,104,2,6,6,6,3,0,6,3,0,3,2,1,0,,2,2,1,1,0,,,,,False,1000,3058,2136,,,
Areopagus,Athens,Public,Epimelite of the City,Athens,Magistracy,Apollonios Seilonos,Athens,Male,Apollonios Seilonos,,True,False,,,84,7,68,43,56,151,203,164,274,104,2,6,6,6,3,0,6,3,0,3,2,1,0,,1,1,1,0,0,,,,,False,1000,3058,2148,,,
Areopagus,Athens,Public,Epimelite of the City,Athens,Magistracy,Ti. Kl. Lysiades Patronos,Athens,Male,Tiberius Claudius Lysiades Patronos,,True,True,,TBD,84,7,68,43,56,151,203,164,274,104,2,6,6,6,3,0,6,3,0,3,2,1,0,,1,1,1,0,0,,,,,False,1000,3058,2174,,,
Areopagus,Athens,Public,Epimelite of the City,Athens,Magistracy,G. Kasios Semakhidai,Athens,Male,Gaius Casius Semakhidai,Semakhidai,True,True,,,84,7,68,43,56,151,203,164,274,104,2,6,6,6,3,0,6,3,0,3,2,1,0,,1,1,1,0,0,,,,,False,1000,3058,2392,,,
Areopagus,Athens,Public,Epimelite of the City,Athens,Magistracy,T. Kl. Hierophantes Kallikratidou Trikorysios,Athens,Male,Tiberius Claudius Kallikratidou,Trikorysios,True,True,,,84,7,68,43,56,151,203,164,274,104,2,6,6,6,3,0,6,3,0,3,2,0,0,,8,11,8,2,1,,,,,False,1000,3058,2541,,,
Areopagus,Athens,Public,Archon,Athens,Magistracy,L. Memmius Altar-Priest,Athens,Male,Lucius Memmius,,True,True,,TBD,84,7,68,43,56,151,203,164,274,104,4,2,2,2,2,0,2,2,0,9,3,2,3,,7,9,6,1,2,,,,,False,1000,3094,2339,,,
Areopagus,Athens,Public,Archon,Athens,Magistracy,Casianus Hierokeryx,Athens,Male,Casianus Casianus Hierokeryx,,True,True,,,84,7,68,43,56,151,203,164,274,104,4,2,2,2,2,0,2,2,0,9,3,1,3,,4,5,3,1,1,,,,,False,1000,3094,2503,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Apolexis I,Athens,Male,Apolexis,Oion,True,False,,,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,1,1,1,0,0,,,,,False,1000,3006,2056,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Theophilos Eudoxou,Athens,Male,Theophilos Eudoxou,,True,False,,,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,1,2,2,0,0,,,,,False,1000,3006,2130,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Menandros Asklepiodotou,Athens,Male,Menandros Asklepiodotou,,True,False,,,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,2,3,2,1,0,,,,,False,1000,3006,2131,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Thrasyllos Kholleides,Athens,Male,Thrasyllos,Kholleidai,True,False,,,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,1,,2,2,2,0,0,,,,,False,1000,3006,2240,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,L. Vipsanius Aiolion,Athens,Male,Lucius Vipsanius Aiolion,,True,True,,TBD,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,2,3,,5,6,5,0,1,,,,,False,1000,3006,2250,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,L. Vipsanius Lailianos,Athens,Male,Lucius Vipsanius Lailianos,,True,True,,TBD,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,2,3,,1,1,1,0,0,,,,,False,1000,3006,2251,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Philipe Kl. Demostratou,Athens,Female,Claudia Philipe Demostratou,Pallene,True,True,Demostratid,Claudii of Melite,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,6,8,7,0,1,95,,,,False,1000,3006,2270,,,"Wife of Ti. Kl. Nikoteles (93), mother of Kl. Demostratos (94)"
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Ail. Praxagoras,Athens,Male,Aelius Praxagoras Themistokleous,Melite,True,True,Praxagorid-Demostratid,Claudii of Melite,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,8,0,,2,13,10,0,3,140,,,,False,1000,3006,2277,,,"First in the Praxagorid line to hold Daduchy, descended from Themistokles, brother of T. Kl. Lysiades (Lysiades being the second in the Leonid line to hold the daduchy). Paternal grandson of Themistokles"
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,T. Fl. Alkibiades (II),Athens,Male,Titus Flavius Alkibiades,Paiania,True,True,,Alcibiad,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,4,5,5,0,0,131,,,,False,1000,3006,2303,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,T. Fl. Leosthenes,Athens,Male,Titus Flavius Leosthenes,Paiania,True,True,,Alcibiad,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,4,7,7,0,0,129,,,,False,1000,3006,2304,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,T. Fl. Alkibiades (I),Athens,Male,Titus Flavius Alkibiades,Paiania,True,True,,Alcibiad,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,2,5,4,1,0,127,,,,False,1000,3006,2305,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,L. Memmius Altar-Priest,Athens,Male,Lucius Memmius,,True,True,,TBD,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,2,3,,7,9,6,1,2,,,,,False,1000,3006,2339,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Io. Hierophantes,Athens,Male,Iulius,,True,True,,TBD,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,1,2,2,0,0,,,,,False,1000,3006,2348,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Ail. Alexandros,Athens,Male,Aelius Alexandros,,True,True,,Aelii of Phaleron,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,1,1,1,0,0,3,,,,False,1000,3006,2396,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Ail. Ardys,Athens,Male,Aelius Ardys,,True,True,,Aelii of Phaleron,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,5,6,3,1,0,7,,,,False,1000,3006,2397,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Ail. Kallikrates,Athens,Male,Aelius Kallikrates,,True,True,,Aelii of Phaleron,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,4,4,4,0,0,8,,,,False,1000,3006,2398,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Ail. Alexandros II,Athens,Male,Aelius Alexandros,,True,True,,Aelii of Phaleron,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,1,1,1,0,0,11,,,,False,1000,3006,2399,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Ail Gelo II,Athens,Male,Aelius Gelos,,True,True,,Aelii of Phaleron,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,1,1,1,0,0,12,,,,False,1000,3006,2400,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,P. Pom. Hegios,Athens,Male,Publius Pompeius Hegios,,True,True,,Aelii of Phaleron,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,3,5,4,0,0,6,,,,False,1000,3006,2401,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,P. Pom. Hegios II,Athens,Male,Publius Pompeius Hegios,,True,True,,Aelii of Phaleron,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,1,1,1,0,0,7,,,,False,1000,3006,2402,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Aristaios,Athens,Male,Aristaios,,True,False,,,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,1,1,1,0,0,,,,,False,1000,3006,2421,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,P. Ail Apollonios,Athens,Male,Publius Aelius Apollonios,,True,True,,TBD,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,5,5,5,0,0,,,,,False,1000,3006,2453,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,Arabianus,Athens,Male,Arabianus,,False,True,,,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,1,1,1,0,0,,,,,False,1000,3006,2489,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,P. Ail. Herennius Dexippos,Athens,Male,Publius Aelius Herennius Dexippos,,True,True,,,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,1,0,,2,3,2,1,0,,,,,False,1000,3006,2522,,,
Areopagus,Athens,Public,Eponymous Archon,Athens,Magistracy,T. Kl. Hierophantes Kallikratidou Trikorysios,Athens,Male,Tiberius Claudius Kallikratidou,Trikorysios,True,True,,,84,7,68,43,56,151,203,164,274,104,22,25,26,25,20,0,26,21,0,19,18,0,0,,8,11,8,2,1,,,,,False,1000,3006,2541,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,Kallikratides Syndromou,Athens,Male,Kallikratides Syndromou,,True,False,Oinophilids,,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,2,3,,5,4,3,1,0,,,,,False,1000,3023,2050,,,"Adopted Oinophilos of Trikorynthos, eventually leading to Tiberius Claudius Oinophilos (Hierophant)"
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,Ti. Kl. Nouios Philinou,Athens,Male,Tiberius Claudius Nouios Philinou,,True,True,,,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,2,0,,3,4,2,2,0,,,,,False,1000,3023,2154,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,Kl. Asklepiodoros,Athens,Male,Claudius Asklepiodoros,,True,True,,,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,1,1,,3,3,3,0,0,,,,,False,1000,3023,2159,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,L. Vipsanius Aiolion,Athens,Male,Lucius Vipsanius Aiolion,,True,True,,TBD,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,2,3,,5,6,5,0,1,,,,,False,1000,3023,2250,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,Philipe Kl. Demostratou,Athens,Female,Claudia Philipe Demostratou,Pallene,True,True,Demostratid,Claudii of Melite,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,1,0,,6,8,7,0,1,95,,,,False,1000,3023,2270,,,"Wife of Ti. Kl. Nikoteles (93), mother of Kl. Demostratos (94)"
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,T. Fl. Alkibiades (II),Athens,Male,Titus Flavius Alkibiades,Paiania,True,True,,Alcibiad,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,1,0,,4,5,5,0,0,131,,,,False,1000,3023,2303,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,T. Fl. Leosthenes,Athens,Male,Titus Flavius Leosthenes,Paiania,True,True,,Alcibiad,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,1,0,,4,7,7,0,0,129,,,,False,1000,3023,2304,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,Iul. Apollodotos Meliteus,Athens,Male,Iulius Apollodotos,Melite,True,True,Theodotid,Claudii of Melite,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,1,3,,4,3,2,0,1,48,,,,False,1000,3023,2326,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,Iul. Theodotos,Athens,Male,Iulius Theodotus,Melite,True,True,Theodotid,Claudii of Melite,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,2,0,,3,4,2,0,0,50,,,,False,1000,3023,2327,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,L. Memmius Altar-Priest,Athens,Male,Lucius Memmius,,True,True,,TBD,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,2,3,,7,9,6,1,2,,,,,False,1000,3023,2339,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,Aiolion Phlyeos,Athens,Male,Aiolion,Phyle,True,True,,,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,1,0,,2,1,1,0,0,,,,,False,1000,3023,2349,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,Ail. Ardys,Athens,Male,Aelius Ardys,,True,True,,Aelii of Phaleron,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,1,0,,5,6,3,1,0,7,,,,False,1000,3023,2397,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,Ail. Kallikrates,Athens,Male,Aelius Kallikrates,,True,True,,Aelii of Phaleron,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,1,0,,4,4,4,0,0,8,,,,False,1000,3023,2398,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,P. Pom. Hegios,Athens,Male,Publius Pompeius Hegios,,True,True,,Aelii of Phaleron,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,1,0,,3,5,4,0,0,6,,,,False,1000,3023,2401,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,P. Ail Apollonios,Athens,Male,Publius Aelius Apollonios,,True,True,,TBD,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,1,0,,5,5,5,0,0,,,,,False,1000,3023,2453,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,Iul. Mousonios,Athens,Male,Iulius Mousonios,,True,True,,,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,1,0,,3,5,2,0,0,,,,,False,1000,3023,2479,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,Casianus Hierokeryx,Athens,Male,Casianus Casianus Hierokeryx,,True,True,,,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,1,3,,4,5,3,1,1,,,,,False,1000,3023,2503,,,
Areopagus,Athens,Public,Hoplite General,Athens,Magistracy,T. Kl. Hierophantes Kallikratidou Trikorysios,Athens,Male,Tiberius Claudius Kallikratidou,Trikorysios,True,True,,,84,7,68,43,56,151,203,164,274,104,17,18,18,18,17,0,18,17,0,24,14,0,0,,8,11,8,2,1,,,,,False,1000,3023,2541,,,
Boule,Athens,Public,Herald of the Boule and Demos,Athens,Magistracy,Kallikratides Syndromou,Athens,Male,Kallikratides Syndromou,,True,False,Oinophilids,,66,1,1,2,2,169,181,167,1,3,1,2,2,2,1,0,2,1,0,0,0,2,3,,5,4,3,1,0,,,,,False,1001,3057,2050,,,"Adopted Oinophilos of Trikorynthos, eventually leading to Tiberius Claudius Oinophilos (Hierophant)"
Boule,Athens,Public,Herald of the Boule and Demos,Athens,Magistracy,T. Kl. Hierophantes Kallikratidou Trikorysios,Athens,Male,Tiberius Claudius Kallikratidou,Trikorysios,True,True,,,66,1,1,2,2,169,181,167,1,3,1,2,2,2,1,0,2,1,0,0,0,0,0,,8,11,8,2,1,,,,,False,1001,3057,2541,,,
Demos,Athens,Public,Proedros,Athens,Magistracy,Menophilos Satyrou,Athens,Male,Menophilos Satyrou,,True,False,,,88,5,21,20,24,190,204,144,157,50,1,1,1,1,0,0,1,0,0,2,1,1,0,,1,1,1,0,0,,,,,False,1002,3029,2060,,,
Demos,Athens,Public,Hoplite General,Athens,Magistracy,Kallikratides Syndromou,Athens,Male,Kallikratides Syndromou,,True,False,Oinophilids,,88,5,21,20,24,190,204,144,157,50,17,18,18,18,17,0,18,17,0,24,14,2,3,,5,4,3,1,0,,,,,False,1002,3023,2050,,,"Adopted Oinophilos of Trikorynthos, eventually leading to Tiberius Claudius Oinophilos (Hierophant)"
Demos,Athens,Public,Hoplite General,Athens,Magistracy,Ti. Kl. Nouios Philinou,Athens,Male,Tiberius Claudius Nouios Philinou,,True,True,,,88,5,21,20,24,190,204,144,157,50,17,18,18,18,17,0,18,17,0,24,14,2,0,,3,4,2,2,0,,,,,False,1002,3023,2154,,,
Demos,Athens,Public,Hoplite General,Athens,Magistracy,Kl. Asklepiodoros,Athens,Male,Claudius Asklepiodoros,,True,True,,,88,5,21,20,24,190,204,144,157,50,17,18,18,18,17,0,18,17,0,24,14,1,1,,3,3,3,0,0,,,,,False,1002,3023,2159,,,
