Feature: Type,Feature: Details,Inscription: IE,Inscription: Order,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Inscription: Letter Height Averaged,Inscription: Language,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Inscription: ID,Inscription: Low Date,Inscription: Low Date Uncertainty,Inscription: High Date,Inscription: High Date Uncertainty,Inscription: Notes,Feature: Uncertainty,Feature: Notes
Front of Telesterion,,349,93,"Statue Base for Athenais, Daughter of Diokles Hagnousios",Stele,Dedication,Before the Telestrion,50.0,20,,,Greek,160,112,38,21,3,1,2,3,1,2,0,349,40,False,60,False,,,
No Abbreviation,,350,94,Statue Base for Marcus Porcius Cato,Base,Dedication,,50.0,20,0.0300,,Greek,29,14,8,4,1,1,1,0,1,0,1,350,40,False,60,False,,,
Front of Telesterion,,352,96,"Statue Base for Caius Caecilius Kasios, Acharneus",Base,Dedication,Before the Telestrion,50.0,20,0.0300,,Greek,99,76,27,20,3,0,1,3,1,0,1,352,40,True,60,True,,,
Filiation Symbol or Nomina Suprabar,,352,96,"Statue Base for Caius Caecilius Kasios, Acharneus",Base,Dedication,Before the Telestrion,50.0,20,0.0300,,Greek,99,76,27,20,3,0,1,3,1,0,1,352,40,True,60,True,,,
Standard Abbreviation,,352,96,"Statue Base for Caius Caecilius Kasios, Acharneus",Base,Dedication,Before the Telestrion,50.0,20,0.0300,,Greek,99,76,27,20,3,0,1,3,1,0,1,352,40,True,60,True,,,
"At Site, Moved in Modernity",,352,96,"Statue Base for Caius Caecilius Kasios, Acharneus",Base,Dedication,Before the Telestrion,50.0,20,0.0300,,Greek,99,76,27,20,3,0,1,3,1,0,1,352,40,True,60,True,,,
Less than Life Size Cuttings,,352,96,"Statue Base for Caius Caecilius Kasios, Acharneus",Base,Dedication,Before the Telestrion,50.0,20,0.0300,,Greek,99,76,27,20,3,0,1,3,1,0,1,352,40,True,60,True,,,
No Abbreviation,,353,97,Statue Base for an Unknown Daughter of Statilius of Sphettos,Building or Monument,Dedication,,50.0,20,0.0250,,Greek,125,59,46,21,3,0,1,3,1,0,1,353,40,True,60,True,,,
Mix of Abbreviation Styles,,354,98,"Architrave with Dedication by Tiberius Klaudios Eukles Sostratou, Priest of Iulia Agrippina Sebaste",Building or Monument,Dedication,,54.5,9,,,Greek,75,31,31,17,0,1,2,1,1,1,1,354,50,False,59,False,,,
Non-Standard Abbreviation,,354,98,"Architrave with Dedication by Tiberius Klaudios Eukles Sostratou, Priest of Iulia Agrippina Sebaste",Building or Monument,Dedication,,54.5,9,,,Greek,75,31,31,17,0,1,2,1,1,1,1,354,50,False,59,False,,,
"At Site, Moved in Modernity",,354,98,"Architrave with Dedication by Tiberius Klaudios Eukles Sostratou, Priest of Iulia Agrippina Sebaste",Building or Monument,Dedication,,54.5,9,,,Greek,75,31,31,17,0,1,2,1,1,1,1,354,50,False,59,False,,,
No Abbreviation,,355,99,Statue Base for an Unknown Brother of the Priest Tiberius Klaudios Eukles Sostratou,Base,Dedication,,54.5,9,,,Greek,77,36,18,11,0,1,2,1,0,2,0,355,50,False,59,False,,,
Missing,,355,99,Statue Base for an Unknown Brother of the Priest Tiberius Klaudios Eukles Sostratou,Base,Dedication,,54.5,9,,,Greek,77,36,18,11,0,1,2,1,0,2,0,355,50,False,59,False,,,
No Abbreviation,,357,101,"Statue Base for Tiberius Klaudios Demostratos Ti. Klaudii Neikotelous Sounieus, Hearth Initiate",Base,Dedication,,55.0,10,0.0170,,Greek,171,169,33,32,0,1,4,1,1,4,0,357,50,True,60,False,,,
Bronze Cuttings,,357,101,"Statue Base for Tiberius Klaudios Demostratos Ti. Klaudii Neikotelous Sounieus, Hearth Initiate",Base,Dedication,,55.0,10,0.0170,,Greek,171,169,33,32,0,1,4,1,1,4,0,357,50,True,60,False,,,
Altered or Recut,,357,101,"Statue Base for Tiberius Klaudios Demostratos Ti. Klaudii Neikotelous Sounieus, Hearth Initiate",Base,Dedication,,55.0,10,0.0170,,Greek,171,169,33,32,0,1,4,1,1,4,0,357,50,True,60,False,,,
Part of Praenomen Dropped,,357,101,"Statue Base for Tiberius Klaudios Demostratos Ti. Klaudii Neikotelous Sounieus, Hearth Initiate",Base,Dedication,,55.0,10,0.0170,,Greek,171,169,33,32,0,1,4,1,1,4,0,357,50,True,60,False,,,
Adoptive and Natural Parents Recorded,,358,102,Statue Base for Klaudios Asklepiodoros Gargettios,Base,Dedication,,55.0,10,0.0250,,Greek,276,147,71,35,0,4,4,1,1,4,0,358,50,True,60,True,,,
Part of Praenomen Dropped,,358,102,Statue Base for Klaudios Asklepiodoros Gargettios,Base,Dedication,,55.0,10,0.0250,,Greek,276,147,71,35,0,4,4,1,1,4,0,358,50,True,60,True,,,
No Abbreviation,,358,102,Statue Base for Klaudios Asklepiodoros Gargettios,Base,Dedication,,55.0,10,0.0250,,Greek,276,147,71,35,0,4,4,1,1,4,0,358,50,True,60,True,,,
Mix of Abbreviation Styles,,359,103,Statue Base for an Exegete,Base,Dedication,,75.0,50,0.0240,True,Greek,51,12,14,7,1,1,1,0,1,1,0,359,50,False,100,True,,,
Emphasis with Interpunct or Vacat,,359,103,Statue Base for an Exegete,Base,Dedication,,75.0,50,0.0240,True,Greek,51,12,14,7,1,1,1,0,1,1,0,359,50,False,100,True,,,
No Abbreviation,,360,104,Contract Concerning Iulius Nikanor,Building or Monument,Other/Uncertain,,60.0,20,0.0130,True,Greek,1224,437,336,131,2,0,1,0,0,0,0,360,50,False,70,True,,,
Altered or Recut,,360,104,Contract Concerning Iulius Nikanor,Building or Monument,Other/Uncertain,,60.0,20,0.0130,True,Greek,1224,437,336,131,2,0,1,0,0,0,0,360,50,False,70,True,,,
Removed from Site,,361,105,Statue Base for Tiberius Klaudios Nouios of Oion,Building or Monument,Dedication,,60.0,10,,,Greek,93,86,27,23,0,1,1,0,1,1,0,361,55,False,65,False,,,
"At Site, Moved in Modernity",,362,106,"Status Base for Iulius Nikanor, New Homer and New Themistokles",Base,Dedication,,60.0,10,0.0220,,Greek,103,73,28,20,3,0,1,3,1,0,0,362,55,True,65,True,,,
No Abbreviation,,362,106,"Status Base for Iulius Nikanor, New Homer and New Themistokles",Base,Dedication,,60.0,10,0.0220,,Greek,103,73,28,20,3,0,1,3,1,0,0,362,55,True,65,True,,,
Less than Life Size Cuttings,,362,106,"Status Base for Iulius Nikanor, New Homer and New Themistokles",Base,Dedication,,60.0,10,0.0220,,Greek,103,73,28,20,3,0,1,3,1,0,0,362,55,True,65,True,,,
Bronze Cuttings,,362,106,"Status Base for Iulius Nikanor, New Homer and New Themistokles",Base,Dedication,,60.0,10,0.0220,,Greek,103,73,28,20,3,0,1,3,1,0,0,362,55,True,65,True,,,
Missing,,363,107,Entablature,Base,Dedication,Before the Telestrion,99.0,78,0.0400,,Greek,40,30,19,15,0,2,2,1,1,1,1,363,60,False,138,True,,,
No Abbreviation,,364,108,Monument for Klaudia Alkia,Base,Dedication,,65.0,10,0.0140,,Greek,174,164,35,29,0,2,4,1,1,4,0,364,60,False,70,False,,,
Altered or Recut,,364,108,Monument for Klaudia Alkia,Base,Dedication,,65.0,10,0.0140,,Greek,174,164,35,29,0,2,4,1,1,4,0,364,60,False,70,False,,,
Part of Praenomen Dropped,,364,108,Monument for Klaudia Alkia,Base,Dedication,,65.0,10,0.0140,,Greek,174,164,35,29,0,2,4,1,1,4,0,364,60,False,70,False,,,
No Abbreviation,,365,109,Statue Base for Titus Flavius Sophokles T. Flavii Kononos Sounieus,Base,Dedication,,75.0,10,0.0200,,Greek,110,47,31,14,0,1,2,1,1,2,0,365,70,False,80,False,,,
Non-Standard Abbreviation,,366,110,Statue Base for Titus Flavius Konon Kononos Sounieus,Base,Dedication,,77.5,5,0.0230,,Greek,117,75,33,22,0,0,2,1,1,2,0,366,75,True,80,False,,,
Non-Standard Abbreviation,,367,111,Statue Base for Titus Flavius Sophokles Kononos Sounieus,Base,Dedication,,77.5,5,0.0250,,Greek,119,38,32,13,0,0,2,1,1,2,0,367,75,True,80,False,,,
Missing,,367,111,Statue Base for Titus Flavius Sophokles Kononos Sounieus,Base,Dedication,,77.5,5,0.0250,,Greek,119,38,32,13,0,0,2,1,1,2,0,367,75,True,80,False,,,
Missing,,369,113,"Building Dedicated by Klaudia Tartarion, Priestess of Demeter and Kore",Base,Dedication,,77.5,5,,,Greek,110,85,25,13,0,1,0,0,0,0,0,369,75,False,80,True,,,
No Abbreviation,,369,113,"Building Dedicated by Klaudia Tartarion, Priestess of Demeter and Kore",Base,Dedication,,77.5,5,,,Greek,110,85,25,13,0,1,0,0,0,0,0,369,75,False,80,True,,,
No Abbreviation,,370,114,"Statue Base for Publius Fulvius Metrodoros, Hearth-Initiate",Base,Dedication,,85.0,10,0.0100,,Greek,110,80,29,22,0,1,2,1,1,2,0,370,80,True,90,False,,,
Non-Standard Abbreviation,,371,115,"Statue Base for Klaudia Philoxena, Hierophantis",Base,Dedication,,97.5,15,0.0250,,Greek,252,196,53,38,0,2,3,1,1,3,0,371,90,True,105,True,,,
Mix of Abbreviation Styles,,371,115,"Statue Base for Klaudia Philoxena, Hierophantis",Base,Dedication,,97.5,15,0.0250,,Greek,252,196,53,38,0,2,3,1,1,3,0,371,90,True,105,True,,,
Part of Praenomen Dropped,,371,115,"Statue Base for Klaudia Philoxena, Hierophantis",Base,Dedication,,97.5,15,0.0250,,Greek,252,196,53,38,0,2,3,1,1,3,0,371,90,True,105,True,,,
Removed from Site,,371,115,"Statue Base for Klaudia Philoxena, Hierophantis",Base,Dedication,,97.5,15,0.0250,,Greek,252,196,53,38,0,2,3,1,1,3,0,371,90,True,105,True,,,
Office(s) of Relative(s),,371,115,"Statue Base for Klaudia Philoxena, Hierophantis",Base,Dedication,,97.5,15,0.0250,,Greek,252,196,53,38,0,2,3,1,1,3,0,371,90,True,105,True,,,
???' ?????????????,,372,116,Statue Base for an Unknown Individual,Base,Dedication,,97.5,15,0.0280,,Greek,104,74,29,18,1,1,1,1,0,1,0,372,90,True,105,True,,,
No Abbreviation,,373,117,"G. Kl. Seilianos Polykritos, Hearth-Initiate",Building or Monument,Dedication,,97.5,15,,,Greek,151,137,32,28,0,2,4,2,1,4,0,373,90,True,105,True,,,
Mix of Abbreviation Styles,,373,117,"G. Kl. Seilianos Polykritos, Hearth-Initiate",Building or Monument,Dedication,,97.5,15,,,Greek,151,137,32,28,0,2,4,2,1,4,0,373,90,True,105,True,,,
Part of Praenomen Dropped,,373,117,"G. Kl. Seilianos Polykritos, Hearth-Initiate",Building or Monument,Dedication,,97.5,15,,,Greek,151,137,32,28,0,2,4,2,1,4,0,373,90,True,105,True,,,
Missing,,373,117,"G. Kl. Seilianos Polykritos, Hearth-Initiate",Building or Monument,Dedication,,97.5,15,,,Greek,151,137,32,28,0,2,4,2,1,4,0,373,90,True,105,True,,,
Part of Praenomen Dropped,,375,119,Statue Base for an Unknown Individual,Base,Dedication,,97.5,15,,,Greek,70,13,21,6,0,1,1,0,0,1,0,375,90,True,105,True,,,
No Abbreviation,,375,119,Statue Base for an Unknown Individual,Base,Dedication,,97.5,15,,,Greek,70,13,21,6,0,1,1,0,0,1,0,375,90,True,105,True,,,
Part of Praenomen Dropped,,376,120,Statue Base for an Unknown Individual,Base,Dedication,,97.5,15,0.0230,,Greek,36,5,10,4,0,1,1,0,0,1,0,376,90,True,105,True,,,
Missing,,376,120,Statue Base for an Unknown Individual,Base,Dedication,,97.5,15,0.0230,,Greek,36,5,10,4,0,1,1,0,0,1,0,376,90,True,105,True,,,
No Abbreviation,,376,120,Statue Base for an Unknown Individual,Base,Dedication,,97.5,15,0.0230,,Greek,36,5,10,4,0,1,1,0,0,1,0,376,90,True,105,True,,,
"At Site, Moved in Modernity",,377,121,Statue Base for the Unknown Wife of Ammonios of Kholleidai,Base,Dedication,,87.5,25,0.0190,,Greek,173,121,41,30,1,1,3,1,1,3,0,377,75,False,100,False,,,
Front of Telesterion,,380,124,"Statue Base for Athenais, Granddaughter of a Hierophantis",Base,Dedication,Before the Telestrion,50.5,99,0.0120,,Greek,61,60,11,11,0,1,1,0,1,1,0,380,1,True,100,True,,,
Child Size Cuttings,,380,124,"Statue Base for Athenais, Granddaughter of a Hierophantis",Base,Dedication,Before the Telestrion,50.5,99,0.0120,,Greek,61,60,11,11,0,1,1,0,1,1,0,380,1,True,100,True,,,
Marble Plinth,,380,124,"Statue Base for Athenais, Granddaughter of a Hierophantis",Base,Dedication,Before the Telestrion,50.5,99,0.0120,,Greek,61,60,11,11,0,1,1,0,1,1,0,380,1,True,100,True,,,
"At Site, Moved in Modernity",,380,124,"Statue Base for Athenais, Granddaughter of a Hierophantis",Base,Dedication,Before the Telestrion,50.5,99,0.0120,,Greek,61,60,11,11,0,1,1,0,1,1,0,380,1,True,100,True,,,
Full Size Cuttings,,381,125,Statue Base for a [-]ppos Herakleitou Gargettios,Base,Dedication,,50.5,99,0.0290,,Greek,58,46,16,12,1,0,1,1,1,1,0,381,1,True,100,True,,,
Bronze Cuttings,,381,125,Statue Base for a [-]ppos Herakleitou Gargettios,Base,Dedication,,50.5,99,0.0290,,Greek,58,46,16,12,1,0,1,1,1,1,0,381,1,True,100,True,,,
Part of Praenomen Dropped,,382,126,Statue Base for Kl. Theophilos and Kl. S[-],Base,Dedication,,50.5,99,0.0130,,Greek,37,24,10,6,0,0,2,0,1,2,0,382,1,True,100,True,,,
No Abbreviation,,382,126,Statue Base for Kl. Theophilos and Kl. S[-],Base,Dedication,,50.5,99,0.0130,,Greek,37,24,10,6,0,0,2,0,1,2,0,382,1,True,100,True,,,
No Abbreviation,,383,127,Statue Base for a T. Flavius,Building or Monument,Dedication,,50.5,99,0.0130,,Greek,56,32,21,10,3,0,1,3,1,1,0,383,1,True,100,True,,,
Standard Abbreviation,,384,128,"Statue Base for a L. Pompeios, Hearth-Initiate",Base,Dedication,,50.5,99,0.0400,,Greek,20,11,8,5,0,0,1,0,1,0,1,384,1,True,100,True,,,
Filiation Symbol or Nomina Suprabar,,384,128,"Statue Base for a L. Pompeios, Hearth-Initiate",Base,Dedication,,50.5,99,0.0400,,Greek,20,11,8,5,0,0,1,0,1,0,1,384,1,True,100,True,,,
No Abbreviation,,385,129,Statue Base for a L. Pompeios,Base,Dedication,,50.5,99,0.0100,,Greek,24,8,8,4,0,0,1,0,1,0,1,385,1,True,100,True,,,
Missing,,386,130,Statue Base Signed by Agathokles Agathokleous Kephisieus,Base,Other/Uncertain,,50.5,99,0.0080,,Greek,27,25,6,5,0,0,1,0,0,1,0,386,1,True,100,True,,,
Coronae or Bucrania,,394,138,Dedication to Dionysios Lenaios,Base,Dedication,,100.5,199,0.0100,,Greek,53,16,18,7,1,1,1,1,1,1,0,394,1,False,200,False,,,
No Abbreviation,,395,139,Statue Base for a Hearth-Initiate,Base,Dedication,,100.5,199,0.0210,True,Greek,118,47,35,12,0,1,2,0,1,2,0,395,1,False,200,False,,,
Front of Telesterion,,398,142,Statue Base for Kourtia Stratonike,Base,Dedication,Before the Telestrion,100.5,199,0.0430,,Greek,49,45,19,15,0,0,1,0,1,1,0,398,1,False,200,False,,,
No Abbreviation,,398,142,Statue Base for Kourtia Stratonike,Base,Dedication,Before the Telestrion,100.5,199,0.0430,,Greek,49,45,19,15,0,0,1,0,1,1,0,398,1,False,200,False,,,
"At Site, Moved in Modernity",,398,142,Statue Base for Kourtia Stratonike,Base,Dedication,Before the Telestrion,100.5,199,0.0430,,Greek,49,45,19,15,0,0,1,0,1,1,0,398,1,False,200,False,,,
Front of Telesterion,,399,143,"Statue Base for Kallisto, Daughter of Kallimakhos",Base,Dedication,Before the Telestrion,100.5,199,0.0340,,Greek,200,189,47,41,0,0,4,1,1,4,0,399,1,False,200,False,,,
"At Site, Moved in Modernity",,399,143,"Statue Base for Kallisto, Daughter of Kallimakhos",Base,Dedication,Before the Telestrion,100.5,199,0.0340,,Greek,200,189,47,41,0,0,4,1,1,4,0,399,1,False,200,False,,,
Filiation Symbol or Nomina Suprabar,,400,144,Bomiskos for Iakkhos,Base,Dedication,,100.5,199,0.0150,,Greek,28,26,10,9,0,0,1,0,0,1,0,400,1,False,200,False,,,
Filiation Symbol or Nomina Suprabar,,400,144,Bomiskos for Iakkhos,Base,Dedication,,100.5,199,0.0150,,Greek,28,26,10,9,0,0,1,0,0,1,0,400,1,False,200,False,,,
Office(s) of Relative(s),,400,144,Bomiskos for Iakkhos,Base,Dedication,,100.5,199,0.0150,,Greek,28,26,10,9,0,0,1,0,0,1,0,400,1,False,200,False,,,
Office(s) of Relative(s),,401,145,Bomiskos for Kourotrophos,Base,Dedication,,100.5,199,0.0130,,Greek,53,24,15,9,0,0,1,0,0,1,0,401,1,False,200,False,,,
Relief,,401,145,Bomiskos for Kourotrophos,Base,Dedication,,100.5,199,0.0130,,Greek,53,24,15,9,0,0,1,0,0,1,0,401,1,False,200,False,,,
Standard Abbreviation,,401,145,Bomiskos for Kourotrophos,Base,Dedication,,100.5,199,0.0130,,Greek,53,24,15,9,0,0,1,0,0,1,0,401,1,False,200,False,,,
Standard Abbreviation,,402,146,Statue Base for an Unknown Individual,Base,Dedication,,100.5,199,0.0310,,Greek,55,14,23,10,3,0,1,3,1,0,0,402,1,False,200,False,,,
Filiation Symbol or Nomina Suprabar,,402,146,Statue Base for an Unknown Individual,Base,Dedication,,100.5,199,0.0310,,Greek,55,14,23,10,3,0,1,3,1,0,0,402,1,False,200,False,,,
Marble Plinth,,403,147,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,,,Greek,35,29,7,7,0,0,1,0,0,1,0,403,1,False,300,False,,,
No Abbreviation,,426,170,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0190,True,Greek,86,38,39,20,1,0,0,0,0,0,0,426,1,False,300,False,,,
Part of Praenomen Dropped,,426,170,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0190,True,Greek,86,38,39,20,1,0,0,0,0,0,0,426,1,False,300,False,,,
"At Site, Moved in Modernity",,427,171,Statue Base for an Unknown Individual,Base,Dedication,Before the Telestrion,150.5,299,0.0290,,Greek,32,9,14,5,2,0,0,2,0,0,0,427,1,False,300,False,,,
Front of Telesterion,,427,171,Statue Base for an Unknown Individual,Base,Dedication,Before the Telestrion,150.5,299,0.0290,,Greek,32,9,14,5,2,0,0,2,0,0,0,427,1,False,300,False,,,
Missing,,428,172,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0180,True,Greek,26,16,12,9,0,0,0,0,0,0,0,428,1,False,300,False,,,
Missing,,429,173,Statue Base for an Unknown Hearth-Initiate(?),Base,Dedication,,150.5,299,0.0170,True,Greek,46,19,18,10,0,0,1,0,0,1,0,429,1,False,300,False,,,
No Abbreviation,,430,174,Statue Base for an Unknown Individual,Base,Dedication,,150.5,299,0.0280,,Greek,9,8,5,4,0,0,0,0,0,0,0,430,1,False,300,False,,,
Reused in Architecture,,433,177,"Statue Base for an Unknown Hierophantis, Daughter of Perikles of Oion",Base,Dedication,,112.5,25,0.0270,,Greek,0,0,1,1,0,2,3,1,1,3,0,688,100,False,125,False,,,
No Abbreviation,,433,177,"Statue Base for an Unknown Hierophantis, Daughter of Perikles of Oion",Base,Dedication,,112.5,25,0.0270,,Greek,0,0,1,1,0,2,3,1,1,3,0,688,100,False,125,False,,,
No Abbreviation,,433,178,"Statue Base for Ti. Kl., the Hierophant, Kallikratidou Trikorysios",Base,Dedication,,112.5,25,0.0250,,Greek,0,0,1,1,3,12,0,0,0,0,0,689,100,False,125,False,,,
Reused in Architecture,,433,178,"Statue Base for Ti. Kl., the Hierophant, Kallikratidou Trikorysios",Base,Dedication,,112.5,25,0.0250,,Greek,0,0,1,1,3,12,0,0,0,0,0,689,100,False,125,False,,,
No Abbreviation,,434,179,Statue Base Signed by Sotas and [-],Building or Monument,Other/Uncertain,,125.0,40,0.0220,,Greek,81,60,22,14,0,1,2,0,0,1,0,434,105,True,145,False,,,
No Abbreviation,,435,180,"Statue Base for an Unknown Individual, Dedicated by the Eumolpidai, Lykomidai",Base,Dedication,Before the Telestrion,125.0,40,0.0200,,Greek,173,132,52,31,3,1,2,2,1,2,0,435,105,True,145,False,,,
"At Site, Moved in Modernity",,435,180,"Statue Base for an Unknown Individual, Dedicated by the Eumolpidai, Lykomidai",Base,Dedication,Before the Telestrion,125.0,40,0.0200,,Greek,173,132,52,31,3,1,2,2,1,2,0,435,105,True,145,False,,,
Front of Telesterion,,435,180,"Statue Base for an Unknown Individual, Dedicated by the Eumolpidai, Lykomidai",Base,Dedication,Before the Telestrion,125.0,40,0.0200,,Greek,173,132,52,31,3,1,2,2,1,2,0,435,105,True,145,False,,,
"At Site, Moved in Modernity",,436,181,Statue Base for an Unknown Individual,Base,Dedication,Before the Telestrion,125.0,40,0.0170,,Greek,87,68,26,16,0,1,1,0,0,1,0,436,105,True,145,False,,,
Front of Telesterion,,436,181,Statue Base for an Unknown Individual,Base,Dedication,Before the Telestrion,125.0,40,0.0170,,Greek,87,68,26,16,0,1,1,0,0,1,0,436,105,True,145,False,,,
No Abbreviation,,437,182,Statue Base(?) for an Unknown Individual,Base,Dedication,,125.0,40,0.0290,True,Greek,50,26,10,6,0,1,1,0,0,1,0,437,105,True,145,False,,,
Reused in Architecture,,437,182,Statue Base(?) for an Unknown Individual,Base,Dedication,,125.0,40,0.0290,True,Greek,50,26,10,6,0,1,1,0,0,1,0,437,105,True,145,False,,,
Office(s) of Relative(s),,438,183,"Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, 'Son of Hellas'",Base,Dedication,,115.0,10,0.0150,,Greek,152,142,34,29,1,1,4,2,2,3,1,438,110,False,120,False,,,
Removed from Site,,438,183,"Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, 'Son of Hellas'",Base,Dedication,,115.0,10,0.0150,,Greek,152,142,34,29,1,1,4,2,2,3,1,438,110,False,120,False,,,
"Cuttings for Staff, Torch, or Other",,438,183,"Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, 'Son of Hellas'",Base,Dedication,,115.0,10,0.0150,,Greek,152,142,34,29,1,1,4,2,2,3,1,438,110,False,120,False,,,
Child Size Cuttings,,438,183,"Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, 'Son of Hellas'",Base,Dedication,,115.0,10,0.0150,,Greek,152,142,34,29,1,1,4,2,2,3,1,438,110,False,120,False,,,
Part of Praenomen Dropped,,438,183,"Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, 'Son of Hellas'",Base,Dedication,,115.0,10,0.0150,,Greek,152,142,34,29,1,1,4,2,2,3,1,438,110,False,120,False,,,
Mix of Abbreviation Styles,,438,183,"Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, 'Son of Hellas'",Base,Dedication,,115.0,10,0.0150,,Greek,152,142,34,29,1,1,4,2,2,3,1,438,110,False,120,False,,,
No Abbreviation,,438,183,"Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, 'Son of Hellas'",Base,Dedication,,115.0,10,0.0150,,Greek,152,142,34,29,1,1,4,2,2,3,1,438,110,False,120,False,,,
Beyond Immediate Family,,438,183,"Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, 'Son of Hellas'",Base,Dedication,,115.0,10,0.0150,,Greek,152,142,34,29,1,1,4,2,2,3,1,438,110,False,120,False,,,
No Abbreviation,,439,184,Statue Base for Agrius Saturninus,Base,Dedication,Before the Telestrion,122.0,10,0.0250,,Greek,161,133,42,29,1,1,1,1,1,0,1,439,117,False,127,False,,,
"At Site, Moved in Modernity",,439,184,Statue Base for Agrius Saturninus,Base,Dedication,Before the Telestrion,122.0,10,0.0250,,Greek,161,133,42,29,1,1,1,1,1,0,1,439,117,False,127,False,,,
Front of Telesterion,,439,184,Statue Base for Agrius Saturninus,Base,Dedication,Before the Telestrion,122.0,10,0.0250,,Greek,161,133,42,29,1,1,1,1,1,0,1,439,117,False,127,False,,,
Removed from Site,,440,185,Dedicatory Base in Honor of Ael. Lysistrate,Base,Dedication,,122.0,10,,,Greek,83,48,33,18,3,1,2,3,1,2,0,440,117,False,127,False,,,
Standard Abbreviation,,440,185,Dedicatory Base in Honor of Ael. Lysistrate,Base,Dedication,,122.0,10,,,Greek,83,48,33,18,3,1,2,3,1,2,0,440,117,False,127,False,,,
???? ?? ???????,,441,186,"Statue Base for Athenaios Athenaiou Phlyeus, Hearth-Initiate",Base,Dedication,,119.5,11,,,Greek,201,140,72,35,2,2,2,2,1,2,0,441,114,False,125,False,,,
Removed from Site,,441,186,"Statue Base for Athenaios Athenaiou Phlyeus, Hearth-Initiate",Base,Dedication,,119.5,11,,,Greek,201,140,72,35,2,2,2,2,1,2,0,441,114,False,125,False,,,
Altered or Recut,,442,187,"Statue Base for T. Vipsanius [-] Flavianos Kephisieus, Hearth-Initiate",Base,Dedication,,132.5,15,0.0150,,Greek,191,124,47,27,0,3,3,1,1,3,0,442,125,True,140,False,,,
No Abbreviation,,442,187,"Statue Base for T. Vipsanius [-] Flavianos Kephisieus, Hearth-Initiate",Base,Dedication,,132.5,15,0.0150,,Greek,191,124,47,27,0,3,3,1,1,3,0,442,125,True,140,False,,,
Office(s) of Relative(s),,442,187,"Statue Base for T. Vipsanius [-] Flavianos Kephisieus, Hearth-Initiate",Base,Dedication,,132.5,15,0.0150,,Greek,191,124,47,27,0,3,3,1,1,3,0,442,125,True,140,False,,,
Removed from Site,,443,188,Statue Base for a Son of Heroxenos of Marathon,Base,Dedication,,137.5,25,0.0220,,Greek,113,58,31,15,1,3,2,1,1,2,0,443,125,False,150,False,,,
No Abbreviation,,444,189,Statue Base(?) for G. Memmios Sabeinos Peisandros,Base,Dedication,,128.0,10,,,Greek,36,33,11,9,0,0,1,0,1,1,0,444,123,False,133,False,,,
Missing,,444,189,Statue Base(?) for G. Memmios Sabeinos Peisandros,Base,Dedication,,128.0,10,,,Greek,36,33,11,9,0,0,1,0,1,1,0,444,123,False,133,False,,,
No Abbreviation,,445,190,Statue Base for Thrasyllos of Kholleidai,Base,Dedication,,135.0,10,0.0210,True,Greek,115,29,30,12,1,2,2,1,1,2,0,445,130,True,140,False,,,
Relief,,447,192,Altar Dedicated by the Akhaioi,Base,Dedication,Outer Courtyard,136.0,10,0.1000,,Greek,7,6,4,4,0,0,0,0,0,0,0,447,131,False,141,False,,,
Outer Courtyard,,447,192,Altar Dedicated by the Akhaioi,Base,Dedication,Outer Courtyard,136.0,10,0.1000,,Greek,7,6,4,4,0,0,0,0,0,0,0,447,131,False,141,False,,,
Outer Courtyard,,448,193,"Dedicatory Inscriptions on Two Triumphal Arches, Dedicated by the Panhellenes to the Two Goddesses and the Emperor",Base,Dedication,Outer Courtyard,136.5,3,0.1750,True,Greek,156,49,56,16,1,1,1,1,0,0,1,448,135,True,138,False,,,
Reused in Architecture,,449,194,Dedication of an Aquaduct by an Uncertain Emperor,Base,Dedication,,127.5,21,0.0430,True,Greek,104,22,25,9,0,1,1,0,0,0,1,449,117,True,138,True,,,
Southern Wall,,450,195,Dedicatory Architrave Concerning the Eleusinia,Base,Other/Uncertain,South Wall,127.5,21,0.1300,True,Greek,124,52,53,20,0,0,0,0,0,0,0,450,117,True,138,True,,,
Southern Wall,,451,196,Dedication Concerning an Unknown Emperor,Base,Other/Uncertain,South Wall,150.5,99,0.1150,True,Greek,9,7,5,3,0,1,1,0,0,0,1,451,101,True,200,True,,,
