Feature: Type,Feature: Details,Inscription: IE,Inscription: Order,Inscription: Title,Inscription: Object Type,Inscription: Type,Inscription: Suspected Ancient Location,Inscription: Date (Avg.),Inscription: Date Span,Inscription: Letter Height (m),Inscription: Letter Height Averaged,Inscription: Language,Inscription: Character Count,Inscription: Diplomatic Character Count,Inscription: Word Count,Inscription: Diplomatic Word Count,Inscription: Total Institutions,Inscription: Total Honors,Inscription: Total People,Inscription: Total Sponsors,Inscription: Total Honorands,Inscription: Total Athenians,Inscription: Total Romans,Inscription: ID,Inscription: Low Date,Inscription: Low Date Uncertainty,Inscription: High Date,Inscription: High Date Uncertainty,Inscription: Notes,Feature: Uncertainty,Feature: Notes
No Abbreviation,,287,24,Statue Base for Aion,Base,Dedication,,-32.5,35,0.0130,,Greek,265,259,58,55,0,0,3,0,0,0,3,287,-50,False,-15,True,,,
Bronze Cuttings,,288,25,State Base for Hierophantis Amphiou Philadou,Base,Dedication,,-32.5,35,,,Greek,74,57,17,13,1,1,1,1,1,1,0,288,-50,False,-15,False,,,
Missing,,288,25,State Base for Hierophantis Amphiou Philadou,Base,Dedication,,-32.5,35,,,Greek,74,57,17,13,1,1,1,1,1,1,0,288,-50,False,-15,False,,,
No Abbreviation,,289,26,Statue Base for Lucius Munatius Plancus,Base,Dedication,South Wall,-36.0,10,0.0360,,Greek,76,68,26,19,1,1,1,1,1,0,1,289,-41,False,-31,False,,,
Southern Wall,,289,26,Statue Base for Lucius Munatius Plancus,Base,Dedication,South Wall,-36.0,10,0.0360,,Greek,76,68,26,19,1,1,1,1,1,0,1,289,-41,False,-31,False,,,
Between Propylaea,,290,27,Propylon Dedicated by Appius Claudius Pulcher,Base,Dedication,Between the Propylaea,-40.0,10,0.1105,,Greek,133,0,40,2,0,2,3,0,0,0,3,290,-45,False,-35,False,,,
No Abbreviation,,291,28,"Statue Base of Phaidros Lysiadrou Berenikides, Dedicated by his Daughter Khrysothemis Phaidrou Berenikides",Base,Dedication,,-40.0,10,0.0155,True,Greek,20,13,11,8,0,1,2,1,1,2,0,675,-45,False,-35,False,,,
Altered or Recut,,291,28,"Statue Base of Phaidros Lysiadrou Berenikides, Dedicated by his Daughter Khrysothemis Phaidrou Berenikides",Base,Dedication,,-40.0,10,0.0155,True,Greek,20,13,11,8,0,1,2,1,1,2,0,675,-45,False,-35,False,,,
Altered or Recut,,291,29,"Statue Base of Q. Caecilius Pomponianus Atticus, Dedicated by Khrysothemis Phaidrou Berenikides",Base,Dedication,,-40.0,10,0.0155,True,Greek,22,18,9,6,0,0,3,1,1,2,1,676,-45,False,-35,False,,,
No Abbreviation,,291,29,"Statue Base of Q. Caecilius Pomponianus Atticus, Dedicated by Khrysothemis Phaidrou Berenikides",Base,Dedication,,-40.0,10,0.0155,True,Greek,22,18,9,6,0,0,3,1,1,2,1,676,-45,False,-35,False,,,
Altered or Recut,,291,30,"Statue Base for Lysiades Phaidrou Berenikides, Dedicated by the Demos",Base,Dedication,,-40.0,10,0.0155,True,Greek,19,17,7,7,1,0,2,1,1,2,0,677,-45,False,-35,False,,,
No Abbreviation,,291,30,"Statue Base for Lysiades Phaidrou Berenikides, Dedicated by the Demos",Base,Dedication,,-40.0,10,0.0155,True,Greek,19,17,7,7,1,0,2,1,1,2,0,677,-45,False,-35,False,,,
No Abbreviation,,291,31,"Statue Base for Khrysothemis Phaidrou Berenikides, Dedicated by the Demos",Base,Dedication,,-40.0,10,0.0155,True,Greek,9,8,4,4,1,0,2,1,1,2,0,678,-45,False,-35,False,,,
