"ID","Label","Start","Stop","Class","Type","Origin","Gender","Athenian with Roman Citizenship","Family","Extended","Deme"
2094,"Philoxenidos (Sophokleous)",-25,350.0,"Person","","Athenian","Male","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Akharnai"
2403,"Pom. Epilampsis",187.5,350.0,"Person","","Athenian","Male","TRUE","","","Phaleron"
2098,"Themistokles A(TBD)",-25,350.0,"Person","","Athenian","Male","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Hagnous"
2397,"Ail. Ardys",187.5,350.0,"Person","","Athenian","Male","TRUE","","","Phaleron"
2253,"Iunia [?] Iun. Patronos",145,350.0,"Person","","Athenian","Female","TRUE","","","Berenikidai"
2257,"L. Nummius Andreas Menidos",145,350.0,"Person","","Athenian","Male","TRUE","","","Phaleron"
2114,"Dionysios Dionysiou",50,350.0,"Person","","Athenian","Male","FALSE","","",""
2151,"Ti. Kl. Eukles Sostratou",54.5,350.0,"Person","","Athenian","Male","TRUE","","",""
1004,"Dionysiac Technitai",,350.0,"Institution","Private","Athenian","","","","",""
2220,"[?] Husband of Woman",150.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2038,"L. Munatius Plancus",-36,350.0,"Person","","Roman","Male","FALSE","","",""
2462,"Attikos Eudoxou",200,350.0,"Person","","Athenian","Male","FALSE","","","Sphettos"
2453,"P. Ail Apollonios",200,350.0,"Person","","Athenian","Male","TRUE","Publii Aelii Dionysii","Publii Aelii Dionysii",""
2421,"Aristaios",150.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2003,"Philanthes",-87.5,350.0,"Person","","Athenian","Male","FALSE","","","Halai Aixonides"
2028,"Khairion Dionysiou",-50,350.0,"Person","","Athenian","Male","FALSE","","","Marathon"
2203,"Metrodoros II Metrodorou",100.5,350.0,"Person","","Athenian","Male","FALSE","","","Kydathenaion"
2304,"T. Fl. Leosthenes",167,350.0,"Person","","Athenian","Male","TRUE","","","Paiania"
2366,"Ai. Markos",191,350.0,"Person","","Athenian","Male","TRUE","","","Pallene"
2132,"Kleo Eukleous",20,350.0,"Person","","Athenian","Female","FALSE","","","Phlya"
2135,"Nikodemos Hermeiou",25,350.0,"Person","","Athenian","Male","FALSE","","",""
2291,"Ail. Zenonos",155,350.0,"Person","","Athenian","Male","TRUE","","",""
2237,"[?] Son of Heroxenos Marathonios",137.5,350.0,"Person","","Athenian","Male","FALSE","","","Marathon"
2309,"Krateros",167,350.0,"Person","","Athenian","Male","FALSE","","",""
2392,"G. Kasios Semakhidai",187.5,350.0,"Person","","Other/Uncertain","Male","FALSE","","","Semakhidai"
2274,"D. Iun. Peiraieus",150,350.0,"Person","","Athenian","Male","TRUE","","","Peiraius"
2109,"Phainarete Att[.]",-50.5,350.0,"Person","","Athenian","Female","FALSE","","",""
2360,"Dionysios Glaukou",191,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2155,"G. Iul. Polkhos Sounieus",55,350.0,"Person","","Athenian","Male","TRUE","","","Sounion"
2364,"Aristoboulos Zosimou",191,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2043,"Phaidros Lysiadou",-40,350.0,"Person","","Athenian","Male","FALSE","Lysiadidai","","Berenikidai"
2327,"Iul. Theodotos",170,350.0,"Person","","Athenian","Male","TRUE","","","Melite"
2078,"Kikhesias Leontos",-25,350.0,"Person","","Athenian","Male","FALSE","","","Aixone"
2532,"Emperor Diocletian",295.5,350.0,"Person","","Other/Uncertain","Male","FALSE","","",""
1000,"Areopagus",,350.0,"Institution","Public","Athenian","","","","",""
2436,"Onesime Papiou",250.5,350.0,"Person","","Athenian","Female","FALSE","","","Besa"
1012,"Panhellenes",,350.0,"Institution","Public","Other Greek","","","","",""
2100,"Hermoteimos",-25,350.0,"Person","","Athenian","Male","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs",""
