"ID";"Label";"Start";"Stop";"Class";"Type";"Origin";"Gender";"Athenian with Roman Citizenship";"Family";"Extended";"Deme"
2144;"Diokles Themistokles Hagnousios";50;350.0;"Person";"";"Athenian";"Male";"FALSE";"Hagnous/Akharnid Daduchs";"Hagnous/Akharnid Daduchs";"Hagnous"
2155;"G. Iul. Polkhos Sounieus";55;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Sounion"
2160;"Kl. [?] Asklepiodorou";55;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";""
2439;"Sabeiniane Hamillo";250.5;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";""
2043;"Phaidros Lysiadou";-40;350.0;"Person";"";"Athenian";"Male";"FALSE";"Lysiadidai";"";"Berenikidai"
2233;"Athenaios Epaphrodeitos Athenaiou";119.5;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Phlya"
2127;"[O?]knia Polykharmou";-6.5;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";""
2282;"[?] Emperor";175;350.0;"Person";"";"Other/Uncertain";"Male";"FALSE";"";"";""
2327;"Iul. Theodotos";170;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Melite"
2321;"M. Iul Apellas";170;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Marathon"
2212;"T. [?]";100.5;350.0;"Person";"";"Athenian";"Uncertain";"TRUE";"";"";""
1017;"Lykomidai";;350.0;"Institution";"Genos";"Athenian";"";"";"";"";""
1000;"Areopagus";;350.0;"Institution";"Public";"Athenian";"";"";"";"";""
2436;"Onesime Papiou";250.5;350.0;"Person";"";"Athenian";"Female";"FALSE";"";"";"Besa"
1012;"Panhellenes";;350.0;"Institution";"Public";"Other Greek";"";"";"";"";""
2006;"[?] Heath-Initiate";-87.5;350.0;"Person";"";"Athenian";"Uncertain";"FALSE";"";"";""
2404;"T. Fl. Leosthenes II";187.5;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Paiania"
2166;"Kl. Alkia";65;350.0;"Person";"";"Athenian";"Female";"TRUE";"Herodian";"Herodian-Eukleid";"Marathon"
2271;"D. Iun. Menneas";150;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";""
2009;"Dionysios Dionysiou";-85;350.0;"Person";"";"Athenian";"Male";"FALSE";"";"";"Sphettos"
2316;"Pompeia Polla";166;350.0;"Person";"";"Athenian";"Female";"TRUE";"";"";""
1020;"Praxiergidai";;350.0;"Institution";"Genos";"Athenian";"";"";"";"";""
2289;"L. Calpurnius Piso";155;350.0;"Person";"";"Roman";"Male";"FALSE";"";"";""
2417;"Iun. Agathopodos";150.5;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Marathon"
2299;"Fl. Zenophilos";165;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Marathon"
2478;"Roupheina";217.5;350.0;"Person";"";"Roman";"Female";"FALSE";"";"";""
2332;"M. Iul. Praxis";173.5;350.0;"Person";"";"Athenian";"Male";"TRUE";"";"";"Pallene"
2469;"Xenagoras I";313;350.0;"Person";"";"Athenian";"Male";"FALSE";"Praxagorid";"Claudii of Melite";"Melite"
