"ID","Label","Start","Stop","Class","Type","Origin","Gender","Athenian with Roman Citizenship","Family","Extended","Deme"
2453,"P. Ail Apollonios",200,350.0,"Person","","Athenian","Male","TRUE","Publii Aelii Dionysii","Publii Aelii Dionysii",""
2421,"Aristaios",150.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2003,"Philanthes",-87.5,350.0,"Person","","Athenian","Male","FALSE","","","Halai Aixonides"
2028,"Khairion Dionysiou",-50,350.0,"Person","","Athenian","Male","FALSE","","","Marathon"
2203,"Metrodoros II Metrodorou",100.5,350.0,"Person","","Athenian","Male","FALSE","","","Kydathenaion"
2304,"T. Fl. Leosthenes",167,350.0,"Person","","Athenian","Male","TRUE","","","Paiania"
2366,"Ai. Markos",191,350.0,"Person","","Athenian","Male","TRUE","","","Pallene"
2132,"Kleo Eukleous",20,350.0,"Person","","Athenian","Female","FALSE","","","Phlya"
2135,"Nikodemos Hermeiou",25,350.0,"Person","","Athenian","Male","FALSE","","",""
2291,"Ail. Zenonos",155,350.0,"Person","","Athenian","Male","TRUE","","",""
2237,"[?] Son of Heroxenos Marathonios",137.5,350.0,"Person","","Athenian","Male","FALSE","","","Marathon"
2309,"Krateros",167,350.0,"Person","","Athenian","Male","FALSE","","",""
2392,"G. Kasios Semakhidai",187.5,350.0,"Person","","Other/Uncertain","Male","FALSE","","","Semakhidai"
2274,"D. Iun. Peiraieus",150,350.0,"Person","","Athenian","Male","TRUE","","","Peiraius"
2109,"Phainarete Att[.]",-50.5,350.0,"Person","","Athenian","Female","FALSE","","",""
2179,"Zophyros Zopyrou",97.5,350.0,"Person","","Athenian","Male","FALSE","","","Peiraius"
2360,"Dionysios Glaukou",191,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2155,"G. Iul. Polkhos Sounieus",55,350.0,"Person","","Athenian","Male","TRUE","","","Sounion"
2364,"Aristoboulos Zosimou",191,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2043,"Phaidros Lysiadou",-40,350.0,"Person","","Athenian","Male","FALSE","Lysiadidai","","Berenikidai"
2344,"Faustina II",181,350.0,"Person","","Other/Uncertain","Female","FALSE","","",""
2292,"Elpinike Atria",155,350.0,"Person","","Athenian","Female","TRUE","Herodian","Herodian-Eukleid","Marathon"
2327,"Iul. Theodotos",170,350.0,"Person","","Athenian","Male","TRUE","","","Melite"
2078,"Kikhesias Leontos",-25,350.0,"Person","","Athenian","Male","FALSE","","","Aixone"
2532,"Emperor Diocletian",295.5,350.0,"Person","","Other/Uncertain","Male","FALSE","","",""
1000,"Areopagus",,350.0,"Institution","Public","Athenian","","","","",""
2436,"Onesime Papiou",250.5,350.0,"Person","","Athenian","Female","FALSE","","","Besa"
2126,"[?] Kourotrophos",13,350.0,"Person","","Athenian","Male","FALSE","","",""
1012,"Panhellenes",,350.0,"Institution","Public","Other Greek","","","","",""
2100,"Hermoteimos",-25,350.0,"Person","","Athenian","Male","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs",""
2166,"Kl. Alkia",65,350.0,"Person","","Athenian","Female","TRUE","Herodian","Herodian-Eukleid","Marathon"
2271,"D. Iun. Menneas",150,350.0,"Person","","Athenian","Male","TRUE","","",""
2063,"Leontios Timarkhou Kephesieos",-25,350.0,"Person","","Athenian","Male","FALSE","","","Kephesia"
2249,"Marcianus",160,350.0,"Person","","Roman","Male","FALSE","","",""
1020,"Praxiergidai",,350.0,"Institution","Genos","Athenian","","","","",""
2090,"Mikion Philokratou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Peiraius"
2083,"Aristaikhmos Ammoniou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Anaphlystos"
2410,"Tereus",150.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2357,"Kl. M[.]",191,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2299,"Fl. Zenophilos",165,350.0,"Person","","Athenian","Male","TRUE","","","Marathon"
2232,"L. P[?] Husband of Ael. Lysistrate",122,350.0,"Person","","Athenian","Male","TRUE","","",""
2297,"[?] Son of P. Ael. Praxagoras",165,350.0,"Person","","Athenian","Male","TRUE","Praxagorid","Claudii of Melite",""
2303,"T. Fl. Alkibiades (II)",167,350.0,"Person","","Athenian","Male","TRUE","","","Paiania"
1003,"Tribe of Antiochis",,350.0,"Institution","Public","Athenian","","","","",""
2287,"Calpurnia L. Lepida",155,350.0,"Person","","Roman","Female","FALSE","","",""
2197,"[?] Daughter of [A?]bans Akharneus",50.5,350.0,"Person","","Athenian","Female","FALSE","","","Akharnai"
2365,"Fl. Stephanos",191,350.0,"Person","","Athenian","Male","TRUE","","","Pallene"
2130,"Theophilos Eudoxou",25.5,350.0,"Person","","Athenian","Male","FALSE","","","Eleusis"
2315,"Fl. [.]krateia",166,350.0,"Person","","Athenian","Female","TRUE","","",""
2142,"P. Papinius Statius",50,350.0,"Person","","Roman","Male","FALSE","","",""
2467,"P. Perennios Ptolemaios P. Herenniou",313,350.0,"Person","","Athenian","Male","TRUE","","",""
2093,"Leontios Sophokleous",-25,350.0,"Person","","Athenian","Male","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Akharnai"
2435,"T. Fl. Agathonos Peiraieus",250.5,350.0,"Person","","Athenian","Male","TRUE","","","Peiraius"
2471,"Licinius Kallistomakhos",205,350.0,"Person","","Athenian","Male","TRUE","","",""
2248,"Demetrios",160,350.0,"Person","","Athenian","Male","FALSE","","",""
2075,"Arkhitimos Arkhitimou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Sphettos"
2159,"Kl. Asklepiodoros",55,350.0,"Person","","Athenian","Male","TRUE","","",""
2125,"Dione Pasikratous",13,350.0,"Person","","Athenian","Female","FALSE","","",""
2128,"Polykharmos Polykritos",-6.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2037,"[?] Hierophantis Amphiou",-32.5,350.0,"Person","","Athenian","Female","FALSE","","",""
2054,"Theophrastos Themistokleous",-25,350.0,"Person","","Athenian","Male","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Hagnous"
2385,"Nikostratos Nikiou",191,350.0,"Person","","Athenian","Male","FALSE","","","Krioa"
2351,"Demosthenes Anthou",191,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2013,"Eusebeia Ariobarzanou",-70,350.0,"Person","","Other Greek","Female","FALSE","","",""
2343,"Sabina",181,350.0,"Person","","Other/Uncertain","Female","FALSE","","",""
2070,"Philemon Philemonos",-25,350.0,"Person","","Athenian","Male","FALSE","","","Melite"
2497,"Fabius Proclus",237.5,350.0,"Person","","Athenian","Male","TRUE","","",""
2033,"Dionysios Athenagorou",-37.5,350.0,"Person","","Athenian","Male","FALSE","Athenagoridai","","Melite"
2141,"Kleophatra Iophontos",50,350.0,"Person","","Athenian","Female","FALSE","","","Deiradiotai"
2318,"T. Fl. Menandros Paianieus",166,350.0,"Person","","Athenian","Male","TRUE","","","Paiania"
2371,"Thrasyboulos Artemonos",191,350.0,"Person","","Athenian","Male","FALSE","","","Semakhidai"
2283,"Ana[.]n Krateros",175,350.0,"Person","","Athenian","Male","TRUE","","",""
2281,"Arrian",175,350.0,"Person","","Other Greek","Male","FALSE","","",""
2089,"Seleukos Demeou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Halai Aixonides"
2077,"Dionysodoros Dionysodorou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Deiradiotai"
2180,"Ammonios Kholleides",87.5,350.0,"Person","","Athenian","Male","FALSE","","","Kholleidai"
2080,"Demostratos Dionysiou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2139,"Eimertos Polykharmos",25.5,350.0,"Person","","Athenian","Male","FALSE","Eukleid","Herodian-Eukleid","Marathon"
2225,"[?] Priest",125,350.0,"Person","","Athenian","Male","FALSE","","",""
2356,"Hiero[.]",191,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2468,"Xenagoras II  Xenagorou",313,350.0,"Person","","Athenian","Male","FALSE","Praxagorid","Claudii of Melite","Melite"
2207,"Kallikleia",100.5,350.0,"Person","","Athenian","Female","FALSE","","",""
2387,"Iul. Domna",196.5,350.0,"Person","","Other/Uncertain","Female","FALSE","","",""
2529,"Isidote",287.5,350.0,"Person","","Athenian","Female","FALSE","","",""
2069,"Menneos Menneou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Azenia"
2414,"Aiskhylos",150.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2010,"Epiphaneia Hermolykou",-85,350.0,"Person","","Athenian","Female","FALSE","","","Marathon"
2409,"Threption",150.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2513,"Sextus",250,350.0,"Person","","Other Greek","Male","FALSE","","",""
2531,"Hierophant Glaukos",287.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2341,"Lucilla",181,350.0,"Person","","Other/Uncertain","Female","FALSE","","",""
2331,"Iul. Kephisodora",170,350.0,"Person","","Athenian","Female","TRUE","Praxagorid","Claudii of Melite",""
2293,"Regilla",155,350.0,"Person","","Roman","Female","FALSE","Herodian","Herodian-Eukleid","Marathon"
2012,"Philemon",-73,350.0,"Person","","Athenian","Male","FALSE","","",""
2262,"Annia Faustina",153,350.0,"Person","","Roman","Female","FALSE","","",""
2465,"M Gavius Scyillus",200,350.0,"Person","","Roman","Male","FALSE","","",""
2123,"Hierophantis Mos[kh.]",13,350.0,"Person","","Athenian","Female","FALSE","","",""
2350,"Ail. Leu. Palleneus",191,350.0,"Person","","Athenian","Male","TRUE","","","Pallene"
2055,"Lamidion Apolexidos",-25,350.0,"Person","","Athenian","Male","FALSE","","","Oion"
2134,"Iulia Augusta",25,350.0,"Person","","Other/Uncertain","Female","FALSE","","",""
2196,"Tryphon Phylasios",50.5,350.0,"Person","","Athenian","Male","FALSE","","","Phlya"
2136,"Praxagoras",25,350.0,"Person","","Athenian","Male","FALSE","","",""
2004,"Diopeithes",-87.5,350.0,"Person","","Athenian","Male","FALSE","","","Halai Aixonides"
2418,"Demetrios Apolloniou",150.5,350.0,"Person","","Athenian","Male","FALSE","","","Marathon"
2272,"Exegete Patron",150,350.0,"Person","","Athenian","Male","FALSE","","",""
2007,"[?] Father",-87.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2175,"Kl. Timothea",97.5,350.0,"Person","","Athenian","Female","TRUE","","","Gargettos"
2525,"Eunike Kallaiskhrou",287.5,350.0,"Person","","Athenian","Male","FALSE","","","Marathon"
2393,"Ail. Epilampsis Gelotos",187.5,350.0,"Person","","Athenian","Female","TRUE","","","Phaleron"
2339,"L. Memmius Altar-Priest",170,350.0,"Person","","Athenian","Male","TRUE","","","Thorikos"
2407,"Glaukos",150.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2377,"Aim[.]",191,350.0,"Person","","Athenian","Male","FALSE","","","Semakhidai"
2169,"T. Fl. Konon Kononos",77.5,350.0,"Person","","Athenian","Male","TRUE","","","Sounion"
2485,"Aur. Magna II Magnou",217,350.0,"Person","","Athenian","Female","TRUE","","","Pithos"
2008,"[?] Mother",-87.5,350.0,"Person","","Athenian","Female","FALSE","","",""
2290,"P. Ail. Timosthenes",155,350.0,"Person","","Athenian","Male","TRUE","","","Berenikidai"
2518,"Damoteles",275,350.0,"Person","","Athenian","Male","FALSE","","",""
2023,"T. Pinarius",-50,350.0,"Person","","Roman","Male","FALSE","","",""
2335,"Isidote Eisaiou",184,350.0,"Person","","Athenian","Female","FALSE","","",""
2001,"Ameinokleia Philanthou",-87.5,350.0,"Person","","Athenian","Female","FALSE","","","Phlya"
2384,"Hygeinos Arkhimhdous",191,350.0,"Person","","Athenian","Male","FALSE","","","Phyrrnesios"
2444,"Herennios",250.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2173,"Kl. Philoxena Patronos",97.5,350.0,"Person","","Athenian","Female","TRUE","","","Melite"
2025,"Sophokles Xenokleous",-50,350.0,"Person","","Athenian","Male","FALSE","","","Akharnai"
2181,"[?] Wife of Ammonios Kholleides",87.5,350.0,"Person","","Athenian","Female","FALSE","","",""
2162,"Iul. Nikanor",60,350.0,"Person","","Other Greek","Male","FALSE","","",""
2051,"Livia Drusilla",-26,350.0,"Person","","Other/Uncertain","Female","FALSE","","",""
2355,"Ai. F[.]",191,350.0,"Person","","Athenian","Male","FALSE","","","Pallene"
2029,"[?] Heath-Initiate",-50,350.0,"Person","","Athenian","Uncertain","FALSE","","",""
2140,"T. Statilius Lamprias",43,350.0,"Person","","Other Greek","Male","FALSE","","",""
1015,"Eumolpidai",,350.0,"Institution","Genos","Athenian","","","","",""
2068,"Aristodemos Argeiou",-25,350.0,"Person","","Athenian","Male","FALSE","","","Trikorysios"
2145,"Athenais Diokleous",50,350.0,"Person","","Athenian","Female","FALSE","Hagnous/Akharnid Daduchs","Hagnous/Akharnid Daduchs","Hagnous"
2398,"Ail. Kallikrates",187.5,350.0,"Person","","Athenian","Male","TRUE","","","Phaleron"
2087,"Alexandros Agathokleous",-25,350.0,"Person","","Athenian","Male","FALSE","","","Leukonion"
1006,"Philoi",,350.0,"Institution","Private","Other/Uncertain","","","","",""
2454,"P. Ail. Herennia",200,350.0,"Person","","Athenian","Female","TRUE","Publii Aelii Dionysii","Publii Aelii Dionysii",""
2022,"[?] Tamias",-61.5,350.0,"Person","","Athenian","Male","FALSE","","",""
2016,"Ariobarzanes I Philoromaios",-70,350.0,"Person","","Other Greek","Male","FALSE","","",""
2152,"Iulia Agrippina",54.5,350.0,"Person","","Roman","Female","FALSE","","",""
2189,"T. Fl [?]",50.5,350.0,"Person","","Athenian","Uncertain","FALSE","","",""
2044,"Pomponianus Atticus",-40,350.0,"Person","","Roman","Male","FALSE","","",""
2030,"[?] Heath-Initiate",-50,350.0,"Person","","Athenian","Uncertain","FALSE","","",""
