Inscription ID,Feature,Details,Uncertain,Notes
453,Bronze Cuttings,,,
453,Outer Courtyard,,,
454,Removed from Site,,,
455,Office(s) of Relative(s),,,
455,Standard Abbreviation,,,
456,No Abbreviation,,,
458,No Abbreviation,,,
458,Bronze Cuttings,,,
458,Altered or Recut,,,
459,Office(s) of Relative(s),,,
459,No Abbreviation,,,
460,Non-Standard Abbreviation,,,
462,No Abbreviation,,,
462,Non-Standard Abbreviation,,,
462,Relief,,,
462,Bronze Cuttings,,,
462,Front of Telesterion,,,
463,Office(s) of Relative(s),,,
463,Beyond Immediate Family,,,
463,???' ?????????????,,,
463,Unexpressed Nomina,,,
463,Mix of Abbreviation Styles,,,
463,Part of Praenomen Dropped,,,
463,Filiation Symbol or Nomina Suprabar,,,
464,Mix of Abbreviation Styles,,,
464,Emphasis with Interpunct or Vacat,,,
465,Oversized Cuttings,,,
465,"Cuttings for Staff, Torch, or Other",,,
465,Outer Courtyard,,,
465,"At Site, Moved in Modernity",,,
466,Mix of Abbreviation Styles,,,
466,Emphasis with Interpunct or Vacat,,,
467,Office(s) of Relative(s),,,
467,Non-Standard Abbreviation,,,
467,Missing,,,
468,Beyond Immediate Family,,,
468,Standard Abbreviation,,,
468,Part of Praenomen Dropped,,,
468,Emphasis with Interpunct or Vacat,,,
468,Filiation Symbol or Nomina Suprabar,,,
470,Beyond Immediate Family,,,
470,Reused in Architecture,,,
471,Reused in Architecture,,,
472,No Abbreviation,,,
472,Part of Praenomen Dropped,,,
474,Office(s) of Relative(s),,,
474,Standard Abbreviation,,,
474,Mix of Abbreviation Styles,,,
474,Emphasis with Interpunct or Vacat,,,
474,Filiation Symbol or Nomina Suprabar,,,
474,Child Size Cuttings,,,
474,Bronze Cuttings,,,
474,Front of Telesterion,,,
474,"At Site, Moved in Modernity",,,
475,Unexpressed Nomina,,,
476,Office(s) of Relative(s),,,
476,Beyond Immediate Family,,,
476,Unexpressed Nomina,,,
476,Front of Telesterion,,,
476,"At Site, Moved in Modernity",,,
477,Office(s) of Relative(s),,,
477,Standard Abbreviation,,,
477,Part of Praenomen Dropped,,,
478,Office(s) of Relative(s),,,
478,Beyond Immediate Family,,,
478,No Abbreviation,,,
478,Part of Praenomen Dropped,,,
478,Southern Wall,,,
479,Office(s) of Relative(s),,,
479,Beyond Immediate Family,,,
479,Standard Abbreviation,,,
479,Part of Praenomen Dropped,,,
479,Southern Wall,,,
480,No Abbreviation,,,
480,Southern Wall,,,
481,Non-Standard Abbreviation,,,
481,Missing,,,
481,Removed from Site,,,
482,No Abbreviation,,,
482,Mix of Abbreviation Styles,,,
482,Filiation Symbol or Nomina Suprabar,,,
483,Office(s) of Relative(s),,,
483,Beyond Immediate Family,,,
483,Mix of Abbreviation Styles,,,
483,Filiation Symbol or Nomina Suprabar,,,
483,Front of Telesterion,,,
484,Reused in Architecture,,,
485,Standard Abbreviation,,,
485,Missing,,,
487,Office(s) of Relative(s),,,
487,Beyond Immediate Family,,,
487,???' ?????????????,,,
487,No Abbreviation,,,
488,???' ?????????????,,,
488,No Abbreviation,,,
488,Coronae or Bucrania,,,
488,Southern Wall,,,
488,"At Site, Moved in Modernity",,,
490,???? ?? ?????????,,,
490,No Abbreviation,,,
490,Standard Abbreviation,,,
490,Mix of Abbreviation Styles,,,
490,Front of Telesterion,,,
490,"At Site, Moved in Modernity",,,
492,Office(s) of Relative(s),,,
492,No Abbreviation,,,
492,Standard Abbreviation,,,
492,Mix of Abbreviation Styles,,,
492,Part of Praenomen Dropped,,,
492,Filiation Symbol or Nomina Suprabar,,,
492,Full Size Cuttings,,,
492,Bronze Cuttings,,,
492,Front of Telesterion,,,
492,"At Site, Moved in Modernity",,,
493,Office(s) of Relative(s),,,
493,Beyond Immediate Family,,,
493,???' ?????????????,,,
493,No Abbreviation,,,
493,Standard Abbreviation,,,
493,Mix of Abbreviation Styles,,,
493,Missing,,,
494,Missing,,,
494,Removed from Site,,,
495,Mix of Abbreviation Styles,,,
495,Bronze Cuttings,,,
495,Front of Telesterion,,,
496,No Abbreviation,,,
496,Outer Courtyard,,,
498,Unexpressed Nomina,,,
499,Mix of Abbreviation Styles,,,
500,Outer Courtyard,,,
502,Office(s) of Relative(s),,,
502,Beyond Immediate Family,,,
502,"Cuttings for Staff, Torch, or Other",,,
502,Bronze Cuttings,,,
502,Front of Telesterion,,,
502,"At Site, Moved in Modernity",,,
503,"Cuttings for Staff, Torch, or Other",,TRUE,
503,Office(s) of Relative(s),,,
503,Beyond Immediate Family,,,
503,No Abbreviation,,,
503,Mix of Abbreviation Styles,,,
503,Coronae or Bucrania,,,
503,Emphasis with Interpunct or Vacat,,,
503,Bronze Cuttings,,,
503,Front of Telesterion,,,
503,"At Site, Moved in Modernity",,,
504,No Abbreviation,,,
504,Path to Telesterion,,,
504,"At Site, Moved in Modernity",,,
505,Bronze Cuttings,,,
505,Outer Courtyard,,,
505,"At Site, Moved in Modernity",,,
506,No Abbreviation,,,
506,Bronze Cuttings,,,
506,Outer Courtyard,,,
506,Reused in Architecture,,,
507,Bronze Cuttings,,,
508,Bronze Cuttings,,,
508,Outer Courtyard,,,
509,Bronze Cuttings,,,
509,Outer Courtyard,,,
509,"At Site, Moved in Modernity",,,
510,Bronze Cuttings,,,
510,Outer Courtyard,,,
510,"At Site, Moved in Modernity",,,
511,Beyond Immediate Family,,,
511,Unexpressed Nomina,,,
511,Unexpressed Nomina,,,
511,Bronze Cuttings,,,
511,Front of Telesterion,,,
513,Mix of Abbreviation Styles,,,
513,Reused in Architecture,,,
514,Standard Abbreviation,,,
514,Part of Praenomen Dropped,,,
