ID,Name,Origin,Gender,Athenian Citizen,Roman Citizen,Family,Extended,Praenomen,Nomen,Cognomen,Onomos,Patronym,Demotic,Genos,Uncertain Person,RCA,PA,PAA,LGPN,Notes
2015,Athenais II Ariobazanou I,Cappadocia,Female,FALSE,FALSE,Ariobarzanid,,,,,Athenais,,,,FALSE,,,,,
2016,Ariobarzanes I Philoromaios,Cappadocia,Male,FALSE,FALSE,Ariobarzanid,,,,,Ariobarzanes,,,,FALSE,,,,,
2017,Athenais I Philostorgos,Cappadocia,Female,FALSE,FALSE,Ariobarzanid,,,,,Athenais,,,,FALSE,,,,,
2018,Athenais III Ariobarzanou II,Cappadocia,Female,FALSE,FALSE,Ariobarzanid,,,,,Athenais,,,,FALSE,,,,,
2019,Medeios Medeiou,Athens,Male,TRUE,FALSE,Medeiotes,,,,,Medeios,Medeiou,Peiraieus,,FALSE,,10099,,,
2020,Diphila Diokleous,Athens,Female,TRUE,FALSE,Medeiotes,,,,,Diphila,Diokleous,Melite,,FALSE,,,,,
2021,Timothea Medeiou,Athens,Female,TRUE,FALSE,Medeiotes,,,,,Timothea,Medeiou,Peiraieus,,FALSE,,,,,
2022,[?] Tamias,Athens,Male,TRUE,FALSE,,,,,,,,,,FALSE,,,,,
2023,T. Pinarius,Rome,Male,FALSE,TRUE,,,Titus,Pinarius,,,,,,FALSE,,,,,
2024,Ktesikleia Apollonioiu,Athens,Female,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Ktesikleia,Apolloniou,,,FALSE,,,,,
2025,Sophokles Xenokleous,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Sophokles,Xenokleous,Akharnai,,FALSE,,,,,
2026,Kleokrateia Oinophilou,Athens,Female,TRUE,FALSE,Oinophilids,,,,,Kleokrateia,Oinophilou,Aphidnai,,FALSE,,,,,
2027,Kleo Dionysiou,Athens,Female,TRUE,FALSE,,,,,,Kleo,Dionysiou,Ikarion,,FALSE,,,,,
2028,Khairion Dionysiou,Athens,Male,TRUE,FALSE,,,,,,Khairion,Dionysiou,Marathon,,FALSE,,,,,
2029,[?] Heath-Initiate,Athens,Uncertain,TRUE,FALSE,,,,,,,,,,FALSE,,,,,
2030,[?] Heath-Initiate,Athens,Uncertain,TRUE,FALSE,,,,,,,,,,FALSE,,,,,
2031,[?] Priestess of Demeter & Kore,Athens,Female,TRUE,FALSE,,,,,,,,,,FALSE,,,,,
2032,[?] Daduch from Hagnous,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,,,Hagnous,,FALSE,,,,,
2033,Dionysios Athenagorou,Athens,Male,TRUE,FALSE,Athenagoridai,,,,,Dionysios,Athenagorou,Melite,,FALSE,,,,,
2034,Quintus Pompeius Auli,Rome,Male,FALSE,TRUE,,,Quintus,Pompeius,,,Auli,,,FALSE,,,,,
2035,Aulus Pompeius Auli,Rome,Male,FALSE,TRUE,,,Aulus,Pompeius,,,Auli,,,FALSE,,,,,
2036,Sextus Pompeius Auli,Rome,Male,FALSE,TRUE,,,Sextus,Pompeius,,,Auli,,,FALSE,,,,,
2037,[?] Hierophantis Amphiou,Athens,Female,TRUE,FALSE,,,,,,,Amphiou,,,FALSE,,,,,
2038,L. Munatius Plancus,Rome,Male,FALSE,TRUE,,,Lucius,Munatius,Plancus,,,,,FALSE,,,,,
2039,Ap. Claudius Pulcher,Rome,Male,FALSE,TRUE,,,Appius,Claudius,Pulcher,,,,,FALSE,,,,,
2040,Pulcher Claudius,Rome,Male,FALSE,TRUE,,,Pulcher,Claudius,,,,,,FALSE,,,,,
2041,Rex Marcius,Rome,Male,FALSE,TRUE,,,Rex,Marcius,,,,,,FALSE,,,,,
2042,Khrysothemis Phaidrou,Athens,Female,TRUE,FALSE,Phaidrid,,,,,Khrysothemis,Phaidrou,Berenikidai,,FALSE,,,,,"She forms a marriage line with a Leonides of Melite, an ancestor of Leonid Claudii"
2043,Phaidros Lysiadou,Athens,Male,TRUE,FALSE,Phaidrid,,,,,Phaidros,Lysiadou,Berenikidai,,FALSE,,,,,
2044,Pomponianus Atticus,Rome,Male,FALSE,TRUE,,,Quintus,Pomponianus,Atticus,,,,,FALSE,,,,,
2045,Lysiades Phaidrou,Athens,Female,TRUE,FALSE,Phaidrid,,,,,Lysiades,Phaidrou,Berenikidai,,FALSE,,,,,
2046,Sempronia,Rome,Female,FALSE,TRUE,,,Sempronia,,,,Lucii,,,FALSE,,,,,
2047,L. Gellius Publicola,Rome,Male,FALSE,TRUE,,,Lucius,Gellius,Publicola,,,,,FALSE,,,,,
2048,G. Creperius,Rome,Male,FALSE,TRUE,,,Gaius,Creperius,,,,,,FALSE,,,,,
2049,M. Titius,Rome,Male,FALSE,TRUE,,,Marcus,Titius,,,,,,FALSE,,,,,
2050,Kallikratides Syndromou,Athens,Male,TRUE,FALSE,Oinophilids,,,,,Kallikratides,Syndromou,,,FALSE,,,,,"Adopted Oinophilos of Trikorynthos, eventually leading to Tiberius Claudius Oinophilos (Hierophant)"
2051,Livia Drusilla,Rome,Female,FALSE,TRUE,Julio-Claudian,,Livia,Drusilla,,,,,,FALSE,,,,,
2052,Augustus,Rome,Male,FALSE,TRUE,Julio-Claudian,,Imperator,Caesar,Augustus,,,,,FALSE,,,,,
2054,Theophrastos Themistokleous,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Theophrastos,Themistokleous,Hagnous,,FALSE,,,,,
2055,Lamidion Apolexidos,Athens,Male,TRUE,FALSE,,,,,,Lamidion,Apolexidos,Oion,,FALSE,,,,,
2056,Apolexis I,Athens,Male,TRUE,FALSE,,,,,,Apolexis,,Oion,,FALSE,,,,,
2057,Ladameia Lysandrou,Athens,Female,TRUE,FALSE,,,,,,Ladameia,Lysandrou,Peiraieus,,FALSE,,,,,
2058,Apolexis II,Athens,Male,TRUE,FALSE,,,,,,Apolexis,Apolexidos,Oion,,FALSE,,,,,
2059,Metrophanes Dionysiou,Athens,Male,TRUE,FALSE,,,,,,Metrophanes,Dionysiou,,,FALSE,,,,,
2060,Menophilos Satyrou,Athens,Male,TRUE,FALSE,,,,,,Menophilos,Satyrou,,,FALSE,,,,,
2061,Diotimos Diodorou,Athens,Male,TRUE,FALSE,,,,,,Diotimos,Diodorou,,,FALSE,,,,,
2062,Epikrates Kallimakhou,Athens,Male,TRUE,FALSE,,,,,,Epikrates,Kallimakhou,,,FALSE,,,,,
2063,Leontios Timarkhou Kephesieos,Athens,Male,TRUE,FALSE,,,,,,Leontios,Kephesieos,,,FALSE,,,,,
2064,Dionysios Demostratos,Athens,Male,TRUE,FALSE,,,,,,Dionysios,Demostratos,,,FALSE,,,,,
2065,Theophilos Menekrates,Athens,Male,TRUE,FALSE,,,,,,Theophilos,Menekrates,,,FALSE,,,,,
2066,Gorgippos Eudemos,Athens,Male,TRUE,FALSE,,,,,,Gorgippos,Eudemos,,,FALSE,,,,,
2067,Dositheos Kleomenes,Athens,Male,TRUE,FALSE,,,,,,Dositheos,Kleomenes,,,FALSE,,,,,
2068,Aristodemos Argeiou,Athens,Male,TRUE,FALSE,,,,,,Aristodemos,Argeiou,,,FALSE,,,,,
2069,Menneos Menneou,Athens,Male,TRUE,FALSE,,,,,,Menneos,Menneou,,,FALSE,,,,,
2070,Philemon Philemonos,Athens,Male,TRUE,FALSE,,,,,,Philemon,Philemonos,,,FALSE,,,,,
2071,Apolexis Apellikontos,Athens,Male,TRUE,FALSE,,,,,,Apolexis,Apellikontos,,,FALSE,,,,,
2072,Demokhares Menandros,Athens,Male,TRUE,FALSE,,,,,,Demokhares,Menandros,,,FALSE,,,,,
2073,Sarapion Diokleous,Athens,Male,TRUE,FALSE,,,,,,Sarapion,Diokleous,,,FALSE,,,,,
2074,Diokles Diokleous,Athens,Male,TRUE,FALSE,,,,,,Diokles,Diokleous,,,FALSE,,,,,
2075,Arkhitimos Arkhitimou,Athens,Male,TRUE,FALSE,,,,,,Arkhitimos,Arkhitimou,,,FALSE,,,,,
2076,Themistokles Xenokleous,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Themistokles,Xenokleous,,,FALSE,,,,,
2077,Dionysodoros Dionysodorou,Athens,Male,TRUE,FALSE,,,,,,Dionysodoros,Dionysodorou,,,FALSE,,,,,
2078,Kikhesias Leontos,Athens,Male,TRUE,FALSE,,,,,,Kikhesias,Leontos,,,FALSE,,,,,
2079,Apollonios Ktesikleous,Athens,Male,TRUE,FALSE,,,,,,Apollonios,Ktesikleous,,,FALSE,,,,,
2080,Demostratos Dionysiou,Athens,Male,TRUE,FALSE,,,,,,Demostratos,Dionysiou,,,FALSE,,,,,
2081,Timosthenes Timarkhou,Athens,Male,TRUE,FALSE,,,,,,Timosthenes,Timarkhou,,,FALSE,,,,,
2082,Menandros Demokharous,Athens,Male,TRUE,FALSE,,,,,,Menandros,Demokharous,,,FALSE,,,,,
2083,Aristaikhmos Ammoniou,Athens,Male,TRUE,FALSE,,,,,,Aristaikhmos,Ammoniou,,,FALSE,,,,,
2084,Sophokles Philotou,Athens,Male,TRUE,FALSE,,,,,,Sophokles,Philotou,,,FALSE,,,,,
2085,Dionysodoros Deiradiotou,Athens,Male,TRUE,FALSE,,,,,,Dionysodoros,Deiradiotou,,,FALSE,,,,,
2086,Iophon Dionysodoros Deiradiotes,Athens,Male,TRUE,FALSE,,,,,,Iophon,Deiradiotes,,,FALSE,,,,,
2087,Alexandros Agathokleous,Athens,Male,TRUE,FALSE,,,,,,Alexandros,Agathokleous,,,FALSE,,,,,
2088,Euphron Euphrontos,Athens,Male,TRUE,FALSE,,,,,,Euphron,Euphrontos,,,FALSE,,,,,
2089,Seleukos Demeou,Athens,Male,TRUE,FALSE,,,,,,Seleukos,Demeou,,,FALSE,,,,,
2090,Mikion Philokratou,Athens,Male,TRUE,FALSE,,,,,,Mikion,Philokratou,,,FALSE,,,,,
2091,Themistokles II Theophrastou,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Themistokles,Theophrastou,,,FALSE,,,,,
2092,Themistokles I Theophrastou,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Themistokles,Theophrastou,,,FALSE,,,,,
2093,Leontios Sophokleous,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Leontios,Sophokleous,,,FALSE,,,,,
2094,Philoxenidos (Sophokleous),Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Philoxenidos,Sophokleous,,,FALSE,,,,,
2095,Kephisodoros,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Kephisodoros,Kephisodoros,,,FALSE,,,,,
2096,Philistides,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Philistides,Philistides,,,FALSE,,,,,
2097,Philoxenis,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Philoxenis,Philoxenis,,,FALSE,,,,,
2098,Themistokles A(TBD),Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Themistokles,,,,FALSE,,,,,
2099,Antiphon,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Antiphon,Antiphon,,,FALSE,,,,,
2100,Hermoteimos,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Hermoteimos,Hermoteimos,,,FALSE,,,,,
2101,Hierokleides,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Hierokleides,Hierokleides,,,FALSE,,,,,
2102,Semon,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Semon,Semon,,,FALSE,,,,,
2103,Sophokles Theophrastou,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,Sophokles,Theophrastou,,,FALSE,,,,,
2104,[?] Hearth-Initiate Themistokleous,Athens,Male,TRUE,FALSE,Hagnous/Acharnai Daduchs,,,,,,Themistokleous,,,FALSE,,,,,
2105,Antiokhos Demetriou,Athens,Male,TRUE,FALSE,,,,,,Antiokhos,Demetriou,,,FALSE,,,,,
2106,Polyainos Nikandrou,Athens,Male,TRUE,FALSE,,,,,,Polyainos,Nikandrou,,,FALSE,,,,,
2107,Theophile,Athens,Female,TRUE,FALSE,,,,,,Theophile,Theophile,,,FALSE,,,,,
2108,[.]kleides,Athens,Male,TRUE,FALSE,,,,,,,,,,TRUE,,,,,
2109,Phainarete Att[.],Athens,Female,TRUE,FALSE,,,,,,Phainarete,,,,TRUE,,,,,
2110,Diotima,Athens,Female,TRUE,FALSE,,,,,,Diotima,Diotima,,,FALSE,,,,,
2111,Diodotos Kalliphontos,Athens,Male,TRUE,FALSE,,,,,,Diodotos,Kalliphontos,,,FALSE,,,,,
2112,Sosibios,Other/Uncertain,Male,FALSE,FALSE,,,,,,Sosibios,Sosibios,,,FALSE,,,,,
2113,Hipparkhos,Athens,Male,TRUE,FALSE,,,,,,Hipparkhos,Hipparkhos,,,FALSE,,,,,
2114,Dionysios Dionysiou,Athens,Male,TRUE,FALSE,,,,,,Dionysios,Dionysiou,,,FALSE,,,,,
2115,Diodot[.],Athens,Male,TRUE,FALSE,,,,,,,Diodot,,,TRUE,,,,,
2116,[?] Heath-Initiate,Athens,Male,TRUE,FALSE,,,,,,,Initiate,,,TRUE,,,,,
2117,Ithake,Athens,Female,TRUE,FALSE,,,,,,Ithake,Ithake,,,FALSE,,,,,
2118,[?] Heath-Initiate,Athens,Uncertain,TRUE,FALSE,,,,,,,Initiate,,,TRUE,,,,,
2119,[?] Hearth-Initiate,Athens,Uncertain,TRUE,FALSE,,,,,,,Initiate,,,TRUE,,,,,
2120,Attikos Attikou,Athens,Male,TRUE,FALSE,,,,,,Attikos,Attikou,,,FALSE,,,,,
2121,Atheno Niketou,Athens,Male,TRUE,FALSE,,,,,,Atheno,Niketou,,,FALSE,,,,,
2122,Pammenes Pammenous,Athens,Male,TRUE,FALSE,,,,,,Pammenes,Pammenous,,,FALSE,,,,,
2123,Hierophantis Mos[kh.],Athens,Female,TRUE,FALSE,,,,,,Hierophantis,,,,TRUE,,,,,
2124,Antamenes Leontikhou,Athens,Male,TRUE,FALSE,,,,,,Antamenes,Leontikhou,,,FALSE,,,,,
2125,Dione Pasikratous,Athens,Female,TRUE,FALSE,,,,,,Dione,Pasikratous,,,FALSE,,,,,
2126,[?] Kourotrophos,Athens,Male,TRUE,FALSE,,,,,,,Kourotrophos,,,TRUE,,,,,
2127,[O?]knia Polykharmou,Athens,Female,FALSE,FALSE,,,,,,,Polykharmou,,,TRUE,,,,,
2128,Polykharmos Polykritos,Athens,Male,TRUE,FALSE,,,,,,Polykharmos,Polykritos,,,FALSE,,,,,
2129,Emperor Tiberius,Rome,Male,FALSE,TRUE,,Imperial,Tiberius,,,,Tiberius,,,FALSE,,,,,
2130,Theophilos Eudoxou,Athens,Male,TRUE,FALSE,,,,,,Theophilos,Eudoxou,,,FALSE,,,,,
2131,Menandros Asklepiodotou,Athens,Male,TRUE,FALSE,,,,,,Menandros,Asklepiodotou,,,FALSE,,,,,
2132,Kleo Eukleous,Athens,Female,TRUE,FALSE,,Herodian,,,,Kleo,Eukleous,,,FALSE,,,,,
2133,Papios Marathonios,Athens,Male,TRUE,FALSE,,,,,,Papios,Marathonios,,,FALSE,,,,,
2134,Iulia Augusta,Rome,Female,FALSE,TRUE,,Imperial,,,,Iulia,Augusta,,,FALSE,,,,,
2135,Nikodemos Hermeiou,Athens,Male,TRUE,FALSE,,,,,,Nikodemos,Hermeiou,,,FALSE,,,,,
2136,Praxagoras,Athens,Male,TRUE,FALSE,,,,,,Praxagoras,Praxagoras,,,FALSE,,,,,
2137,[.]ios Aulus Marathonios,Rome,Male,TRUE,TRUE,,,,,,,Marathonios,,,TRUE,,,,,
2138,Polykharmos Eukleous,Athens,Male,TRUE,FALSE,,Herodian,,,,Polykharmos,Eukleous,,,FALSE,,,,,
2139,Eimertos Polykharmos,Athens,Male,TRUE,FALSE,,,,,,Eimertos,Polykharmos,,,FALSE,,,,,
2140,T. Statilius Lamprias,Rome,Male,FALSE,TRUE,,,Titus,Statilius,,,,Lamptrai,,FALSE,,,,,
2141,Kleophatra Iophontos,Athens,Female,TRUE,FALSE,,,,,,Kleophatra,Iophontos,,,FALSE,,,,,
2142,P. Papinius Statius,Rome,Male,FALSE,TRUE,,,Publius,Papinius,Statius,,Statius,,,FALSE,,,,,
2143,"[.]on, Consul",Rome,Male,FALSE,TRUE,,,,,,,,,,FALSE,,,,,
2144,Diokles Themistokles Hagnousios,Athens,Male,TRUE,FALSE,,,,,,Diokles,Themistokleous,,Hagnous,FALSE,,,,,
2145,Athenais Diokleous,Athens,Female,TRUE,FALSE,,,,,,Athenais,Diokleous,,,FALSE,,,,,
2146,M. Porcius Cato,Rome,Male,FALSE,TRUE,,,Marcus,Porcius,Cato,,,,,FALSE,,,,,
2147,Seilon Apolloniou,Athens,Male,TRUE,FALSE,,,,,,Seilon,Apolloniou,,,FALSE,,,,,
2148,Apollonios Seilonos,Athens,Male,TRUE,FALSE,,,,,,Apollonios,Seilonos,,,FALSE,,,,,
2149,G. Caecilius Cassius,Rome,Male,FALSE,TRUE,,,Gaius,Caecilius,Cassius,,,,,FALSE,,,,,
2150,Statilia [.],Rome,Female,FALSE,TRUE,,,,Statilia,,,,,,TRUE,,,,,
2151,Ti. Kl. Eukles Sostratou,Athens,Male,TRUE,TRUE,,Herodian,Tiberius,Claudius,,Eukles,Sostratou,,,FALSE,,,,,
2152,Iulia Agrippina,Rome,Female,FALSE,TRUE,Julio-Claudian,Imperial,,Iulia,Agrippina,,,,,FALSE,,,,,
2153,[?] Brother of Ti. Kl. Eukles Sostratou,Athens,Male,TRUE,TRUE,,Herodian,Tiberius,Claudius,,,Sostratou,,,TRUE,,,,,
2154,Ti. Kl. Nouios Philinou,Athens,Male,TRUE,TRUE,,,Tiberius,Claudius,,Nouios,Philinou,,,FALSE,,,,,
2155,G. Iul. Polkhos Sounieus,Athens,Male,TRUE,TRUE,,,Gaius,Iulius,,Polkhos,,Sounion,,FALSE,Iulius 30,,,,
2156,Ti. Kl. Demostratos,Athens,Male,TRUE,TRUE,Demostratid,Claudii of Melite,Tiberius,Claudius,,Demostratos,,Sounion,,FALSE,Claudius 94,,,,
2157,Ti. Kl. Neikoteles,Athens,Male,TRUE,TRUE,Demostratid,Claudii of Melite,Tiberius,Claudius,,Neikoteles,,Sounion,,FALSE,Claudius 93,,,,
2158,Klaudia Philippe,Athens,Female,TRUE,TRUE,Demostratid,Claudii of Melite,,Claudia,,Philippe,Philippe,Sounion,,FALSE,Claudius 95,,,,"Wife of T. Kl. Sospis (2nd marriage). They Form Leonid-Demostratid Bridge. They sired T. Kl. Lysiades (159), Tib. Kl. Demostratos (160), T. Kl. Leonides (161), Kl. Philippe (162).  First marriage was with an Ephesian. OR Daughter of T. Kl. Sospis & Kl. Philippe, thus of the first generation post alliance bridge"
2159,Kl. Asklepiodoros,Athens,Male,TRUE,TRUE,,,,Claudius,,Asklepiodoros,,,,FALSE,,,,,
2160,Kl. [?] Asklepiodorou,Athens,Male,TRUE,TRUE,,,,Claudius,,,Asklepiodorou,,,TRUE,,,,,
2161,[?] Exegete of Eumolpidai,Athens,Male,FALSE,FALSE,,,,,,,,,Eumolpid,TRUE,,,,,
2162,Iul. Nikanor,Syria,Male,FALSE,TRUE,,,,Iulius,,Nikanor,,,,FALSE,,,,,
2163,[?] Emperor,Rome,Male,FALSE,TRUE,,Imperial,,,,,,,,TRUE,,,,,
2164,[?] Imperial Priest,Athens,Male,TRUE,FALSE,,,,,,,,,,TRUE,,,,,
2165,Ti. Kl. Hipparkhos Herodou,Athens,Male,TRUE,TRUE,,Herodian,Tiberius,Claudius,,Hipparkhos,Herodou,,,FALSE,,,,,
2166,Kl. Alkia,Athens,Female,TRUE,TRUE,,Herodian,,Claudia,,Alkia,,,,FALSE,,,,,
2167,T. Fl. Sophokles T. Fl. Kononos,Athens,Male,TRUE,TRUE,,,Titus,Flavius,,Sophokles,Kononos,Sounion,,FALSE,Flavius 66,,,,
2168,Fl. Sophia,Athens,Female,TRUE,TRUE,,,,,,Sophia,Sophia,Sounion,,FALSE,Flavius 64,,,,
2169,T. Fl. Konon Kononos,Athens,Male,TRUE,TRUE,,TBD,,,,Konon,Kononos,Sounion,,FALSE,Flavius 67,,,,
2170,Kl. Tartarion Menandrou,Athens,Female,TRUE,TRUE,,TBD,,Claudia,,Tartarion,Menandrou,,,FALSE,Claudius 64,,,,
2171,P. Fulvius Maximos Sounieus,Athens,Male,TRUE,TRUE,,TBD,Publius,Fulvius,,Maximos,,Sounion,,FALSE,,,,,
2172,P. Fulvius Metrodoros,Athens,Male,TRUE,TRUE,,TBD,Publius,Fulvius,,Metrodoros,,,,FALSE,,,,,
2173,Kl. Philoxena Patronos,Athens,Female,TRUE,TRUE,,,,Claudia,,Philoxena,Patronos,,,FALSE,,,,,
2174,Ti. Kl. Lysiades Patronos,Athens,Male,TRUE,TRUE,,TBD,Tiberius,Claudius,,Lysiades,Patronos,,,FALSE,,,,,
2175,Kl. Timothea,Athens,Female,TRUE,TRUE,,,,Claudia,,Timothea,Timothea,,,FALSE,,,,,
2176,G. Kl. Seilianos Polykritos,Athens,Male,TRUE,TRUE,,,Gaius,Claudius,,Seilianos,Polykritos,,,FALSE,,,,,
2177,Kl. [?] Father of Seilianos,Athens,Male,TRUE,TRUE,,,,Claudius,,Seilianos,Seilianos,,,TRUE,,,,,
2178,Kl. [?] Mother of Seilianos,Athens,Male,TRUE,TRUE,,,Claudia,,,,Seilianos,,,TRUE,,,,,
2179,Zophyros Zopyrou,Athens,Male,TRUE,FALSE,,,,,,Zophyros,Zopyrou,,,FALSE,,,,,
2180,Ammonios Kholleides,Athens,Male,TRUE,FALSE,,,,,,Ammonios,,Kholleidai,,FALSE,,,,,
2181,[?] Wife of Ammonios Kholleides,Athens,Female,TRUE,FALSE,,,,,,,,Kholleidai,,TRUE,,,,,
2182,Thrasyllos Ammoniou,Athens,Male,TRUE,FALSE,,,,,,Thrasyllos,Ammoniou,,,FALSE,,,,,
2183,Eraton Eratonos,Athens,Male,TRUE,FALSE,,,,,,Eraton,Eratonos,,,FALSE,,,,,
2184,[?] Priestess of Demeter & Kore,Athens,Female,FALSE,FALSE,,,,,,,,,,TRUE,,,,,
2185,Athenais,Athens,Female,TRUE,FALSE,,,,,,Athenais,,,,FALSE,,,,,
2186,[.]ppos Herokleitou,Athens,Male,TRUE,FALSE,,,,,,,Herokleitou,,,FALSE,,,,,
2187,Kl. Theophilos,Athens,Male,TRUE,TRUE,Theophilid,,,Claudius,,Theophilos,,,,FALSE,Claudius 118,,,,
2188,Kl. Sostratos,Athens,Male,TRUE,TRUE,Theophilid,,,,,Sostratos,,,,FALSE,Claudius 119,,,,
2189,T. Fl [?],Athens,Uncertain,FALSE,FALSE,,,,,,,,,,TRUE,,,,,
2190,L. Pompeius [?],Rome,Male,FALSE,TRUE,,,Lucius,Pompeius,,,,,,FALSE,,,,,
2191,L. Pompeius Pompeiou,Rome,Male,FALSE,TRUE,,,Lucius,Pompeius,,,Pompeiou,,,FALSE,,,,,
2192,Agothokles Agothokleous,Athens,Male,TRUE,FALSE,,,,,,Agothokles,Agothokleous,,,FALSE,,,,,
2193,[?] Daughter of Dionysios,Athens,Female,FALSE,FALSE,,,,,,,Dionysiou,,,TRUE,,,,,
2194,[?] Themistokl[.],Athens,Male,FALSE,FALSE,,,,,,,,,,TRUE,,,,,
2195,[?] Son of Tryphon Phylasios,Athens,Male,TRUE,FALSE,,,,,,,,Phyle,,TRUE,,,,,
2196,Tryphon Phylasios,Athens,Male,TRUE,FALSE,,,,,,Tryphon,,Phyle,,FALSE,,,,,
2197,[?] Daughter of [A?]bans Akharneus,Athens,Female,TRUE,FALSE,,,,,,,,Akharnai,,FALSE,,,,,
2198,[?] Kanephoros,Athens,Male,TRUE,FALSE,,,,,,,,,,FALSE,,,,,
2199,Kl. [?],Athens,Uncertain,TRUE,TRUE,,,,Claudius,,,,,,TRUE,,,,,
2200,Dione,Athens,Female,TRUE,FALSE,,,,,,Dione,,,,FALSE,,,,,
2201,[?] Daughter of [.]dous,Athens,Female,TRUE,FALSE,,,,,,,,,,FALSE,,,,,
2202,[.]okleia wife of Metrodoros,Athens,Female,TRUE,FALSE,,,,,,,,,,FALSE,,,,,
2203,Metrodoros II Metrodorou,Athens,Male,TRUE,FALSE,,TBD,,,,Metrodoros,Metrodorou,,,FALSE,,,,,
2204,Antio Metrodorou,Athens,Male,TRUE,FALSE,,,,,,Antio,Metrodorou,,,FALSE,,,,,
2205,Curtia Straontike,Athens,Female,TRUE,TRUE,,,,Curtia,,Stratonike,,,,FALSE,,,,,
2206,Kallisto Kallimakhou,Athens,Female,TRUE,FALSE,,,,,,Kallisto,Kallimakhou,,,FALSE,,,,,
2207,Kallikleia,Athens,Female,TRUE,FALSE,,,,,,Kallikleia,,,,FALSE,,,,,
2208,Kallimakhos,Athens,Male,TRUE,FALSE,,,,,,Kallimakhos,,,,FALSE,,,,,
2209,Areios,Athens,Male,TRUE,FALSE,,,,,,Areios,,,,FALSE,,,,,
2210,Apollonios Apolloniou,Athens,Male,TRUE,FALSE,,,,,,Apollonios,Apolloniou,,,FALSE,,,,,
2211,Fl. Pamphilie,Athens,Female,TRUE,TRUE,,,,Flavia,,Pamphile,,,,FALSE,,,,,
2212,T. [?],Other/Uncertain,Uncertain,TRUE,TRUE,,,,,,,,,,TRUE,,,,,
2213,[?] Eubiou,Athens,Male,TRUE,FALSE,,,,,,,Eubiou,,,TRUE,,,,,
2214,[?] Son of Konon,Athens,Male,FALSE,FALSE,,,,,,,Konos,,,TRUE,,,,,
2215,[?] Priestess of Demeter & Kore,Athens,Female,TRUE,FALSE,,,,,,,,,,TRUE,,,,,
2216,[?] Priestess of Demeter & Kore,Athens,Female,TRUE,FALSE,,,,,,,,,,TRUE,,,,,
2217,Kl. D[?],Athens,Uncertain,TRUE,TRUE,,,,Claudius,,,,,,TRUE,,,,,
2218,[?] Hearth-Initiate,Athens,Uncertain,TRUE,FALSE,,,,,,,,,,TRUE,,,,,
2219,[?] Woman,Athens,Female,FALSE,FALSE,,,,,,,,,,TRUE,,,,,
2220,[?] Husband of Woman,Athens,Male,TRUE,FALSE,,,,,,,,,,TRUE,,,,,
2221,Hierophantis Perikleous,Athens,Female,TRUE,FALSE,,,,,,,Perikleous,,,FALSE,,,,,
2222,Pose Poseous,Athens,Female,TRUE,FALSE,,TBD,,,,Pose,Poseous,,,FALSE,,,,,
2223,Fl. Laodameia Kleitou,Athens,Female,TRUE,TRUE,,TBD,,Flavia,,Laodameia,Kleitou,,,FALSE,,,,,
2224,Sotas And[.],Other/Uncertain,Male,FALSE,FALSE,,,,,,Sotas,,,,FALSE,,,,,
2225,[?] Priest,Athens,Male,TRUE,FALSE,,,,,,,,,,TRUE,,,,,
2226,Ti. Kl. Herodes Attikos Kl. Attikou,Athens,Male,TRUE,TRUE,,Herodian,Tiberius,Claudius,Atticus,Herodes,Attikou,Marathon,,FALSE,,,,,
2227,Kl. Attikou,Athens,Male,TRUE,TRUE,,Herodian,,Claudia,,,Attikou,,,FALSE,,,,,
2228,Viboullia Alkia,Athens,Female,TRUE,TRUE,,Herodian,,Vibulla,,Alkia,,,,FALSE,,,,,
2229,Cocceius Censorinus,Rome,Male,FALSE,TRUE,,,,Cocceius,Censorinus,,,,,FALSE,,,,,
2230,Agrius Saturninus,Rome,Male,FALSE,TRUE,,,,Agrius,Saturninus,,,,,FALSE,,,,,
2231,Ael. Lysistrate,Athens,Female,TRUE,TRUE,,TBD,,Aelius,Lysistrate,Ael,Lysistrate,,,FALSE,,,,,
